Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02987,Description_Detailed,0.0,0.0,0.0,False,0.4497922360897064,0.4497922360897064,True,False,False,False,True
p02987,Description_Fewshot,0.7,0.0,0.35,False,0.5363784432411194,0.1863784432411194,False,False,True,False,False
p02987,Description_Reason,0.0,0.1,0.05,False,0.5084290504455566,0.45842905044555665,False,False,True,False,False
p02987,Description_Simple,0.1,0.0,0.05,False,0.5916717052459717,0.5416717052459716,False,False,True,False,False
p02987,Description_Vague,0.0,0.7,0.35,False,0.33014076948165894,0.019859230518341042,True,False,False,False,True
p03000,Description_Detailed,0.0,0.0,0.0,False,0.44441691040992737,0.44441691040992737,True,False,False,False,True
p03000,Description_Fewshot,0.1,0.0,0.05,False,0.0767635777592659,0.026763577759265897,True,False,False,False,True
p03000,Description_Reason,0.0,0.1,0.05,False,0.23309524357318878,0.1830952435731888,True,False,False,False,True
p03000,Description_Simple,0.0,0.0,0.0,False,0.1291179209947586,0.1291179209947586,True,False,False,False,True
p03000,Description_Vague,0.0,0.0,0.0,False,0.43555524945259094,0.43555524945259094,True,False,False,False,True
p03041,Description_Detailed,0.0,0.0,0.0,False,0.26441627740859985,0.26441627740859985,True,False,False,False,True
p03041,Description_Fewshot,0.0,0.0,0.0,False,0.12799674272537231,0.12799674272537231,True,False,False,False,True
p03041,Description_Reason,0.0,0.0,0.0,False,0.2447795867919922,0.2447795867919922,True,False,False,False,True
p03041,Description_Simple,0.0,0.0,0.0,False,0.2660678029060364,0.2660678029060364,True,False,False,False,True
p03041,Description_Vague,0.0,0.0,0.0,False,0.2894291877746582,0.2894291877746582,True,False,False,False,True
p03835,Description_Detailed,0.0,0.0,0.0,False,0.331664115190506,0.331664115190506,True,False,False,False,True
p03835,Description_Fewshot,0.0,0.0,0.0,False,0.0308548416942358,0.0308548416942358,True,False,False,False,True
p03835,Description_Reason,0.0,0.0,0.0,False,0.1742483526468277,0.1742483526468277,True,False,False,False,True
p03835,Description_Simple,0.4,0.0,0.2,False,0.4073610305786133,0.20736103057861327,True,False,False,False,True
p03835,Description_Vague,0.0,0.7,0.35,False,0.30932527780532837,0.04067472219467161,True,False,False,False,True
p02417,Description_Detailed,0.7,0.7,0.7,True,0.6472367644309998,0.0527632355690002,True,True,True,True,False
p02417,Description_Fewshot,0.0,0.4,0.2,False,0.6489928364753723,0.4489928364753723,False,False,True,False,False
p02417,Description_Reason,0.9,0.0,0.45,False,0.7017423510551453,0.25174235105514525,False,False,True,False,False
p02417,Description_Simple,0.4,0.4,0.4,False,0.5891585350036621,0.1891585350036621,False,False,True,False,False
p02417,Description_Vague,0.0,0.0,0.0,False,0.6447780728340149,0.6447780728340149,False,False,True,False,False
p02410,Description_Detailed,0.0,1.0,0.5,True,0.3156963288784027,0.1843036711215973,False,True,False,False,False
p02410,Description_Fewshot,0.0,0.0,0.0,False,0.18110516667366028,0.18110516667366028,True,False,False,False,True
p02410,Description_Reason,0.0,0.0,0.0,False,0.4792988896369934,0.4792988896369934,True,False,False,False,True
p02410,Description_Simple,1.0,0.0,0.5,True,0.5369203090667725,0.03692030906677246,True,True,True,True,False
p02410,Description_Vague,0.0,0.0,0.0,False,0.4239197373390198,0.4239197373390198,True,False,False,False,True
p02767,Description_Detailed,0.0,0.0,0.0,False,0.12404625862836838,0.12404625862836838,True,False,False,False,True
p02767,Description_Fewshot,0.0,0.0,0.0,False,0.06916365027427673,0.06916365027427673,True,False,False,False,True
p02767,Description_Reason,0.0,0.0,0.0,False,0.11624562740325928,0.11624562740325928,True,False,False,False,True
p02767,Description_Simple,0.0,0.0,0.0,False,0.20605307817459106,0.20605307817459106,True,False,False,False,True
p02767,Description_Vague,0.0,0.0,0.0,False,0.12644560635089874,0.12644560635089874,True,False,False,False,True
p02785,Description_Detailed,0.0,0.0,0.0,False,0.25289806723594666,0.25289806723594666,True,False,False,False,True
p02785,Description_Fewshot,0.0,0.0,0.0,False,0.07980385422706604,0.07980385422706604,True,False,False,False,True
p02785,Description_Reason,0.0,0.0,0.0,False,0.24283888936042786,0.24283888936042786,True,False,False,False,True
p02785,Description_Simple,0.0,0.0,0.0,False,0.22210299968719482,0.22210299968719482,True,False,False,False,True
p02785,Description_Vague,0.0,0.0,0.0,False,0.23486502468585968,0.23486502468585968,True,False,False,False,True
p03109,Description_Detailed,0.0,0.0,0.0,False,0.36251384019851685,0.36251384019851685,True,False,False,False,True
p03109,Description_Fewshot,0.0,0.0,0.0,False,0.4409996569156647,0.4409996569156647,True,False,False,False,True
p03109,Description_Reason,0.0,0.0,0.0,False,0.28037765622138977,0.28037765622138977,True,False,False,False,True
p03109,Description_Simple,0.0,0.0,0.0,False,0.41070669889450073,0.41070669889450073,True,False,False,False,True
p03109,Description_Vague,0.0,0.0,0.0,False,0.3269834816455841,0.3269834816455841,True,False,False,False,True
p03282,Description_Detailed,0.0,0.0,0.0,False,0.20958349108695984,0.20958349108695984,True,False,False,False,True
p03282,Description_Fewshot,0.0,0.0,0.0,False,0.16242657601833344,0.16242657601833344,True,False,False,False,True
p03282,Description_Reason,0.0,0.0,0.0,False,0.1951434314250946,0.1951434314250946,True,False,False,False,True
p03282,Description_Simple,0.0,1.0,0.5,True,0.2505648732185364,0.24943512678146362,False,True,False,False,False
p03282,Description_Vague,0.0,0.0,0.0,False,0.3380931615829468,0.3380931615829468,True,False,False,False,True
p03308,Description_Detailed,0.7,0.0,0.35,False,0.518877387046814,0.168877387046814,False,False,True,False,False
p03308,Description_Fewshot,0.0,0.0,0.0,False,0.23285621404647827,0.23285621404647827,True,False,False,False,True
p03308,Description_Reason,0.0,0.0,0.0,False,0.27380049228668213,0.27380049228668213,True,False,False,False,True
p03308,Description_Simple,0.0,0.0,0.0,False,0.2540246844291687,0.2540246844291687,True,False,False,False,True
p03308,Description_Vague,0.0,1.0,0.5,True,0.4297730326652527,0.07022696733474731,False,True,False,False,False
p03293,Description_Detailed,1.0,0.0,0.5,True,0.4696299731731415,0.03037002682685852,False,True,False,False,False
p03293,Description_Fewshot,0.0,0.0,0.0,False,0.5396357774734497,0.5396357774734497,False,False,True,False,False
p03293,Description_Reason,0.0,0.0,0.0,False,0.41991209983825684,0.41991209983825684,True,False,False,False,True
p03293,Description_Simple,0.0,0.0,0.0,False,0.44213011860847473,0.44213011860847473,True,False,False,False,True
p03293,Description_Vague,0.0,0.0,0.0,False,0.4194801151752472,0.4194801151752472,True,False,False,False,True
p03471,Description_Detailed,0.0,0.0,0.0,False,0.28253230452537537,0.28253230452537537,True,False,False,False,True
p03471,Description_Fewshot,0.0,0.0,0.0,False,0.2325364053249359,0.2325364053249359,True,False,False,False,True
p03471,Description_Reason,0.0,0.0,0.0,False,0.2634028196334839,0.2634028196334839,True,False,False,False,True
p03471,Description_Simple,0.0,0.0,0.0,False,0.30208414793014526,0.30208414793014526,True,False,False,False,True
p03471,Description_Vague,0.0,0.0,0.0,False,0.2056710124015808,0.2056710124015808,True,False,False,False,True
p02659,Description_Detailed,0.0,0.0,0.0,False,0.3122786283493042,0.3122786283493042,True,False,False,False,True
p02659,Description_Fewshot,0.0,0.0,0.0,False,0.07503493130207062,0.07503493130207062,True,False,False,False,True
p02659,Description_Reason,0.0,0.0,0.0,False,0.2686159610748291,0.2686159610748291,True,False,False,False,True
p02659,Description_Simple,0.0,0.0,0.0,False,0.3600050210952759,0.3600050210952759,True,False,False,False,True
p02659,Description_Vague,0.0,0.0,0.0,False,0.3255079686641693,0.3255079686641693,True,False,False,False,True
p02268,Description_Detailed,0.0,0.1,0.05,False,0.36044877767562866,0.3104487776756287,True,False,False,False,True
p02268,Description_Fewshot,0.1,0.1,0.1,False,0.008295109495520592,0.09170489050447941,True,False,False,False,True
p02268,Description_Reason,0.0,0.0,0.0,False,0.17342349886894226,0.17342349886894226,True,False,False,False,True
p02268,Description_Simple,0.0,0.1,0.05,False,0.35107260942459106,0.3010726094245911,True,False,False,False,True
p02268,Description_Vague,0.3,0.0,0.15,False,0.30498072504997253,0.15498072504997254,True,False,False,False,True
