Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.0,0.0,0.0,0.0,False,0.31972643733024597,0.31972643733024597,True,False,False,False,True
p02921,Description_Simple,0.2,0.2,0.2,0.2,False,0.5589197874069214,0.3589197874069214,False,False,True,False,False
p03494,Description_Simple,0.6,0.6,0.6,0.6,True,0.44780251383781433,0.15219748616218565,False,True,False,False,False
p02773,Description_Simple,0.2,0.2,0.2,0.2,False,0.64571213722229,0.44571213722229003,False,False,True,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.5525345206260681,0.4474654793739319,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.6800282001495361,0.31997179985046387,True,True,True,True,False
p03035,Description_Simple,0.0,0.0,0.0,0.0,False,0.27217191457748413,0.27217191457748413,True,False,False,False,True
p02910,Description_Simple,0.2,0.2,0.2,0.2,False,0.3122817873954773,0.11228178739547728,True,False,False,False,True
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.47340118885040283,0.47340118885040283,True,False,False,False,True
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.5840487480163574,0.4159512519836426,True,True,True,True,False
p02917,Description_Simple,0.8,0.8,0.8,0.8,True,0.5101037621498108,0.28989623785018925,True,True,True,True,False
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.447232186794281,0.247232186794281,True,False,False,False,True
p02988,Description_Simple,0.3,0.3,0.3,0.3,False,0.5160225629806519,0.21602256298065187,False,False,True,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.2793653905391693,0.7206346094608307,False,True,False,False,False
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.7046483755111694,0.10464837551116946,True,True,True,True,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.45846372842788696,0.25846372842788695,True,False,False,False,True
p03854,Description_Simple,0.0,0.0,0.0,0.0,False,0.4052984118461609,0.4052984118461609,True,False,False,False,True
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7022686004638672,0.09773139953613286,True,True,True,True,False
p02981,Description_Simple,0.2,0.2,0.2,0.2,False,0.32641518115997314,0.12641518115997313,True,False,False,False,True
p02718,Description_Simple,0.0,0.0,0.0,0.0,False,0.5280795097351074,0.5280795097351074,False,False,True,False,False
p03434,Description_Simple,0.9,0.9,0.9,0.9,True,0.4563659727573395,0.44363402724266054,False,True,False,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.6678307056427002,0.3321692943572998,True,True,True,True,False
p02571,Description_Simple,0.0,0.0,0.0,0.0,False,0.3853650987148285,0.3853650987148285,True,False,False,False,True
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.3835480809211731,0.18354808092117308,True,False,False,False,True
p02582,Description_Simple,0.1,0.1,0.1,0.1,False,0.40635591745376587,0.3063559174537659,True,False,False,False,True
p03239,Description_Simple,0.4,0.4,0.4,0.4,False,0.4101824164390564,0.010182416439056374,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.3758605420589447,0.3758605420589447,True,False,False,False,True
p02576,Description_Simple,0.9,0.9,0.9,0.9,True,0.2689933180809021,0.6310066819190979,False,True,False,False,False
p02772,Description_Simple,0.0,0.0,0.0,0.0,False,0.6640307307243347,0.6640307307243347,False,False,True,False,False
p02786,Description_Simple,0.2,0.2,0.2,0.2,False,0.32856428623199463,0.12856428623199462,True,False,False,False,True
p02547,Description_Simple,0.9,0.9,0.9,0.9,True,0.6392577290534973,0.2607422709465027,True,True,True,True,False
p04012,Description_Simple,1.0,1.0,1.0,1.0,True,0.6563040018081665,0.3436959981918335,True,True,True,True,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.48734432458877563,0.48734432458877563,True,False,False,False,True
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.3129723370075226,0.6870276629924774,False,True,False,False,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.48156413435935974,0.48156413435935974,True,False,False,False,True
p02719,Description_Simple,0.8,0.8,0.8,0.8,True,0.5230104327201843,0.2769895672798157,True,True,True,True,False
p02987,Description_Simple,0.2,0.2,0.2,0.2,False,0.5940717458724976,0.39407174587249755,False,False,True,False,False
p02945,Description_Simple,0.6,0.6,0.6,0.6,True,0.5954499840736389,0.004550015926361062,True,True,True,True,False
p03060,Description_Simple,1.0,1.0,1.0,1.0,True,0.35407596826553345,0.6459240317344666,False,True,False,False,False
p02989,Description_Simple,0.0,0.0,0.0,0.0,False,0.3874872028827667,0.3874872028827667,True,False,False,False,True
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.3454636037349701,0.3454636037349701,True,False,False,False,True
p02830,Description_Simple,0.8,0.8,0.8,0.8,True,0.47879570722579956,0.3212042927742005,False,True,False,False,False
p02801,Description_Simple,0.4,0.4,0.4,0.4,False,0.6044294834136963,0.20442948341369627,False,False,True,False,False
p03316,Description_Simple,0.8,0.8,0.8,0.8,True,0.6087073087692261,0.19129269123077397,True,True,True,True,False
p03775,Description_Simple,0.0,0.0,0.0,0.0,False,0.364052414894104,0.364052414894104,True,False,False,False,True
p02264,Description_Simple,0.2,0.2,0.2,0.2,False,0.6459170579910278,0.4459170579910278,False,False,True,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.7611699104309082,0.2388300895690918,True,True,True,True,False
p02899,Description_Simple,0.0,0.0,0.0,0.0,False,0.2963981330394745,0.2963981330394745,True,False,False,False,True
p03146,Description_Simple,0.0,0.0,0.0,0.0,False,0.3327726125717163,0.3327726125717163,True,False,False,False,True
p02255,Description_Simple,0.4,0.4,0.4,0.4,False,0.6621794700622559,0.26217947006225584,False,False,True,False,False
p02404,Description_Simple,0.7,0.7,0.7,0.7,True,0.39293769001960754,0.3070623099803924,False,True,False,False,False
p02897,Description_Simple,0.0,0.0,0.0,0.0,False,0.5035552382469177,0.5035552382469177,False,False,True,False,False
p02403,Description_Simple,0.4,0.4,0.4,0.4,False,0.36603236198425293,0.03396763801574709,True,False,False,False,True
p02699,Description_Simple,0.8,0.8,0.8,0.8,True,0.6036441922187805,0.19635580778121953,True,True,True,True,False
p02831,Description_Simple,1.0,1.0,1.0,1.0,True,0.5296276807785034,0.4703723192214966,True,True,True,True,False
p02836,Description_Simple,1.0,1.0,1.0,1.0,True,0.41551652550697327,0.5844834744930267,False,True,False,False,False
p03147,Description_Simple,0.9,0.9,0.9,0.9,True,0.47910502552986145,0.42089497447013857,False,True,False,False,False
p02639,Description_Simple,0.1,0.1,0.1,0.1,False,0.2291751354932785,0.1291751354932785,True,False,False,False,True
p02402,Description_Simple,0.6,0.6,0.6,0.6,True,0.5716688632965088,0.02833113670349119,True,True,True,True,False
p02405,Description_Simple,0.1,0.1,0.1,0.1,False,0.5109356045722961,0.41093560457229616,False,False,True,False,False
p03720,Description_Simple,1.0,1.0,1.0,1.0,True,0.5321202278137207,0.4678797721862793,True,True,True,True,False
p02411,Description_Simple,0.3,0.3,0.3,0.3,False,0.6964267492294312,0.39642674922943116,False,False,True,False,False
p02898,Description_Simple,1.0,1.0,1.0,1.0,True,0.3542228639125824,0.6457771360874176,False,True,False,False,False
p02416,Description_Simple,1.0,1.0,1.0,1.0,True,0.6597557067871094,0.3402442932128906,True,True,True,True,False
p02420,Description_Simple,0.0,0.0,0.0,0.0,False,0.45072683691978455,0.45072683691978455,True,False,False,False,True
p02847,Description_Simple,0.2,0.2,0.2,0.2,False,0.5133236646652222,0.31332366466522216,False,False,True,False,False
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.26839679479599,0.26839679479599,True,False,False,False,True
