Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0323,Description_Simple,0.8,0.8,0.8,0.8,True,0.6295443773269653,0.1704556226730347,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5510494709014893,0.44895052909851074,True,True,True,True,False
mbpp_0771,Description_Simple,0.4,0.4,0.4,0.4,False,0.4152904152870178,0.0152904152870178,True,False,False,False,True
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6949135661125183,0.3050864338874817,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.6898282170295715,0.6898282170295715,False,False,True,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5171506404876709,0.4828493595123291,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6623673439025879,0.3376326560974121,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7975490093231201,0.20245099067687988,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6625661849975586,0.3374338150024414,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7560587525367737,0.24394124746322632,True,True,True,True,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.7198361158370972,0.18016388416290285,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.46756434440612793,0.5324356555938721,False,True,False,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7700701951980591,0.22992980480194092,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5420330762863159,0.4579669237136841,True,True,True,True,False
mbpp_0408,Description_Simple,0.3,0.3,0.3,0.3,False,0.5635915994644165,0.2635915994644165,False,False,True,False,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7467778325080872,0.25322216749191284,True,True,True,True,False
mbpp_0387,Description_Simple,0.9,0.9,0.9,0.9,True,0.6569587588310242,0.24304124116897585,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.6998820900917053,0.3001179099082947,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7267260551452637,0.27327394485473633,True,True,True,True,False
mbpp_0628,Description_Simple,0.4,0.4,0.4,0.4,False,0.6121518015861511,0.2121518015861511,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.6954454779624939,0.3045545220375061,True,True,True,True,False
mbpp_0516,Description_Simple,0.9,0.9,0.9,0.9,True,0.6135603189468384,0.28643968105316164,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6400738954544067,0.35992610454559326,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6684244871139526,0.33157551288604736,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.6249960660934448,0.4249960660934448,False,False,True,False,False
mbpp_0898,Description_Simple,0.0,0.0,0.0,0.0,False,0.43937578797340393,0.43937578797340393,True,False,False,False,True
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.569782018661499,0.569782018661499,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6204188466072083,0.37958115339279175,True,True,True,True,False
mbpp_0822,Description_Simple,0.2,0.2,0.2,0.2,False,0.5650806427001953,0.3650806427001953,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7233752012252808,0.27662479877471924,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.7919436097145081,0.39194360971450803,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7462012767791748,0.2537987232208252,True,True,True,True,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.5874668955802917,0.18746689558029173,False,False,True,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6553460359573364,0.3446539640426636,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7386647462844849,0.26133525371551514,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7846782207489014,0.21532177925109863,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.454889714717865,0.24511028528213497,False,True,False,False,False
mbpp_0881,Description_Simple,0.7,0.7,0.7,0.7,True,0.6169922947883606,0.08300770521163936,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7414632439613342,0.25853675603866577,True,True,True,True,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.5077651143074036,0.10776511430740354,False,False,True,False,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.7398455142974854,0.26015448570251465,True,True,True,True,False
mbpp_0907,Description_Simple,0.7,0.7,0.7,0.7,True,0.6359214186668396,0.06407858133316036,True,True,True,True,False
mbpp_0850,Description_Simple,0.4,0.4,0.4,0.4,False,0.46472877264022827,0.06472877264022825,True,False,False,False,True
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.8024722933769226,0.1975277066230774,True,True,True,True,False
mbpp_0453,Description_Simple,1.0,1.0,1.0,1.0,True,0.6169236898422241,0.3830763101577759,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.7145071029663086,0.18549289703369143,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.5286409854888916,0.3286409854888916,False,False,True,False,False
mbpp_0463,Description_Simple,0.2,0.2,0.2,0.2,False,0.6416735649108887,0.44167356491088866,False,False,True,False,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7871217131614685,0.2128782868385315,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.4913865327835083,0.5086134672164917,False,True,False,False,False
mbpp_0113,Description_Simple,0.9,0.9,0.9,0.9,True,0.5866826176643372,0.31331738233566286,True,True,True,True,False
mbpp_0129,Description_Simple,0.2,0.2,0.2,0.2,False,0.6027589440345764,0.4027589440345764,False,False,True,False,False
mbpp_0247,Description_Simple,0.7,0.7,0.7,0.7,True,0.7835273742675781,0.08352737426757817,True,True,True,True,False
mbpp_0639,Description_Simple,0.4,0.4,0.4,0.4,False,0.6293763518333435,0.22937635183334348,False,False,True,False,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.6563654541969299,0.34363454580307007,True,True,True,True,False
