model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,68,77.6,87.2,88.8,72,75.6,81.6,81.6,81.2,75.2,82.4,81.6,84.4,84.8,82.4
GPT-3.5,77.6,62.4,86,89.2,69.6,71.6,81.2,80.8,79.6,71.6,83.2,82,84.4,84.8,80
O4-mini,87.2,86,82.4,91.2,84,86.4,89.2,89.6,89.6,84.4,90,90,90.8,90.8,90
Gemini,88.8,89.2,91.2,86,87.6,90,91.6,90.4,89.6,89.2,90.8,91.6,91.6,92.4,91.2
Llama-70B,72,69.6,84,87.6,51.2,65.2,74.8,75.2,75.2,65.6,76.4,76,78.4,78.4,74.8
Mistral,75.6,71.6,86.4,90,65.2,38.4,74.4,74,73.2,56.8,77.2,77.6,78,76.8,72.8
DeepSeek-V3.1,81.6,81.2,89.2,91.6,74.8,74.4,66,71.6,73.2,68.8,74,74.4,74,74.8,72
DeepSeek-R1,81.6,80.8,89.6,90.4,75.2,74,71.6,63.6,71.2,67.2,71.2,74,72.8,71.2,68.8
DeepSeek-V4-Pro,81.2,79.6,89.6,89.6,75.2,73.2,73.2,71.2,63.6,67.6,74,73.6,73.6,74.4,70.8
QwenCoder,75.2,71.6,84.4,89.2,65.6,56.8,68.8,67.2,67.6,40.8,70.4,71.6,73.2,70,65.6
Qwen3.7,82.4,83.2,90,90.8,76.4,77.2,74,71.2,74,70.4,66,75.6,74.4,73.6,72.8
Claude-5,81.6,82,90,91.6,76,77.6,74.4,74,73.6,71.6,75.6,68,75.6,76.4,73.2
GLM-5,84.4,84.4,90.8,91.6,78.4,78,74,72.8,73.6,73.2,74.4,75.6,68.4,74.4,72.8
Kimi-K2.7,84.8,84.8,90.8,92.4,78.4,76.8,74.8,71.2,74.4,70,73.6,76.4,74.4,67.2,72
GPT-5,82.4,80,90,91.2,74.8,72.8,72,68.8,70.8,65.6,72.8,73.2,72.8,72,60.4
