Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.658061146736145,0.241938853263855,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.555484414100647,0.444515585899353,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5556932091712952,0.44430679082870483,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5077863335609436,0.10778633356094358,False,False,True,False,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7569593191146851,0.24304068088531494,True,True,True,True,False
mbpp_0159,Description_Simple,0.9,0.9,0.9,0.9,True,0.6581929922103882,0.24180700778961184,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6919103860855103,0.30808961391448975,True,True,True,True,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.46370968222618103,0.436290317773819,False,True,False,False,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6462693214416504,0.25373067855834963,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5329139828681946,0.4670860171318054,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5751056671142578,0.4248943328857422,True,True,True,True,False
mbpp_0004,Description_Simple,0.8,0.8,0.8,0.8,True,0.6940115690231323,0.10598843097686772,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6416970491409302,0.3583029508590698,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7875718474388123,0.21242815256118774,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6439718008041382,0.24397180080413816,False,False,True,False,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.7335054278373718,0.06649457216262822,True,True,True,True,False
mbpp_0209,Description_Simple,0.8,0.8,0.8,0.8,True,0.6368085145950317,0.1631914854049683,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.704673707485199,0.295326292514801,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.6764341592788696,0.32356584072113037,True,True,True,True,False
mbpp_0108,Description_Simple,0.3,0.3,0.3,0.3,False,0.4904937744140625,0.1904937744140625,True,False,False,False,True
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7060959935188293,0.29390400648117065,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7783498167991638,0.22165018320083618,True,True,True,True,False
