Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.4611102342605591,0.43888976573944094,False,True,False,False,False
p03494,Description_Simple,0.9,0.9,0.9,0.9,True,0.3932812213897705,0.5067187786102295,False,True,False,False,False
p02570,Description_Simple,0.9,0.9,0.9,0.9,True,0.6112306118011475,0.28876938819885256,True,True,True,True,False
p02773,Description_Simple,0.9,0.9,0.9,0.9,True,0.5899898409843445,0.31001015901565554,True,True,True,True,False
p03035,Description_Simple,0.2,0.5,0.35,0.275,False,0.2716527581214905,0.0033472418785095437,True,False,False,False,True
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.604579746723175,0.295420253276825,True,True,True,True,False
p02988,Description_Simple,0.6,0.6,0.6,0.6,True,0.40426135063171387,0.1957386493682861,False,True,False,False,False
p03469,Description_Simple,0.6,0.6,0.6,0.6,True,0.49729421734809875,0.10270578265190122,False,True,False,False,False
p03059,Description_Simple,0.2,0.2,0.2,0.2,False,0.22758643329143524,0.02758643329143523,True,False,False,False,True
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.6457457542419434,0.04574575424194338,True,True,True,True,False
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.48947063088417053,0.11052936911582945,False,True,False,False,False
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.7217522859573364,0.1782477140426636,True,True,True,True,False
p02729,Description_Simple,0.6,0.6,0.6,0.6,True,0.44372472167015076,0.15627527832984922,False,True,False,False,False
p02910,Description_Simple,0.6,0.6,0.6,0.6,True,0.4274216592311859,0.17257834076881406,False,True,False,False,False
p02917,Description_Simple,0.9,0.9,0.9,0.9,True,0.562751054763794,0.3372489452362061,True,True,True,True,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.49027007818222046,0.3902700781822205,True,False,False,False,True
p02916,Description_Simple,0.6,0.6,0.6,0.6,True,0.4011240601539612,0.1988759398460388,False,True,False,False,False
p02718,Description_Simple,0.9,0.9,0.9,0.9,True,0.5433474779129028,0.3566525220870972,True,True,True,True,False
p02911,Description_Simple,0.2,0.3,0.25,0.225,False,0.3138909637928009,0.0888909637928009,True,False,False,False,True
p04012,Description_Simple,0.9,0.9,0.9,0.9,True,0.574440062046051,0.325559937953949,True,True,True,True,False
p02571,Description_Simple,0.2,0.2,0.2,0.2,False,0.4042949676513672,0.20429496765136718,True,False,False,False,True
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.46668463945388794,0.26668463945388793,True,False,False,False,True
p02576,Description_Simple,0.9,0.6,0.75,0.75,True,0.45309239625930786,0.29690760374069214,False,True,False,False,False
p03457,Description_Simple,0.9,0.9,0.9,0.9,True,0.5633769035339355,0.3366230964660645,True,True,True,True,False
p02981,Description_Simple,0.2,0.2,0.2,0.2,False,0.31046897172927856,0.11046897172927855,True,False,False,False,True
p02582,Description_Simple,0.6,0.6,0.6,0.6,True,0.5363819599151611,0.06361804008483884,True,True,True,True,False
p03434,Description_Simple,0.6,0.6,0.6,0.6,True,0.4738531708717346,0.12614682912826536,False,True,False,False,False
p02547,Description_Simple,0.6,0.6,0.6,0.6,True,0.5732358694076538,0.02676413059234617,True,True,True,True,False
p02772,Description_Simple,0.9,0.9,0.9,0.9,True,0.6327446699142456,0.2672553300857544,True,True,True,True,False
p02786,Description_Simple,0.2,0.2,0.2,0.2,False,0.4250095784664154,0.2250095784664154,True,False,False,False,True
p03239,Description_Simple,0.2,0.2,0.2,0.2,False,0.267657995223999,0.06765799522399901,True,False,False,False,True
p02388,Description_Simple,0.6,0.6,0.6,0.6,True,0.7474490404129028,0.14744904041290285,True,True,True,True,False
p02987,Description_Simple,0.9,0.9,0.9,0.9,True,0.5535525679588318,0.34644743204116824,True,True,True,True,False
p02578,Description_Simple,0.3,0.3,0.3,0.3,False,0.3258107304573059,0.02581073045730592,True,False,False,False,True
p02719,Description_Simple,0.2,0.3,0.25,0.225,False,0.4306516647338867,0.2056516647338867,True,False,False,False,True
p03060,Description_Simple,0.6,0.6,0.6,0.6,True,0.2037542462348938,0.3962457537651062,False,True,False,False,False
p02389,Description_Simple,0.3,0.3,0.3,0.3,False,0.40541332960128784,0.10541332960128785,True,False,False,False,True
p02945,Description_Simple,0.2,0.2,0.2,0.2,False,0.5941013693809509,0.3941013693809509,False,False,True,False,False
p02264,Description_Simple,0.6,0.6,0.6,0.6,True,0.6346706748008728,0.034670674800872825,True,True,True,True,False
p03775,Description_Simple,0.9,0.9,0.9,0.9,True,0.4883740246295929,0.4116259753704071,False,True,False,False,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.5538684129714966,0.34613158702850344,True,True,True,True,False
p02899,Description_Simple,0.6,0.6,0.6,0.6,True,0.32421866059303284,0.27578133940696714,False,True,False,False,False
p03316,Description_Simple,0.6,0.6,0.6,0.6,True,0.589664876461029,0.010335123538970925,True,True,True,True,False
p03435,Description_Simple,0.2,0.2,0.2,0.2,False,0.3964894413948059,0.1964894413948059,True,False,False,False,True
p02830,Description_Simple,0.6,0.6,0.6,0.6,True,0.5739036202430725,0.026096379756927468,True,True,True,True,False
p02989,Description_Simple,0.6,0.6,0.6,0.6,True,0.4143577814102173,0.1856422185897827,False,True,False,False,False
p02717,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.44592320919036865,0.37092320919036864,True,False,False,False,True
p02801,Description_Simple,0.6,0.6,0.6,0.6,True,0.6033424735069275,0.0033424735069275124,True,True,True,True,False
p02404,Description_Simple,0.6,0.6,0.6,0.6,True,0.40345442295074463,0.19654557704925535,False,True,False,False,False
p02405,Description_Simple,0.6,0.6,0.6,0.6,True,0.552937388420105,0.047062611579895,True,True,True,True,False
p02897,Description_Simple,0.1,0.1,0.1,0.1,False,0.5355779528617859,0.4355779528617859,False,False,True,False,False
p03146,Description_Simple,0.8,0.8,0.8,0.8,True,0.4813710153102875,0.31862898468971257,False,True,False,False,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.5947504043579102,0.30524959564208987,True,True,True,True,False
p02639,Description_Simple,0.6,0.6,0.6,0.6,True,0.3557136058807373,0.24428639411926267,False,True,False,False,False
p02898,Description_Simple,0.9,0.9,0.9,0.9,True,0.3455714285373688,0.5544285714626312,False,True,False,False,False
p02831,Description_Simple,0.9,0.9,0.9,0.9,True,0.5494793057441711,0.3505206942558289,True,True,True,True,False
p02699,Description_Simple,0.6,0.6,0.6,0.6,True,0.7353160381317139,0.1353160381317139,True,True,True,True,False
p02836,Description_Simple,0.2,0.5,0.35,0.275,False,0.4134022891521454,0.13840228915214536,True,False,False,False,True
p02403,Description_Simple,0.8,0.9,0.8500000000000001,0.875,True,0.4182795286178589,0.4567204713821411,False,True,False,False,False
p03147,Description_Simple,0.2,0.2,0.2,0.2,False,0.45764467120170593,0.2576446712017059,True,False,False,False,True
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.6799586415290833,0.22004135847091677,True,True,True,True,False
p03720,Description_Simple,0.9,0.9,0.9,0.9,True,0.37585586309432983,0.5241441369056702,False,True,False,False,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.7117884159088135,0.18821158409118655,True,True,True,True,False
p02416,Description_Simple,0.9,0.9,0.9,0.9,True,0.714137077331543,0.18586292266845705,True,True,True,True,False
p02420,Description_Simple,0.2,0.2,0.2,0.2,False,0.3663647770881653,0.16636477708816527,True,False,False,False,True
p02418,Description_Simple,0.9,0.9,0.9,0.9,True,0.542987585067749,0.357012414932251,True,True,True,True,False
p02847,Description_Simple,0.6,0.9,0.75,0.75,True,0.6028932332992554,0.14710676670074463,True,True,True,True,False
p02612,Description_Simple,0.0,0.2,0.1,0.05,False,0.3004995882511139,0.2504995882511139,True,False,False,False,True
p03109,Description_Simple,0.2,0.2,0.2,0.2,False,0.5611540675163269,0.3611540675163269,False,False,True,False,False
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.6358659267425537,0.2641340732574463,True,True,True,True,False
p02613,Description_Simple,0.6,0.6,0.6,0.6,True,0.5211269855499268,0.07887301445007322,True,True,True,True,False
p02677,Description_Simple,0.2,0.2,0.2,0.2,False,0.5409819483757019,0.3409819483757019,False,False,True,False,False
p02419,Description_Simple,0.9,0.9,0.9,0.9,True,0.6851043701171875,0.21489562988281252,True,True,True,True,False
p02421,Description_Simple,0.9,0.9,0.9,0.9,True,0.6564931869506836,0.24350681304931643,True,True,True,True,False
p02879,Description_Simple,0.9,0.9,0.9,0.9,True,0.38667839765548706,0.513321602344513,False,True,False,False,False
p02622,Description_Simple,0.6,0.6,0.6,0.6,True,0.40113365650177,0.19886634349822996,False,True,False,False,False
p03107,Description_Simple,0.0,0.0,0.0,0.0,False,0.3783743381500244,0.3783743381500244,True,False,False,False,True
p03360,Description_Simple,0.9,0.9,0.9,0.9,True,0.5741103291511536,0.32588967084884646,True,True,True,True,False
p03136,Description_Simple,0.6,0.6,0.6,0.6,True,0.3404619097709656,0.2595380902290344,False,True,False,False,False
p02641,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.5297645330429077,0.1202354669570922,True,True,True,True,False
p02682,Description_Simple,0.9,0.9,0.9,0.9,True,0.6107376217842102,0.2892623782157898,True,True,True,True,False
p02848,Description_Simple,0.9,0.9,0.9,0.9,True,0.45168232917785645,0.4483176708221436,False,True,False,False,False
p02676,Description_Simple,0.6,0.6,0.6,0.6,True,0.37155061960220337,0.2284493803977966,False,True,False,False,False
p02994,Description_Simple,0.2,0.2,0.2,0.2,False,0.5760470032691956,0.37604700326919555,False,False,True,False,False
p03106,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.5955374240875244,0.0544625759124755,True,True,True,True,False
p02812,Description_Simple,0.9,0.9,0.9,0.9,True,0.6528885960578918,0.24711140394210818,True,True,True,True,False
