Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p04030,Description_Fewshot,0.4,0.9,0.65,True,0.7177958488464355,0.06779584884643552,True,True,True,True,False
p04030,Description_Reason,0.0,0.0,0.0,False,0.669130802154541,0.669130802154541,False,False,True,False,False
p04030,Description_Simple,0.4,0.1,0.25,False,0.7312188148498535,0.4812188148498535,False,False,True,False,False
p03449,Description_Fewshot,0.0,0.8,0.4,False,0.5550599694252014,0.1550599694252014,False,False,True,False,False
p03449,Description_Reason,1.0,0.6,0.8,True,0.5156803131103516,0.2843196868896485,True,True,True,True,False
p03449,Description_Simple,0.3,0.2,0.25,False,0.5310707688331604,0.2810707688331604,False,False,True,False,False
p02571,Description_Fewshot,0.0,0.6,0.3,False,0.5067411065101624,0.20674110651016236,False,False,True,False,False
p02571,Description_Reason,1.0,0.8,0.9,True,0.521648108959198,0.378351891040802,True,True,True,True,False
p02571,Description_Simple,0.7,0.9,0.8,True,0.5315133333206177,0.26848666667938237,True,True,True,True,False
p02388,Description_Fewshot,1.0,0.9,0.95,True,0.7914382219314575,0.15856177806854244,True,True,True,True,False
p02388,Description_Reason,1.0,0.9,0.95,True,0.7362365126609802,0.21376348733901973,True,True,True,True,False
p02388,Description_Simple,1.0,0.9,0.95,True,0.7739372849464417,0.1760627150535583,True,True,True,True,False
p02993,Description_Fewshot,1.0,0.9,0.95,True,0.5458727478981018,0.40412725210189815,True,True,True,True,False
p02993,Description_Reason,0.9,0.9,0.9,True,0.5384926795959473,0.36150732040405276,True,True,True,True,False
p02993,Description_Simple,0.7,0.6,0.6499999999999999,True,0.6270787715911865,0.022921228408813388,True,True,True,True,False
p02951,Description_Fewshot,1.0,0.9,0.95,True,0.5364177227020264,0.4135822772979736,True,True,True,True,False
p02951,Description_Reason,1.0,0.9,0.95,True,0.5333566069602966,0.4166433930397033,True,True,True,True,False
p02951,Description_Simple,0.0,0.9,0.45,False,0.6684038043022156,0.21840380430221557,False,False,True,False,False
p02578,Description_Fewshot,1.0,0.9,0.95,True,0.5877349972724915,0.3622650027275085,True,True,True,True,False
p02578,Description_Reason,1.0,0.9,0.95,True,0.42975226044654846,0.5202477395534515,False,True,False,False,False
p02578,Description_Simple,0.9,0.9,0.9,True,0.6495202779769897,0.2504797220230103,True,True,True,True,False
p03720,Description_Fewshot,1.0,0.9,0.95,True,0.43225181102752686,0.5177481889724731,False,True,False,False,False
p03720,Description_Reason,1.0,0.6,0.8,True,0.4827612638473511,0.31723873615264897,False,True,False,False,False
p03720,Description_Simple,1.0,0.9,0.95,True,0.518139660358429,0.431860339641571,True,True,True,True,False
p02629,Description_Fewshot,1.0,0.9,0.95,True,0.5816391706466675,0.3683608293533325,True,True,True,True,False
p02629,Description_Reason,1.0,0.9,0.95,True,0.5886424779891968,0.3613575220108032,True,True,True,True,False
p02629,Description_Simple,1.0,0.9,0.95,True,0.6312549710273743,0.3187450289726257,True,True,True,True,False
p02860,Description_Fewshot,1.0,0.9,0.95,True,0.5076688528060913,0.44233114719390865,True,True,True,True,False
p02860,Description_Reason,1.0,0.9,0.95,True,0.4897770583629608,0.46022294163703914,False,True,False,False,False
p02860,Description_Simple,1.0,0.9,0.95,True,0.49539947509765625,0.4546005249023437,False,True,False,False,False
p02402,Description_Fewshot,0.4,0.9,0.65,True,0.6387183666229248,0.011281633377075218,True,True,True,True,False
p02402,Description_Reason,1.0,0.9,0.95,True,0.6090030670166016,0.3409969329833984,True,True,True,True,False
p02402,Description_Simple,0.4,1.0,0.7,True,0.6809343099594116,0.019065690040588334,True,True,True,True,False
p03416,Description_Fewshot,1.0,0.6,0.8,True,0.4256685674190521,0.3743314325809479,False,True,False,False,False
p03416,Description_Reason,0.4,0.8,0.6000000000000001,True,0.4324420988559723,0.1675579011440278,False,True,False,False,False
p03416,Description_Simple,1.0,0.6,0.8,True,0.4187488555908203,0.38125114440917973,False,True,False,False,False
p02934,Description_Fewshot,1.0,0.3,0.65,True,0.4383677542209625,0.2116322457790375,False,True,False,False,False
p02934,Description_Reason,1.0,0.0,0.5,True,0.3472466468811035,0.15275335311889648,False,True,False,False,False
p02934,Description_Simple,1.0,0.0,0.5,True,0.36191046237945557,0.13808953762054443,False,True,False,False,False
p03814,Description_Fewshot,0.9,0.0,0.45,False,0.6188012361526489,0.16880123615264891,False,False,True,False,False
p03814,Description_Reason,1.0,0.9,0.95,True,0.6149352788925171,0.33506472110748287,True,True,True,True,False
p03814,Description_Simple,0.0,0.9,0.45,False,0.5604374408721924,0.11043744087219237,False,False,True,False,False
p02759,Description_Fewshot,0.9,0.9,0.9,True,0.23751336336135864,0.6624866366386414,False,True,False,False,False
p02759,Description_Reason,0.0,0.6,0.3,False,0.21880516409873962,0.08119483590126036,True,False,False,False,True
p02759,Description_Simple,0.0,0.0,0.0,False,0.2056773602962494,0.2056773602962494,True,False,False,False,True
p03042,Description_Fewshot,1.0,0.8,0.9,True,0.6008325815200806,0.29916741847991946,True,True,True,True,False
p03042,Description_Reason,1.0,0.9,0.95,True,0.5847395658493042,0.36526043415069576,True,True,True,True,False
p03042,Description_Simple,0.4,0.7,0.55,True,0.5975673198699951,0.04756731986999507,True,True,True,True,False
p03011,Description_Fewshot,1.0,0.9,0.95,True,0.760604202747345,0.18939579725265498,True,True,True,True,False
p03011,Description_Reason,0.4,0.8,0.6000000000000001,True,0.6461499929428101,0.04614999294280997,True,True,True,True,False
p03011,Description_Simple,1.0,0.6,0.8,True,0.7162996530532837,0.08370034694671635,True,True,True,True,False
p03854,Description_Fewshot,1.0,0.9,0.95,True,0.5437977910041809,0.40620220899581905,True,True,True,True,False
p03854,Description_Reason,1.0,0.6,0.8,True,0.5167725086212158,0.2832274913787842,True,True,True,True,False
p03854,Description_Simple,0.6,0.2,0.4,False,0.44719094038009644,0.04719094038009641,True,False,False,False,True
p03060,Description_Fewshot,1.0,0.6,0.8,True,0.3646658957004547,0.43533410429954533,False,True,False,False,False
p03060,Description_Reason,0.4,0.2,0.30000000000000004,False,0.21895305812358856,0.08104694187641148,True,False,False,False,True
p03060,Description_Simple,1.0,0.1,0.55,True,0.3116871118545532,0.23831288814544682,False,True,False,False,False
