Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.0,0.0,0.0,0.0,False,0.4222939610481262,0.4222939610481262,True,False,False,False,True
p02921,Description_Simple,0.0,0.0,0.0,0.0,False,0.353320449590683,0.353320449590683,True,False,False,False,True
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.47390860319137573,0.5260913968086243,False,True,False,False,False
p02773,Description_Simple,0.6,0.6,0.6,0.6,True,0.703603982925415,0.10360398292541506,True,True,True,True,False
p02910,Description_Simple,0.1,0.1,0.1,0.1,False,0.48588696122169495,0.38588696122169497,True,False,False,False,True
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.27647483348846436,0.12352516651153567,True,False,False,False,True
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.5243436694145203,0.47565633058547974,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7430316209793091,0.2569683790206909,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.44682741165161133,0.44682741165161133,True,False,False,False,True
p03456,Description_Simple,0.8,0.8,0.8,0.8,True,0.5526708960533142,0.24732910394668584,True,True,True,True,False
p02917,Description_Simple,0.8,0.8,0.8,0.8,True,0.4315476417541504,0.36845235824584965,False,True,False,False,False
p03469,Description_Simple,0.1,0.1,0.1,0.1,False,0.324215829372406,0.224215829372406,True,False,False,False,True
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.4519971013069153,0.5480028986930847,False,True,False,False,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6682198643684387,0.3317801356315613,True,True,True,True,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.24016587436199188,0.7598341256380081,False,True,False,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.5476386547088623,0.3476386547088623,False,False,True,False,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.2693616449832916,0.7306383550167084,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4663729965686798,0.2663729965686798,True,False,False,False,True
p02718,Description_Simple,0.4,0.4,0.4,0.4,False,0.3971150517463684,0.002884948253631614,True,False,False,False,True
