Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02773,Description_Simple,0.4,0.4,0.4,0.4,False,0.7893089652061462,0.3893089652061462,False,False,True,False,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.6446686387062073,0.25533136129379275,True,True,True,True,False
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.49451905488967896,0.505480945110321,False,True,False,False,False
p02921,Description_Simple,0.5,0.5,0.5,0.5,True,0.6666437387466431,0.16664373874664307,True,True,True,True,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.28399959206581116,0.3160004079341888,False,True,False,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.6158397197723389,0.38416028022766113,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7963136434555054,0.20368635654449463,True,True,True,True,False
p02910,Description_Simple,0.4,0.4,0.4,0.4,False,0.6299824118614197,0.22998241186141966,False,False,True,False,False
p02917,Description_Simple,0.1,0.1,0.1,0.1,False,0.5517472624778748,0.4517472624778748,False,False,True,False,False
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.670992910861969,0.470992910861969,False,False,True,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.3687756061553955,0.3687756061553955,True,False,False,False,True
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.7326911091804504,0.26730889081954956,True,True,True,True,False
p03059,Description_Simple,0.9,0.9,0.9,0.9,True,0.44659528136253357,0.45340471863746645,False,True,False,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.5270034670829773,0.4729965329170227,True,True,True,True,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.43196868896484375,0.23196868896484374,True,False,False,False,True
p02381,Description_Simple,0.8,0.8,0.8,0.8,True,0.6229683756828308,0.17703162431716923,True,True,True,True,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.726481556892395,0.07351844310760502,True,True,True,True,False
p03854,Description_Simple,0.1,0.1,0.1,0.1,False,0.46648073196411133,0.36648073196411135,True,False,False,False,True
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.5980122089385986,0.001987791061401345,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.2454255074262619,0.7545744925737381,False,True,False,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.6804155707359314,0.3195844292640686,True,True,True,True,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.7163583040237427,0.2836416959762573,True,True,True,True,False
p02916,Description_Simple,0.3,0.3,0.3,0.3,False,0.5301621556282043,0.23016215562820436,False,False,True,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.4838228225708008,0.5161771774291992,False,True,False,False,False
p02911,Description_Simple,1.0,1.0,1.0,1.0,True,0.36345115303993225,0.6365488469600677,False,True,False,False,False
p03239,Description_Simple,0.7,0.7,0.7,0.7,True,0.33363914489746094,0.366360855102539,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.7542974948883057,0.24570250511169434,True,True,True,True,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.48872101306915283,0.5112789869308472,False,True,False,False,False
p02772,Description_Simple,0.7,0.7,0.7,0.7,True,0.9008772969245911,0.2008772969245911,True,True,True,True,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.5931077599525452,0.40689224004745483,True,True,True,True,False
p04012,Description_Simple,0.7,0.7,0.7,0.7,True,0.7425792217254639,0.04257922172546391,True,True,True,True,False
p02547,Description_Simple,0.3,0.3,0.3,0.3,False,0.643245279788971,0.34324527978897096,False,False,True,False,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.4179458022117615,0.48205419778823855,False,True,False,False,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.5725518465042114,0.4274481534957886,True,True,True,True,False
p02578,Description_Simple,0.4,0.4,0.4,0.4,False,0.5955501794815063,0.19555017948150633,False,False,True,False,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.3890017867088318,0.3890017867088318,True,False,False,False,True
p03060,Description_Simple,1.0,1.0,1.0,1.0,True,0.6104488372802734,0.38955116271972656,True,True,True,True,False
p02945,Description_Simple,1.0,1.0,1.0,1.0,True,0.6541786193847656,0.3458213806152344,True,True,True,True,False
p02989,Description_Simple,0.0,0.0,0.0,0.0,False,0.3648563623428345,0.3648563623428345,True,False,False,False,True
p02987,Description_Simple,0.9,0.9,0.9,0.9,True,0.7151191234588623,0.18488087654113772,True,True,True,True,False
p02717,Description_Simple,1.0,1.0,1.0,1.0,True,0.5043982863426208,0.49560171365737915,True,True,True,True,False
p03316,Description_Simple,0.8,0.8,0.8,0.8,True,0.5746408104896545,0.2253591895103455,True,True,True,True,False
p02830,Description_Simple,1.0,1.0,1.0,1.0,True,0.6484955549240112,0.35150444507598877,True,True,True,True,False
p02801,Description_Simple,0.7,0.7,0.7,0.7,True,0.6567496657371521,0.043250334262847856,True,True,True,True,False
p02263,Description_Simple,0.8,0.8,0.8,0.8,True,0.879529595375061,0.07952959537506099,True,True,True,True,False
p02899,Description_Simple,0.2,0.2,0.2,0.2,False,0.4203738570213318,0.22037385702133178,True,False,False,False,True
p03775,Description_Simple,1.0,1.0,1.0,1.0,True,0.5772488117218018,0.42275118827819824,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.628071665763855,0.371928334236145,True,True,True,True,False
p03146,Description_Simple,0.9,0.9,0.9,0.9,True,0.4378659725189209,0.4621340274810791,False,True,False,False,False
p02404,Description_Simple,0.4,0.4,0.4,0.4,False,0.4732989966869354,0.0732989966869354,True,False,False,False,True
p02897,Description_Simple,0.9,0.9,0.9,0.9,True,0.7016345262527466,0.19836547374725344,True,True,True,True,False
p02255,Description_Simple,0.7,0.7,0.7,0.7,True,0.6496947407722473,0.05030525922775264,True,True,True,True,False
p02403,Description_Simple,0.7,0.7,0.7,0.7,True,0.4307458996772766,0.26925410032272334,False,True,False,False,False
p02836,Description_Simple,0.2,0.2,0.2,0.2,False,0.47040921449661255,0.27040921449661254,True,False,False,False,True
p02699,Description_Simple,0.2,0.2,0.2,0.2,False,0.7602666020393372,0.5602666020393372,False,False,True,False,False
p02831,Description_Simple,1.0,1.0,1.0,1.0,True,0.5792800188064575,0.4207199811935425,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.6229432821273804,0.27705671787261965,True,True,True,True,False
