Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.5210801959037781,0.4789198040962219,True,True,True,True,False
p02773,Description_Simple,0.6,0.6,0.6,0.6,True,0.6737299561500549,0.07372995615005495,True,True,True,True,False
p02921,Description_Simple,0.4,0.4,0.4,0.4,False,0.6696840524673462,0.26968405246734617,False,False,True,False,False
p03493,Description_Simple,0.8,0.8,0.8,0.8,True,0.5591679811477661,0.24083201885223393,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.6462904810905457,0.35370951890945435,True,True,True,True,False
p02910,Description_Simple,0.7,0.7,0.7,0.7,True,0.5960780382156372,0.10392196178436275,True,True,True,True,False
p03035,Description_Simple,0.5,0.5,0.5,0.5,True,0.5682874321937561,0.0682874321937561,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7779430150985718,0.22205698490142822,True,True,True,True,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.5080457925796509,0.5080457925796509,False,False,True,False,False
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.7083457708358765,0.19165422916412356,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.4310103952884674,0.4310103952884674,True,False,False,False,True
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.5449016094207764,0.34490160942077636,False,False,True,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.40528780221939087,0.5947121977806091,False,True,False,False,False
p02988,Description_Simple,0.8,0.8,0.8,0.8,True,0.523131251335144,0.276868748664856,True,True,True,True,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.5726083517074585,0.4726083517074585,False,False,True,False,False
p02381,Description_Simple,0.5,0.5,0.5,0.5,True,0.6469287872314453,0.1469287872314453,True,True,True,True,False
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.5804933905601501,0.01950660943984983,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.3731400966644287,0.6268599033355713,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4518340229988098,0.2518340229988098,True,False,False,False,True
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7041564583778381,0.09584354162216191,True,True,True,True,False
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.5421333909034729,0.3421333909034729,False,False,True,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.7979155778884888,0.20208442211151123,True,True,True,True,False
p02571,Description_Simple,0.9,0.9,0.9,0.9,True,0.46028751134872437,0.43971248865127566,False,True,False,False,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.6947500705718994,0.3052499294281006,True,True,True,True,False
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.5777426958084106,0.5777426958084106,False,False,True,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.6525866985321045,0.3474133014678955,True,True,True,True,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.8449645638465881,0.15503543615341187,True,True,True,True,False
p03239,Description_Simple,0.9,0.9,0.9,0.9,True,0.34754958748817444,0.5524504125118256,False,True,False,False,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.531714916229248,0.46828508377075195,True,True,True,True,False
p02547,Description_Simple,0.1,0.1,0.1,0.1,False,0.6503794193267822,0.5503794193267822,False,False,True,False,False
p02772,Description_Simple,0.7,0.7,0.7,0.7,True,0.7055171728134155,0.005517172813415572,True,True,True,True,False
p04012,Description_Simple,0.7,0.7,0.7,0.7,True,0.8528231382369995,0.15282313823699956,True,True,True,True,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.42353296279907227,0.42353296279907227,True,False,False,False,True
p02578,Description_Simple,0.7,0.7,0.7,0.7,True,0.5545134544372559,0.1454865455627441,True,True,True,True,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.6381158232688904,0.3618841767311096,True,True,True,True,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.7800257205963135,0.21997427940368652,True,True,True,True,False
p03060,Description_Simple,1.0,1.0,1.0,1.0,True,0.754285991191864,0.245714008808136,True,True,True,True,False
