Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p04030,Description_Fewshot,0.4,0.0,0.2,False,0.6723539233207703,0.47235392332077025,False,False,True,False,False
p04030,Description_Reason,0.4,0.4,0.4,False,0.7403815388679504,0.3403815388679504,False,False,True,False,False
p04030,Description_Simple,0.0,0.9,0.45,False,0.6875834465026855,0.23758344650268554,False,False,True,False,False
p03449,Description_Fewshot,1.0,0.6,0.8,True,0.49806490540504456,0.3019350945949555,False,True,False,False,False
p03449,Description_Reason,0.0,0.0,0.0,False,0.5234605669975281,0.5234605669975281,False,False,True,False,False
p03449,Description_Simple,1.0,0.6,0.8,True,0.5611215829849243,0.23887841701507573,True,True,True,True,False
p02571,Description_Fewshot,0.4,0.8,0.6000000000000001,True,0.44476279616355896,0.15523720383644113,False,True,False,False,False
p02571,Description_Reason,0.0,0.2,0.1,False,0.4957948327064514,0.39579483270645144,True,False,False,False,True
p02571,Description_Simple,1.0,0.9,0.95,True,0.5006321668624878,0.44936783313751216,True,True,True,True,False
p02388,Description_Fewshot,0.9,0.9,0.9,True,0.7337751984596252,0.16622480154037478,True,True,True,True,False
p02388,Description_Reason,1.0,0.9,0.95,True,0.5776004791259766,0.3723995208740234,True,True,True,True,False
p02388,Description_Simple,1.0,0.9,0.95,True,0.6543638110160828,0.2956361889839172,True,True,True,True,False
p02993,Description_Fewshot,0.9,0.9,0.9,True,0.5380426645278931,0.36195733547210696,True,True,True,True,False
p02993,Description_Reason,0.9,0.9,0.9,True,0.5874634981155396,0.31253650188446047,True,True,True,True,False
p02993,Description_Simple,0.9,0.9,0.9,True,0.607658326625824,0.29234167337417605,True,True,True,True,False
p02951,Description_Fewshot,0.9,0.9,0.9,True,0.6020610928535461,0.2979389071464539,True,True,True,True,False
