Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02818,Description_Fewshot,0.0,0.0,0.0,False,0.116851806640625,0.116851806640625,True,False,False,False,True
p02818,Description_Reason,0.0,0.0,0.0,False,0.09472844749689102,0.09472844749689102,True,False,False,False,True
p02818,Description_Simple,0.0,0.0,0.0,False,0.19093039631843567,0.19093039631843567,True,False,False,False,True
p02713,Description_Fewshot,0.1,0.0,0.05,False,0.667304277420044,0.6173042774200439,False,False,True,False,False
p02713,Description_Reason,0.0,0.0,0.0,False,0.06098633259534836,0.06098633259534836,True,False,False,False,True
p02713,Description_Simple,0.0,0.0,0.0,False,0.7354060411453247,0.7354060411453247,False,False,True,False,False
p03545,Description_Fewshot,0.0,0.1,0.05,False,0.47864627838134766,0.42864627838134767,True,False,False,False,True
p03545,Description_Reason,0.0,0.0,0.0,False,0.33412131667137146,0.33412131667137146,True,False,False,False,True
p03545,Description_Simple,0.1,0.0,0.05,False,0.43991780281066895,0.38991780281066896,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.4639091491699219,0.4639091491699219,True,False,False,False,True
p02755,Description_Reason,0.9,0.1,0.5,True,0.3771311938762665,0.12286880612373352,False,True,False,False,False
p02755,Description_Simple,0.0,0.0,0.0,False,0.47331908345222473,0.47331908345222473,True,False,False,False,True
p02705,Description_Fewshot,0.0,0.0,0.0,False,0.6014127731323242,0.6014127731323242,False,False,True,False,False
p02705,Description_Reason,0.0,0.9,0.45,False,0.5403053760528564,0.09030537605285643,False,False,True,False,False
p02705,Description_Simple,0.0,0.0,0.0,False,0.7288281917572021,0.7288281917572021,False,False,True,False,False
p02983,Description_Fewshot,0.4,0.0,0.2,False,0.5728369951248169,0.3728369951248169,False,False,True,False,False
p02983,Description_Reason,0.9,0.0,0.45,False,0.3360135853290558,0.11398641467094422,True,False,False,False,True
p02983,Description_Simple,0.3,0.4,0.35,False,0.5330878496170044,0.18308784961700442,False,False,True,False,False
p02723,Description_Fewshot,0.0,0.3,0.15,False,0.28914955258369446,0.13914955258369446,True,False,False,False,True
p02723,Description_Reason,0.0,0.0,0.0,False,0.15588422119617462,0.15588422119617462,True,False,False,False,True
p02723,Description_Simple,0.0,0.0,0.0,False,0.42080992460250854,0.42080992460250854,True,False,False,False,True
p03680,Description_Fewshot,0.0,0.0,0.0,False,0.33637672662734985,0.33637672662734985,True,False,False,False,True
p03680,Description_Reason,0.0,0.9,0.45,False,0.2362334430217743,0.21376655697822572,True,False,False,False,True
p03680,Description_Simple,0.9,0.9,0.9,True,0.3357851803302765,0.5642148196697235,False,True,False,False,False
p03126,Description_Fewshot,0.0,0.0,0.0,False,0.47876080870628357,0.47876080870628357,True,False,False,False,True
p03126,Description_Reason,0.0,0.0,0.0,False,0.21039222180843353,0.21039222180843353,True,False,False,False,True
p03126,Description_Simple,0.0,0.0,0.0,False,0.3513123691082001,0.3513123691082001,True,False,False,False,True
p02860,Description_Fewshot,0.0,0.0,0.0,False,0.3922017812728882,0.3922017812728882,True,False,False,False,True
p02860,Description_Reason,0.0,0.0,0.0,False,0.34197258949279785,0.34197258949279785,True,False,False,False,True
p02860,Description_Simple,0.0,0.0,0.0,False,0.4629902243614197,0.4629902243614197,True,False,False,False,True
p02989,Description_Fewshot,0.3,0.0,0.15,False,0.41033878922462463,0.2603387892246246,True,False,False,False,True
p02989,Description_Reason,0.0,0.4,0.2,False,0.2984582483768463,0.0984582483768463,True,False,False,False,True
p02989,Description_Simple,0.0,0.0,0.0,False,0.36689409613609314,0.36689409613609314,True,False,False,False,True
p02921,Description_Fewshot,0.0,0.3,0.15,False,0.39062920212745667,0.24062920212745667,True,False,False,False,True
p02921,Description_Reason,0.0,0.0,0.0,False,0.2864992618560791,0.2864992618560791,True,False,False,False,True
p02921,Description_Simple,0.4,0.0,0.2,False,0.46268022060394287,0.26268022060394286,True,False,False,False,True
p02957,Description_Fewshot,0.0,0.0,0.0,False,0.45535895228385925,0.45535895228385925,True,False,False,False,True
p02957,Description_Reason,0.0,0.0,0.0,False,0.3442320227622986,0.3442320227622986,True,False,False,False,True
p02957,Description_Simple,0.0,0.0,0.0,False,0.5886820554733276,0.5886820554733276,False,False,True,False,False
p00006,Description_Fewshot,0.0,0.0,0.0,False,0.5900276303291321,0.5900276303291321,False,False,True,False,False
p00006,Description_Reason,0.7,0.7,0.7,True,0.473659873008728,0.22634012699127193,False,True,False,False,False
p00006,Description_Simple,0.0,0.0,0.0,False,0.6112431287765503,0.6112431287765503,False,False,True,False,False
p03371,Description_Fewshot,0.0,0.0,0.0,False,0.4155906140804291,0.4155906140804291,True,False,False,False,True
p03371,Description_Reason,0.0,0.0,0.0,False,0.2384321391582489,0.2384321391582489,True,False,False,False,True
p03371,Description_Simple,0.0,0.0,0.0,False,0.453441321849823,0.453441321849823,True,False,False,False,True
p02627,Description_Fewshot,0.0,0.0,0.0,False,0.5470662117004395,0.5470662117004395,False,False,True,False,False
p02627,Description_Reason,0.0,0.0,0.0,False,0.7077004313468933,0.7077004313468933,False,False,True,False,False
p02627,Description_Simple,0.0,0.0,0.0,False,0.6533780097961426,0.6533780097961426,False,False,True,False,False
p02982,Description_Fewshot,0.0,0.0,0.0,False,0.6973216533660889,0.6973216533660889,False,False,True,False,False
p02982,Description_Reason,0.0,0.0,0.0,False,0.17406369745731354,0.17406369745731354,True,False,False,False,True
p02982,Description_Simple,0.0,0.0,0.0,False,0.7568423748016357,0.7568423748016357,False,False,True,False,False
p02264,Description_Fewshot,0.0,0.8,0.4,False,0.6193817853927612,0.2193817853927612,False,False,True,False,False
p02264,Description_Reason,0.8,0.0,0.4,False,0.5091745853424072,0.1091745853424072,False,False,True,False,False
p02264,Description_Simple,0.4,0.0,0.2,False,0.6218332648277283,0.42183326482772826,False,False,True,False,False
p02392,Description_Fewshot,0.4,0.0,0.2,False,0.6349592208862305,0.43495922088623046,False,False,True,False,False
p02392,Description_Reason,0.0,0.0,0.0,False,0.5654186010360718,0.5654186010360718,False,False,True,False,False
p02392,Description_Simple,0.0,0.1,0.05,False,0.6478200554847717,0.5978200554847717,False,False,True,False,False
p03075,Description_Fewshot,0.9,0.0,0.45,False,0.4834893047809601,0.03348930478096007,True,False,False,False,True
p03075,Description_Reason,0.0,0.9,0.45,False,0.356721431016922,0.09327856898307801,True,False,False,False,True
p03075,Description_Simple,0.0,0.4,0.2,False,0.6210706233978271,0.42107062339782714,False,False,True,False,False
p02909,Description_Fewshot,0.0,0.0,0.0,False,0.26177334785461426,0.26177334785461426,True,False,False,False,True
p02909,Description_Reason,0.0,0.0,0.0,False,0.21705341339111328,0.21705341339111328,True,False,False,False,True
p02909,Description_Simple,0.0,0.0,0.0,False,0.2434067726135254,0.2434067726135254,True,False,False,False,True
p02421,Description_Fewshot,0.0,0.4,0.2,False,0.5459973812103271,0.34599738121032714,False,False,True,False,False
p02421,Description_Reason,0.0,0.7,0.35,False,0.1734958291053772,0.17650417089462278,True,False,False,False,True
p02421,Description_Simple,0.4,0.0,0.2,False,0.5765129923820496,0.37651299238204955,False,False,True,False,False
p03494,Description_Fewshot,0.7,0.1,0.39999999999999997,False,0.4514860212802887,0.05148602128028873,True,False,False,False,True
p03494,Description_Reason,0.0,0.0,0.0,False,0.07954850792884827,0.07954850792884827,True,False,False,False,True
p03494,Description_Simple,0.0,0.0,0.0,False,0.43220147490501404,0.43220147490501404,True,False,False,False,True
p02640,Description_Fewshot,0.0,0.0,0.0,False,0.292935848236084,0.292935848236084,True,False,False,False,True
p02640,Description_Reason,0.0,0.0,0.0,False,0.257469117641449,0.257469117641449,True,False,False,False,True
p02640,Description_Simple,0.0,0.0,0.0,False,0.2749868929386139,0.2749868929386139,True,False,False,False,True
p02898,Description_Fewshot,0.0,0.9,0.45,False,0.26492100954055786,0.18507899045944215,True,False,False,False,True
p02898,Description_Reason,0.9,0.0,0.45,False,0.13771189749240875,0.31228810250759126,True,False,False,False,True
p02898,Description_Simple,1.0,1.0,1.0,True,0.24738270044326782,0.7526172995567322,False,True,False,False,False
p02835,Description_Fewshot,0.0,0.0,0.0,False,0.3796800971031189,0.3796800971031189,True,False,False,False,True
p02835,Description_Reason,0.0,0.0,0.0,False,0.2436763197183609,0.2436763197183609,True,False,False,False,True
p02835,Description_Simple,0.0,0.0,0.0,False,0.5770065784454346,0.5770065784454346,False,False,True,False,False
p02951,Description_Fewshot,0.0,0.0,0.0,False,0.2526877224445343,0.2526877224445343,True,False,False,False,True
p02951,Description_Reason,0.9,0.0,0.45,False,0.10163167119026184,0.34836832880973817,True,False,False,False,True
p02951,Description_Simple,0.9,0.0,0.45,False,0.37802958488464355,0.07197041511535646,True,False,False,False,True
p02576,Description_Fewshot,0.0,0.9,0.45,False,0.5778982043266296,0.12789820432662963,False,False,True,False,False
p02576,Description_Reason,0.0,0.9,0.45,False,0.16568510234355927,0.28431489765644075,True,False,False,False,True
p02576,Description_Simple,0.9,0.0,0.45,False,0.3917521834373474,0.0582478165626526,True,False,False,False,True
p02699,Description_Fewshot,0.0,0.0,0.0,False,0.5115336775779724,0.5115336775779724,False,False,True,False,False
p02699,Description_Reason,0.0,0.0,0.0,False,0.2712630033493042,0.2712630033493042,True,False,False,False,True
p02699,Description_Simple,0.9,0.0,0.45,False,0.6021097898483276,0.15210978984832763,False,False,True,False,False
p02388,Description_Fewshot,0.0,0.0,0.0,False,0.563148558139801,0.563148558139801,False,False,True,False,False
p02388,Description_Reason,0.0,0.9,0.45,False,0.6428000926971436,0.19280009269714354,False,False,True,False,False
p02388,Description_Simple,0.0,0.9,0.45,False,0.7502498626708984,0.3002498626708984,False,False,True,False,False
p03457,Description_Fewshot,0.8,0.9,0.8500000000000001,True,0.5440709590911865,0.30592904090881357,True,True,True,True,False
p03457,Description_Reason,0.0,0.8,0.4,False,0.1771363615989685,0.22286363840103152,True,False,False,False,True
p03457,Description_Simple,0.0,0.0,0.0,False,0.6255074739456177,0.6255074739456177,False,False,True,False,False
p02570,Description_Fewshot,0.0,0.0,0.0,False,0.5440645813941956,0.5440645813941956,False,False,True,False,False
p02570,Description_Reason,0.9,0.0,0.45,False,0.10973929613828659,0.3402607038617134,True,False,False,False,True
p02570,Description_Simple,0.0,0.0,0.0,False,0.45133519172668457,0.45133519172668457,True,False,False,False,True
p03775,Description_Fewshot,0.0,0.0,0.0,False,0.5250820517539978,0.5250820517539978,False,False,True,False,False
p03775,Description_Reason,0.0,0.0,0.0,False,0.37479108572006226,0.37479108572006226,True,False,False,False,True
p03775,Description_Simple,0.9,0.0,0.45,False,0.40500408411026,0.04499591588974,True,False,False,False,True
p02259,Description_Fewshot,1.0,0.9,0.95,True,0.43898290395736694,0.511017096042633,False,True,False,False,False
p02259,Description_Reason,0.4,0.9,0.65,True,0.4968537986278534,0.15314620137214663,False,True,False,False,False
p02259,Description_Simple,0.9,1.0,0.95,True,0.4713195562362671,0.47868044376373287,False,True,False,False,False
p02658,Description_Fewshot,0.4,0.4,0.4,False,0.6338780522346497,0.23387805223464964,False,False,True,False,False
p02658,Description_Reason,0.0,0.0,0.0,False,0.1901376098394394,0.1901376098394394,True,False,False,False,True
p02658,Description_Simple,0.0,0.4,0.2,False,0.5383861064910889,0.33838610649108886,False,False,True,False,False
p02717,Description_Fewshot,0.0,0.0,0.0,False,0.38990044593811035,0.38990044593811035,True,False,False,False,True
p02717,Description_Reason,0.0,0.0,0.0,False,0.2547048330307007,0.2547048330307007,True,False,False,False,True
p02717,Description_Simple,0.0,0.0,0.0,False,0.597679615020752,0.597679615020752,False,False,True,False,False
p03435,Description_Fewshot,0.4,0.0,0.2,False,0.3949066698551178,0.1949066698551178,True,False,False,False,True
p03435,Description_Reason,0.0,0.0,0.0,False,0.2508934438228607,0.2508934438228607,True,False,False,False,True
p03435,Description_Simple,0.0,0.0,0.0,False,0.4338669776916504,0.4338669776916504,True,False,False,False,True
p02405,Description_Fewshot,0.0,0.0,0.0,False,0.4043002724647522,0.4043002724647522,True,False,False,False,True
p02405,Description_Reason,0.0,0.4,0.2,False,0.23592475056648254,0.03592475056648253,True,False,False,False,True
p02405,Description_Simple,0.0,0.0,0.0,False,0.4396030902862549,0.4396030902862549,True,False,False,False,True
p02917,Description_Fewshot,0.0,0.0,0.0,False,0.5729448795318604,0.5729448795318604,False,False,True,False,False
p02917,Description_Reason,0.0,0.0,0.0,False,0.262902170419693,0.262902170419693,True,False,False,False,True
p02917,Description_Simple,0.0,0.0,0.0,False,0.4664483666419983,0.4664483666419983,True,False,False,False,True
p02829,Description_Fewshot,0.0,0.0,0.0,False,0.23571908473968506,0.23571908473968506,True,False,False,False,True
p02829,Description_Reason,0.0,0.0,0.0,False,0.38399600982666016,0.38399600982666016,True,False,False,False,True
p02829,Description_Simple,0.0,0.0,0.0,False,0.4767330586910248,0.4767330586910248,True,False,False,False,True
p02731,Description_Fewshot,0.0,0.1,0.05,False,0.3960714042186737,0.3460714042186737,True,False,False,False,True
p02731,Description_Reason,0.1,0.0,0.05,False,0.19920311868190765,0.14920311868190766,True,False,False,False,True
p02731,Description_Simple,0.0,0.1,0.05,False,0.5168917179107666,0.4668917179107666,False,False,True,False,False
p02910,Description_Fewshot,0.0,0.0,0.0,False,0.45057928562164307,0.45057928562164307,True,False,False,False,True
p02910,Description_Reason,0.0,0.0,0.0,False,0.22736063599586487,0.22736063599586487,True,False,False,False,True
p02910,Description_Simple,0.0,0.0,0.0,False,0.24735543131828308,0.24735543131828308,True,False,False,False,True
p02681,Description_Fewshot,0.0,0.0,0.0,False,0.43348005414009094,0.43348005414009094,True,False,False,False,True
p02681,Description_Reason,0.0,0.0,0.0,False,0.36476200819015503,0.36476200819015503,True,False,False,False,True
p02681,Description_Simple,0.0,0.0,0.0,False,0.3540581166744232,0.3540581166744232,True,False,False,False,True
p02416,Description_Fewshot,0.0,0.0,0.0,False,0.4848635494709015,0.4848635494709015,True,False,False,False,True
p02416,Description_Reason,0.0,0.0,0.0,False,0.35824814438819885,0.35824814438819885,True,False,False,False,True
p02416,Description_Simple,0.0,0.0,0.0,False,0.5836528539657593,0.5836528539657593,False,False,True,False,False
p03071,Description_Fewshot,0.0,0.0,0.0,False,0.23641955852508545,0.23641955852508545,True,False,False,False,True
p03071,Description_Reason,0.0,0.0,0.0,False,0.03886396437883377,0.03886396437883377,True,False,False,False,True
p03071,Description_Simple,0.0,0.0,0.0,False,0.2920902371406555,0.2920902371406555,True,False,False,False,True
p02719,Description_Fewshot,0.0,0.9,0.45,False,0.44480517506599426,0.005194824934005748,True,False,False,False,True
p02719,Description_Reason,0.0,0.0,0.0,False,0.17274293303489685,0.17274293303489685,True,False,False,False,True
p02719,Description_Simple,0.0,0.0,0.0,False,0.3789527416229248,0.3789527416229248,True,False,False,False,True
p00001,Description_Fewshot,0.0,0.0,0.0,False,0.6174120903015137,0.6174120903015137,False,False,True,False,False
p00001,Description_Reason,0.7,0.7,0.7,True,0.3733954131603241,0.32660458683967586,False,True,False,False,False
p00001,Description_Simple,0.1,0.4,0.25,False,0.6346535086631775,0.3846535086631775,False,False,True,False,False
p02881,Description_Fewshot,0.4,0.1,0.25,False,0.34316951036453247,0.09316951036453247,True,False,False,False,True
p02881,Description_Reason,0.9,0.0,0.45,False,0.10341868549585342,0.3465813145041466,True,False,False,False,True
p02881,Description_Simple,0.0,0.9,0.45,False,0.3144568204879761,0.13554317951202394,True,False,False,False,True
p02812,Description_Fewshot,0.9,0.9,0.9,True,0.5241079330444336,0.37589206695556643,True,True,True,True,False
p02812,Description_Reason,0.0,0.0,0.0,False,0.2467968761920929,0.2467968761920929,True,False,False,False,True
p02812,Description_Simple,0.0,0.0,0.0,False,0.6637229323387146,0.6637229323387146,False,False,True,False,False
p02767,Description_Fewshot,0.0,0.0,0.0,False,0.2698715627193451,0.2698715627193451,True,False,False,False,True
p02767,Description_Reason,0.0,0.0,0.0,False,0.19417399168014526,0.19417399168014526,True,False,False,False,True
p02767,Description_Simple,0.0,0.0,0.0,False,0.34948280453681946,0.34948280453681946,True,False,False,False,True
p02404,Description_Fewshot,0.7,0.9,0.8,True,0.418905645608902,0.38109435439109807,False,True,False,False,False
p02404,Description_Reason,0.0,0.0,0.0,False,0.27646589279174805,0.27646589279174805,True,False,False,False,True
p02404,Description_Simple,0.0,0.0,0.0,False,0.5721855759620667,0.5721855759620667,False,False,True,False,False
p02412,Description_Fewshot,0.0,0.0,0.0,False,0.5092346668243408,0.5092346668243408,False,False,True,False,False
p02412,Description_Reason,0.0,0.7,0.35,False,0.289657860994339,0.06034213900566099,True,False,False,False,True
p02412,Description_Simple,0.0,0.0,0.0,False,0.7553033232688904,0.7553033232688904,False,False,True,False,False
p02730,Description_Fewshot,0.9,0.0,0.45,False,0.4051370918750763,0.04486290812492372,True,False,False,False,True
p02730,Description_Reason,0.0,0.0,0.0,False,0.22768916189670563,0.22768916189670563,True,False,False,False,True
p02730,Description_Simple,0.0,0.0,0.0,False,0.49268144369125366,0.49268144369125366,True,False,False,False,True
p03478,Description_Fewshot,0.0,0.0,0.0,False,0.5505378842353821,0.5505378842353821,False,False,True,False,False
p03478,Description_Reason,0.0,0.0,0.0,False,0.21156500279903412,0.21156500279903412,True,False,False,False,True
p03478,Description_Simple,0.0,0.0,0.0,False,0.5879291296005249,0.5879291296005249,False,False,True,False,False
p02578,Description_Fewshot,0.0,0.0,0.0,False,0.4842239320278168,0.4842239320278168,True,False,False,False,True
p02578,Description_Reason,0.0,0.0,0.0,False,0.092353954911232,0.092353954911232,True,False,False,False,True
p02578,Description_Simple,0.0,0.0,0.0,False,0.47178763151168823,0.47178763151168823,True,False,False,False,True
p03292,Description_Fewshot,0.0,0.9,0.45,False,0.436887264251709,0.013112735748291027,True,False,False,False,True
p03292,Description_Reason,0.0,0.0,0.0,False,0.4114726483821869,0.4114726483821869,True,False,False,False,True
p03292,Description_Simple,0.0,0.0,0.0,False,0.4560481607913971,0.4560481607913971,True,False,False,False,True
p02819,Description_Fewshot,0.9,0.0,0.45,False,0.4866085648536682,0.0366085648536682,True,False,False,False,True
p02819,Description_Reason,0.0,0.0,0.0,False,0.38410165905952454,0.38410165905952454,True,False,False,False,True
p02819,Description_Simple,0.0,0.0,0.0,False,0.5122116804122925,0.5122116804122925,False,False,True,False,False
p03470,Description_Fewshot,0.0,0.0,0.0,False,0.5901673436164856,0.5901673436164856,False,False,True,False,False
p03470,Description_Reason,0.0,0.0,0.0,False,0.27059030532836914,0.27059030532836914,True,False,False,False,True
p03470,Description_Simple,0.0,0.0,0.0,False,0.4413910508155823,0.4413910508155823,True,False,False,False,True
p02935,Description_Fewshot,0.0,0.0,0.0,False,0.5076776742935181,0.5076776742935181,False,False,True,False,False
p02935,Description_Reason,0.0,0.0,0.0,False,0.2426196038722992,0.2426196038722992,True,False,False,False,True
p02935,Description_Simple,0.0,0.0,0.0,False,0.49428093433380127,0.49428093433380127,True,False,False,False,True
p03449,Description_Fewshot,0.0,0.0,0.0,False,0.5313500761985779,0.5313500761985779,False,False,True,False,False
p03449,Description_Reason,0.0,0.0,0.0,False,0.23030675947666168,0.23030675947666168,True,False,False,False,True
p03449,Description_Simple,0.0,0.0,0.0,False,0.575864315032959,0.575864315032959,False,False,True,False,False
p02718,Description_Fewshot,0.0,0.0,0.0,False,0.5119301676750183,0.5119301676750183,False,False,True,False,False
p02718,Description_Reason,0.0,0.0,0.0,False,0.20901942253112793,0.20901942253112793,True,False,False,False,True
p02718,Description_Simple,0.0,0.0,0.0,False,0.5180397033691406,0.5180397033691406,False,False,True,False,False
p02687,Description_Fewshot,0.0,0.0,0.0,False,0.2187652885913849,0.2187652885913849,True,False,False,False,True
p02687,Description_Reason,0.0,0.4,0.2,False,0.0628775954246521,0.1371224045753479,True,False,False,False,True
p02687,Description_Simple,0.0,0.0,0.0,False,0.28629955649375916,0.28629955649375916,True,False,False,False,True
p02403,Description_Fewshot,0.0,0.0,0.0,False,0.39254218339920044,0.39254218339920044,True,False,False,False,True
p02403,Description_Reason,0.4,0.0,0.2,False,0.14390474557876587,0.05609525442123414,True,False,False,False,True
p02403,Description_Simple,0.0,0.0,0.0,False,0.47722509503364563,0.47722509503364563,True,False,False,False,True
p02693,Description_Fewshot,0.3,0.0,0.15,False,0.2894139289855957,0.1394139289855957,True,False,False,False,True
p02693,Description_Reason,0.0,0.9,0.45,False,0.13181310892105103,0.318186891078949,True,False,False,False,True
p02693,Description_Simple,0.9,0.3,0.6,True,0.37993258237838745,0.22006741762161253,False,True,False,False,False
p02848,Description_Fewshot,0.0,0.0,0.0,False,0.44597622752189636,0.44597622752189636,True,False,False,False,True
p02848,Description_Reason,0.0,0.0,0.0,False,0.39543139934539795,0.39543139934539795,True,False,False,False,True
p02848,Description_Simple,0.0,0.0,0.0,False,0.4995421767234802,0.4995421767234802,True,False,False,False,True
p02988,Description_Fewshot,0.0,0.0,0.0,False,0.4315369129180908,0.4315369129180908,True,False,False,False,True
p02988,Description_Reason,0.0,0.0,0.0,False,0.29488563537597656,0.29488563537597656,True,False,False,False,True
p02988,Description_Simple,0.0,0.0,0.0,False,0.45454028248786926,0.45454028248786926,True,False,False,False,True
p02411,Description_Fewshot,0.0,0.0,0.0,False,0.6262312531471252,0.6262312531471252,False,False,True,False,False
p02411,Description_Reason,0.1,0.1,0.1,False,0.615429162979126,0.515429162979126,False,False,True,False,False
p02411,Description_Simple,0.0,0.0,0.0,False,0.6969786286354065,0.6969786286354065,False,False,True,False,False
p02641,Description_Fewshot,0.0,0.0,0.0,False,0.5539854764938354,0.5539854764938354,False,False,True,False,False
p02641,Description_Reason,0.0,0.0,0.0,False,0.22086812555789948,0.22086812555789948,True,False,False,False,True
p02641,Description_Simple,0.1,1.0,0.55,True,0.40035581588745117,0.14964418411254887,False,True,False,False,False
p02577,Description_Fewshot,0.0,0.9,0.45,False,0.737869381904602,0.28786938190460204,False,False,True,False,False
p02577,Description_Reason,1.0,0.0,0.5,True,0.5043042898178101,0.004304289817810059,True,True,True,True,False
p02577,Description_Simple,0.0,0.1,0.05,False,0.6965147852897644,0.6465147852897644,False,False,True,False,False
p03073,Description_Fewshot,0.0,0.0,0.0,False,0.5202124118804932,0.5202124118804932,False,False,True,False,False
p03073,Description_Reason,0.9,0.0,0.45,False,0.2049201875925064,0.2450798124074936,True,False,False,False,True
p03073,Description_Simple,0.0,0.0,0.0,False,0.5229615569114685,0.5229615569114685,False,False,True,False,False
p02257,Description_Fewshot,0.9,0.9,0.9,True,0.6242790818214417,0.27572091817855837,True,True,True,True,False
p02257,Description_Reason,0.8,0.0,0.4,False,0.5578096508979797,0.15780965089797971,False,False,True,False,False
