Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0039,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0628,Description_Simple,0.6,0.6,0.6,0.6,True,0.0,0.6,False,True,False,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.0,0.1,True,False,False,False,True
mbpp_0665,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0060,Description_Simple,0.1,0.1,0.1,0.1,False,0.0,0.1,True,False,False,False,True
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0550,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
mbpp_0881,Description_Simple,0.7,0.7,0.7,0.7,True,0.0,0.7,False,True,False,False,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.0,0.7,False,True,False,False,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0850,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0031,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0453,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0074,Description_Simple,0.3,0.3,0.3,0.3,False,0.0,0.3,True,False,False,False,True
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
