Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4502628743648529,0.5497371256351471,False,True,False,False,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.5386463403701782,0.4613536596298218,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7122514247894287,0.2877485752105713,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.4752309322357178,0.5247690677642822,False,True,False,False,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.507361114025116,0.49263888597488403,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.5292111039161682,0.42921110391616824,False,False,True,False,False
mbpp_0245,Description_Simple,0.0,0.0,0.0,0.0,False,0.5047262907028198,0.5047262907028198,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.6490006446838379,0.3509993553161621,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5262100696563721,0.47378993034362793,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.5819584131240845,0.4180415868759155,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6653459072113037,0.3346540927886963,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.4622381031513214,0.5377618968486786,False,True,False,False,False
mbpp_0423,Description_Simple,0.9,0.9,0.9,0.9,True,0.5775370597839355,0.3224629402160645,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7333917021751404,0.2666082978248596,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8215732574462891,0.17842674255371094,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.422776460647583,0.022776460647582986,True,False,False,False,True
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6973868012428284,0.30261319875717163,True,True,True,True,False
mbpp_0315,Description_Simple,0.7,0.7,0.7,0.7,True,0.8282321691513062,0.1282321691513062,True,True,True,True,False
mbpp_0628,Description_Simple,0.5,0.5,0.5,0.5,True,0.5386883616447449,0.03868836164474487,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.8131968379020691,0.1868031620979309,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.5925594568252563,0.40744054317474365,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6777594089508057,0.32224059104919434,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5042771100997925,0.4957228899002075,True,True,True,True,False
mbpp_0834,Description_Simple,0.1,0.1,0.1,0.1,False,0.5860518217086792,0.4860518217086792,False,False,True,False,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.38502225279808044,0.28502225279808047,True,False,False,False,True
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6867601871490479,0.31323981285095215,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.7261621952056885,0.32616219520568845,False,False,True,False,False
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.5701850652694702,0.5701850652694702,False,False,True,False,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.5877687931060791,0.18776879310607908,False,False,True,False,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.5874714851379395,0.18747148513793943,False,False,True,False,False
mbpp_0548,Description_Simple,0.9,0.9,0.9,0.9,True,0.6617785692214966,0.23822143077850344,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7126510739326477,0.2873489260673523,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.8423666954040527,0.15763330459594727,True,True,True,True,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.5274573564529419,0.07254264354705808,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6509543061256409,0.34904569387435913,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7228115200996399,0.2771884799003601,True,True,True,True,False
mbpp_0926,Description_Simple,1.0,1.0,1.0,1.0,True,0.5016897916793823,0.4983102083206177,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.515965461730957,0.48403453826904297,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7581511735916138,0.24184882640838623,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.4682863652706146,0.23171363472938533,False,True,False,False,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.764769971370697,0.23523002862930298,True,True,True,True,False
mbpp_0907,Description_Simple,0.6,0.6,0.6,0.6,True,0.648878276348114,0.048878276348114036,True,True,True,True,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.717836856842041,0.282163143157959,True,True,True,True,False
