,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,1.0,0.47058823529411764,0.7,0.6532663316582915,0.014388489208633094,0.6844919786096256,0.2714285714285714,0.014285714285714285,0.6972972972972973,0.4810126582278481,0.5934065934065934,0.26573426573426573,0.0,0.4342105263157895
GPT3.5,0.47058823529411764,1.0,0.5531914893617021,0.4375,0.023255813953488372,0.46368715083798884,0.3617021276595745,0.022988505747126436,0.4419889502762431,0.4715447154471545,0.4720496894409938,0.28,0.011627906976744186,0.46017699115044247
GPT4o,0.7,0.5531914893617021,1.0,0.6649484536082474,0.015037593984962405,0.6702702702702703,0.31297709923664124,0.022556390977443608,0.6648648648648648,0.5302013422818792,0.6045197740112994,0.2589928057553957,0.007518796992481203,0.5142857142857142
Gemini,0.6532663316582915,0.4375,0.6649484536082474,1.0,0.010526315789473684,0.8029556650246306,0.23118279569892472,0.015789473684210527,0.806930693069307,0.4690721649484536,0.6473429951690821,0.20207253886010362,0.005263157894736842,0.4010416666666667
LlamaVL,0.014388489208633094,0.023255813953488372,0.015037593984962405,0.010526315789473684,1.0,0.011363636363636364,0.0,0.0,0.011428571428571429,0.010416666666666666,0.013245033112582781,0.0,0.0,0.0
O4-mini,0.6844919786096256,0.46368715083798884,0.6702702702702703,0.8029556650246306,0.011363636363636364,1.0,0.25146198830409355,0.017045454545454544,0.7908163265306123,0.489010989010989,0.6598984771573604,0.21787709497206703,0.005681818181818182,0.4406779661016949
Qwen3VL,0.2714285714285714,0.3617021276595745,0.31297709923664124,0.23118279569892472,0.0,0.25146198830409355,1.0,0.022222222222222223,0.2529411764705882,0.29523809523809524,0.26490066225165565,0.2028985507246377,0.023255813953488372,0.2872340425531915
codellama,0.014285714285714285,0.022988505747126436,0.022556390977443608,0.015789473684210527,0.0,0.017045454545454544,0.022222222222222223,1.0,0.017142857142857144,0.031578947368421054,0.013157894736842105,0.0,0.0,0.025
deepseek-r1,0.6972972972972973,0.4419889502762431,0.6648648648648648,0.806930693069307,0.011428571428571429,0.7908163265306123,0.2529411764705882,0.017142857142857144,1.0,0.49171270718232046,0.6381909547738693,0.21910112359550563,0.005714285714285714,0.3956043956043956
mistral,0.4810126582278481,0.4715447154471545,0.5302013422818792,0.4690721649484536,0.010416666666666666,0.489010989010989,0.29523809523809524,0.031578947368421054,0.49171270718232046,1.0,0.4819277108433735,0.26851851851851855,0.010526315789473684,0.4745762711864407
qwencoder32B,0.5934065934065934,0.4720496894409938,0.6045197740112994,0.6473429951690821,0.013245033112582781,0.6598984771573604,0.26490066225165565,0.013157894736842105,0.6381909547738693,0.4819277108433735,1.0,0.22151898734177214,0.0,0.4375
starchat,0.26573426573426573,0.28,0.2589928057553957,0.20207253886010362,0.0,0.21787709497206703,0.2028985507246377,0.0,0.21910112359550563,0.26851851851851855,0.22151898734177214,1.0,0.0,0.3010752688172043
starcoder,0.0,0.011627906976744186,0.007518796992481203,0.005263157894736842,0.0,0.005681818181818182,0.023255813953488372,0.0,0.005714285714285714,0.010526315789473684,0.0,0.0,1.0,0.0
Llama70B,0.4342105263157895,0.46017699115044247,0.5142857142857142,0.4010416666666667,0.0,0.4406779661016949,0.2872340425531915,0.025,0.3956043956043956,0.4745762711864407,0.4375,0.3010752688172043,0.0,1.0
