Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.5336019992828369,0.3336019992828369,False,False,True,False,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.5392575263977051,0.4607424736022949,True,True,True,True,False
p02268,Description_Simple,0.8,0.8,0.8,0.8,True,0.3011389374732971,0.4988610625267029,False,True,False,False,False
p00007,Description_Simple,0.1,0.1,0.1,0.1,False,0.2864625155925751,0.18646251559257507,True,False,False,False,True
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5696585774421692,0.4303414225578308,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.5427122712135315,0.4572877287864685,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.5911258459091187,0.40887415409088135,True,True,True,True,False
p00002,Description_Simple,0.9,0.9,0.9,0.9,True,0.3934274911880493,0.5065725088119507,False,True,False,False,False
p00011,Description_Simple,0.8,0.8,0.8,0.8,True,0.26974087953567505,0.530259120464325,False,True,False,False,False
p00006,Description_Simple,0.0,0.0,0.0,0.0,False,0.19900675117969513,0.19900675117969513,True,False,False,False,True
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.5506850481033325,0.3493149518966675,True,True,True,True,False
p00003,Description_Simple,0.8,0.8,0.8,0.8,True,0.38181012868881226,0.4181898713111878,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.4974599778652191,0.5025400221347809,False,True,False,False,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.6074888110160828,0.39251118898391724,True,True,True,True,False
p00001,Description_Simple,0.7,0.7,0.7,0.7,True,0.5842357873916626,0.11576421260833736,True,True,True,True,False
p02258,Description_Simple,0.2,0.2,0.2,0.2,False,0.4230821132659912,0.2230821132659912,True,False,False,False,True
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.4335484206676483,0.4664515793323517,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6862612962722778,0.31373870372772217,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.14489085972309113,0.7551091402769089,False,True,False,False,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.32182419300079346,0.5781758069992066,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.44129693508148193,0.5587030649185181,False,True,False,False,False
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.4610289931297302,0.5389710068702698,False,True,False,False,False
p02404,Description_Simple,0.8,0.8,0.8,0.8,True,0.38724732398986816,0.4127526760101319,False,True,False,False,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.4816301167011261,0.31836988329887395,False,True,False,False,False
p02396,Description_Simple,0.7,0.7,0.7,0.7,True,0.24109558761119843,0.45890441238880153,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.36522048711776733,0.6347795128822327,False,True,False,False,False
p02403,Description_Simple,0.8,0.8,0.8,0.8,True,0.35769739747047424,0.4423026025295258,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.5160230398178101,0.38397696018218996,True,True,True,True,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.4130421578884125,0.5869578421115875,False,True,False,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.4145645499229431,0.5854354500770569,False,True,False,False,False
p02394,Description_Simple,0.2,0.2,0.2,0.2,False,0.3678116798400879,0.16781167984008788,True,False,False,False,True
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.47490641474723816,0.5250935852527618,False,True,False,False,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.19739718735218048,0.7026028126478195,False,True,False,False,False
p02407,Description_Simple,0.0,0.0,0.0,0.0,False,0.10303770005702972,0.10303770005702972,True,False,False,False,True
p02405,Description_Simple,0.8,0.8,0.8,0.8,True,0.25109022855758667,0.5489097714424134,False,True,False,False,False
p02411,Description_Simple,0.2,0.2,0.2,0.2,False,0.46889472007751465,0.26889472007751464,True,False,False,False,True
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.4394909143447876,0.5605090856552124,False,True,False,False,False
p02416,Description_Simple,0.0,0.0,0.0,0.0,False,0.10244635492563248,0.10244635492563248,True,False,False,False,True
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.5080916881561279,0.49190831184387207,True,True,True,True,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6686311960220337,0.3313688039779663,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.5990027785301208,0.40099722146987915,True,True,True,True,False
p02408,Description_Simple,0.2,0.2,0.2,0.2,False,0.1666361689567566,0.03336383104324342,True,False,False,False,True
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.4888297915458679,0.5111702084541321,False,True,False,False,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.1628817766904831,0.8371182233095169,False,True,False,False,False
p02414,Description_Simple,1.0,1.0,1.0,1.0,True,0.5032059550285339,0.49679404497146606,True,True,True,True,False
