Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02847,Description_Detailed,0.7,0.4,0.55,True,0.5594794750213623,0.00947947502136226,True,True,True,True,False
p02847,Description_Fewshot,0.4,0.9,0.65,True,0.5746150612831116,0.07538493871688845,True,True,True,True,False
p02847,Description_Reason,0.7,0.7,0.7,True,0.6414598822593689,0.05854011774063106,True,True,True,True,False
p02847,Description_Simple,0.4,0.4,0.4,False,0.5655093789100647,0.16550937891006468,False,False,True,False,False
p02847,Description_Vague,0.4,0.4,0.4,False,0.5370602607727051,0.13706026077270506,False,False,True,False,False
p00006,Description_Detailed,0.9,0.4,0.65,True,0.5818580985069275,0.06814190149307253,True,True,True,True,False
p00006,Description_Fewshot,0.7,0.4,0.55,True,0.6352867484092712,0.0852867484092712,True,True,True,True,False
p00006,Description_Reason,0.4,0.7,0.55,True,0.6478399038314819,0.09783990383148189,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,False,0.6197769641876221,0.21977696418762205,False,False,True,False,False
p00006,Description_Vague,0.9,1.0,0.95,True,0.3436319828033447,0.6063680171966552,False,True,False,False,False
p02659,Description_Detailed,1.0,1.0,1.0,True,0.599256694316864,0.400743305683136,True,True,True,True,False
p02659,Description_Fewshot,1.0,0.9,0.95,True,0.43577587604522705,0.5142241239547729,False,True,False,False,False
p02659,Description_Reason,1.0,0.9,0.95,True,0.4556095600128174,0.4943904399871826,False,True,False,False,False
p02659,Description_Simple,0.9,0.9,0.9,True,0.48457640409469604,0.415423595905304,False,True,False,False,False
p02659,Description_Vague,0.9,0.7,0.8,True,0.1659250408411026,0.6340749591588974,False,True,False,False,False
p02400,Description_Detailed,0.7,1.0,0.85,True,0.7600119709968567,0.08998802900314329,True,True,True,True,False
p02400,Description_Fewshot,0.7,0.7,0.7,True,0.8185101747512817,0.11851017475128178,True,True,True,True,False
