Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.4905456006526947,0.5094543993473053,False,True,False,False,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.3874050974845886,0.0125949025154114,True,False,False,False,True
mbpp_0635,Description_Simple,0.8,0.8,0.8,0.8,True,0.59739750623703,0.20260249376297002,True,True,True,True,False
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.5480157136917114,0.2519842863082886,True,True,True,True,False
mbpp_0323,Description_Simple,0.4,0.4,0.4,0.4,False,0.6419170498847961,0.24191704988479612,False,False,True,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.7518466711044312,0.24815332889556885,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6525393724441528,0.34746062755584717,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5812828540802002,0.4187171459197998,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.7230191230773926,0.17698087692260744,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6710926294326782,0.3289073705673218,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6663860082626343,0.3336139917373657,True,True,True,True,False
mbpp_0039,Description_Simple,0.6,0.6,0.6,0.6,True,0.6661419868469238,0.06614198684692385,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8208903074264526,0.17910969257354736,True,True,True,True,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.7714000344276428,0.028599965572357222,True,True,True,True,False
mbpp_0069,Description_Simple,0.5,0.5,0.5,0.5,True,0.7104535102844238,0.21045351028442383,True,True,True,True,False
mbpp_0822,Description_Simple,0.1,0.1,0.1,0.1,False,0.711841344833374,0.611841344833374,False,False,True,False,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7223623991012573,0.2776376008987427,True,True,True,True,False
