Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03086,Description_Detailed,0.0,0.4,0.2,False,0.5787584781646729,0.37875847816467284,False,False,True,False,False
p03086,Description_Fewshot,0.1,0.4,0.25,False,0.5617740154266357,0.31177401542663574,False,False,True,False,False
p03086,Description_Reason,0.0,0.0,0.0,False,0.6142414808273315,0.6142414808273315,False,False,True,False,False
p03086,Description_Simple,0.4,0.3,0.35,False,0.6783915758132935,0.3283915758132935,False,False,True,False,False
p03086,Description_Vague,0.4,0.1,0.25,False,0.5295190811157227,0.27951908111572266,False,False,True,False,False
p03325,Description_Detailed,0.0,0.0,0.0,False,0.3319818675518036,0.3319818675518036,True,False,False,False,True
p03325,Description_Fewshot,0.4,0.0,0.2,False,0.3798999786376953,0.1798999786376953,True,False,False,False,True
p03325,Description_Reason,0.3,0.0,0.15,False,0.3955192267894745,0.2455192267894745,True,False,False,False,True
p03325,Description_Simple,0.0,0.1,0.05,False,0.37429696321487427,0.3242969632148743,True,False,False,False,True
p03325,Description_Vague,0.1,0.0,0.05,False,0.3626673221588135,0.3126673221588135,True,False,False,False,True
p03493,Description_Detailed,0.4,0.0,0.2,False,0.18999598920345306,0.010004010796546947,True,False,False,False,True
p03493,Description_Fewshot,0.0,0.7,0.35,False,0.18898062407970428,0.1610193759202957,True,False,False,False,True
p03493,Description_Reason,0.1,0.1,0.1,False,0.2449406385421753,0.1449406385421753,True,False,False,False,True
p03493,Description_Simple,0.7,0.1,0.39999999999999997,False,0.4714205861091614,0.07142058610916141,True,False,False,False,True
p03493,Description_Vague,0.1,0.7,0.39999999999999997,False,0.319680392742157,0.08031960725784298,True,False,False,False,True
p02755,Description_Detailed,0.0,0.0,0.0,False,0.45457392930984497,0.45457392930984497,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.562053918838501,0.562053918838501,False,False,True,False,False
p02755,Description_Reason,0.0,0.0,0.0,False,0.4504484236240387,0.4504484236240387,True,False,False,False,True
p02755,Description_Simple,0.1,0.0,0.05,False,0.48611027002334595,0.43611027002334596,True,False,False,False,True
p02755,Description_Vague,0.0,0.1,0.05,False,0.5196020603179932,0.4696020603179932,False,False,True,False,False
p02394,Description_Detailed,0.0,0.0,0.0,False,0.21835143864154816,0.21835143864154816,True,False,False,False,True
p02394,Description_Fewshot,0.0,0.0,0.0,False,0.24880099296569824,0.24880099296569824,True,False,False,False,True
p02394,Description_Reason,0.0,0.0,0.0,False,0.21338215470314026,0.21338215470314026,True,False,False,False,True
p02394,Description_Simple,0.0,0.1,0.05,False,0.2673751711845398,0.2173751711845398,True,False,False,False,True
p02394,Description_Vague,0.1,0.0,0.05,False,0.20348645746707916,0.15348645746707917,True,False,False,False,True
p02945,Description_Detailed,0.0,0.0,0.0,False,0.474662184715271,0.474662184715271,True,False,False,False,True
p02945,Description_Fewshot,0.0,0.0,0.0,False,0.5031715035438538,0.5031715035438538,False,False,True,False,False
p02945,Description_Reason,0.0,0.0,0.0,False,0.43168577551841736,0.43168577551841736,True,False,False,False,True
p02945,Description_Simple,0.1,0.0,0.05,False,0.5355620980262756,0.48556209802627565,False,False,True,False,False
p02945,Description_Vague,0.0,0.1,0.05,False,0.4610083997249603,0.41100839972496034,True,False,False,False,True
p03469,Description_Detailed,1.0,1.0,1.0,True,0.2021174430847168,0.7978825569152832,False,True,False,False,False
p03469,Description_Fewshot,0.1,0.3,0.2,False,0.2741474509239197,0.07414745092391967,True,False,False,False,True
p03469,Description_Reason,0.1,1.0,0.55,True,0.23011299967765808,0.31988700032234196,False,True,False,False,False
p03469,Description_Simple,0.4,0.1,0.25,False,0.5384283661842346,0.2884283661842346,False,False,True,False,False
p03469,Description_Vague,0.9,0.1,0.5,True,0.16896405816078186,0.33103594183921814,False,True,False,False,False
p02934,Description_Detailed,0.1,1.0,0.55,True,0.11575595289468765,0.4342440471053124,False,True,False,False,False
p02934,Description_Fewshot,0.1,0.4,0.25,False,0.3280736804008484,0.07807368040084839,True,False,False,False,True
p02934,Description_Reason,1.0,0.1,0.55,True,0.14836500585079193,0.4016349941492081,False,True,False,False,False
p02934,Description_Simple,0.0,0.0,0.0,False,0.2806173861026764,0.2806173861026764,True,False,False,False,True
p02934,Description_Vague,0.3,0.0,0.15,False,0.339070200920105,0.18907020092010499,True,False,False,False,True
p03448,Description_Detailed,1.0,0.3,0.65,True,0.39363083243370056,0.25636916756629946,False,True,False,False,False
p03448,Description_Fewshot,0.9,1.0,0.95,True,0.7223347425460815,0.2276652574539184,True,True,True,True,False
p03448,Description_Reason,0.9,0.9,0.9,True,0.611656665802002,0.28834333419799807,True,True,True,True,False
p03448,Description_Simple,0.9,0.9,0.9,True,0.5921335220336914,0.3078664779663086,True,True,True,True,False
p03448,Description_Vague,0.0,0.9,0.45,False,0.5453105568885803,0.09531055688858031,False,False,True,False,False
p02420,Description_Detailed,0.0,0.1,0.05,False,0.26775896549224854,0.21775896549224855,True,False,False,False,True
p02420,Description_Fewshot,0.1,0.0,0.05,False,0.39669227600097656,0.3466922760009766,True,False,False,False,True
p02420,Description_Reason,0.1,0.1,0.1,False,0.3048781156539917,0.2048781156539917,True,False,False,False,True
p02420,Description_Simple,0.1,0.0,0.05,False,0.4095723330974579,0.3595723330974579,True,False,False,False,True
p02420,Description_Vague,0.1,0.1,0.1,False,0.2774835228919983,0.17748352289199829,True,False,False,False,True
p02268,Description_Detailed,0.1,0.1,0.1,False,0.32543376088142395,0.22543376088142394,True,False,False,False,True
p02268,Description_Fewshot,0.1,0.1,0.1,False,0.27986952662467957,0.17986952662467956,True,False,False,False,True
p02268,Description_Reason,0.1,0.1,0.1,False,0.2858991324901581,0.18589913249015808,True,False,False,False,True
p02268,Description_Simple,0.1,0.1,0.1,False,0.3753257095813751,0.27532570958137514,True,False,False,False,True
p02268,Description_Vague,0.1,0.0,0.05,False,0.4143531620502472,0.3643531620502472,True,False,False,False,True
