Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.38320937752723694,0.016790622472763084,True,False,False,False,True
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6358591318130493,0.2641408681869507,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.534541666507721,0.46545833349227905,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5387949347496033,0.46120506525039673,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7160739302635193,0.2839260697364807,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6939308047294617,0.30606919527053833,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.63889479637146,0.36110520362854004,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.45006415247917175,0.5499358475208282,False,True,False,False,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6439658403396606,0.35603415966033936,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5336220860481262,0.4663779139518738,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.6410985589027405,0.25890144109725954,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5977040529251099,0.40229594707489014,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7132405042648315,0.18675949573516848,True,True,True,True,False
mbpp_0822,Description_Simple,0.3,0.3,0.3,0.3,False,0.6997352242469788,0.39973522424697877,False,False,True,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5444130897521973,0.45558691024780273,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7761276364326477,0.2238723635673523,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6744162440299988,0.3255837559700012,True,True,True,True,False
mbpp_0372,Description_Simple,0.4,0.4,0.4,0.4,False,0.6833441257476807,0.28334412574768064,False,False,True,False,False
mbpp_0209,Description_Simple,0.8,0.8,0.8,0.8,True,0.6418866515159607,0.15811334848403935,True,True,True,True,False
mbpp_0108,Description_Simple,0.2,0.2,0.2,0.2,False,0.5263094902038574,0.3263094902038574,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7852370142936707,0.21476298570632935,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6959395408630371,0.3040604591369629,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7147302031517029,0.2852697968482971,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.7271758317947388,0.7271758317947388,False,False,True,False,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.6885992884635925,0.31140071153640747,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.7247291803359985,0.27527081966400146,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5631632804870605,0.43683671951293945,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7392617464065552,0.2607382535934448,True,True,True,True,False
mbpp_0074,Description_Simple,0.8,0.8,0.8,0.8,True,0.4966784119606018,0.30332158803939824,False,True,False,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.7203400731086731,0.2796599268913269,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7431593537330627,0.25684064626693726,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.5954883098602295,0.3954883098602295,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.656539797782898,0.34346020221710205,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7026455402374268,0.29735445976257324,True,True,True,True,False
mbpp_0306,Description_Simple,0.4,0.4,0.4,0.4,False,0.7140519022941589,0.3140519022941589,False,False,True,False,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7426594495773315,0.25734055042266846,True,True,True,True,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.6004179120063782,0.20041791200637815,False,False,True,False,False
mbpp_0523,Description_Simple,0.7,0.7,0.7,0.7,True,0.431826114654541,0.26817388534545894,False,True,False,False,False
mbpp_0811,Description_Simple,1.0,1.0,1.0,1.0,True,0.6562244892120361,0.34377551078796387,True,True,True,True,False
mbpp_0850,Description_Simple,0.9,0.9,0.9,0.9,True,0.48358049988746643,0.4164195001125336,False,True,False,False,False
mbpp_0247,Description_Simple,1.0,1.0,1.0,1.0,True,0.7496326565742493,0.25036734342575073,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7340630888938904,0.2659369111061096,True,True,True,True,False
