Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,0.7,0.7,0.7,0.7,True,0.5753384232521057,0.12466157674789424,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6914905309677124,0.3085094690322876,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6047501564025879,0.3952498435974121,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.7097957134246826,0.2902042865753174,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.7791810035705566,0.22081899642944336,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.43259987235069275,0.5674001276493073,False,True,False,False,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.4671366512775421,0.5328633487224579,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.7083377838134766,0.29166221618652344,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7605263590812683,0.2394736409187317,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7616145610809326,0.23838543891906738,True,True,True,True,False
p00002,Description_Simple,0.8,0.8,0.8,0.8,True,0.42082226276397705,0.379177737236023,False,True,False,False,False
p00007,Description_Simple,0.9,0.9,0.9,0.9,True,0.47585511207580566,0.42414488792419436,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7700169086456299,0.22998309135437012,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.41850167512893677,0.018501675128936745,True,False,False,False,True
p02256,Description_Simple,0.4,0.4,0.4,0.4,False,0.6114392280578613,0.2114392280578613,False,False,True,False,False
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.3327069878578186,0.3327069878578186,True,False,False,False,True
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.42670512199401855,0.47329487800598147,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6856625080108643,0.31433749198913574,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.5559753179550171,0.4440246820449829,True,True,True,True,False
p02392,Description_Simple,0.7,0.7,0.7,0.7,True,0.4667770266532898,0.23322297334671016,False,True,False,False,False
p02396,Description_Simple,0.6,0.6,0.6,0.6,True,0.47083789110183716,0.12916210889816282,False,True,False,False,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6078945398330688,0.39210546016693115,True,True,True,True,False
p02389,Description_Simple,0.8,0.8,0.8,0.8,True,0.42223507165908813,0.3777649283409119,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.5174424648284912,0.4825575351715088,True,True,True,True,False
p02398,Description_Simple,0.7,0.7,0.7,0.7,True,0.719333291053772,0.019333291053772017,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5858072638511658,0.41419273614883423,True,True,True,True,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.44783687591552734,0.3521631240844727,False,True,False,False,False
p02397,Description_Simple,0.3,0.3,0.3,0.3,False,0.4934632182121277,0.1934632182121277,True,False,False,False,True
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5773869752883911,0.4226130247116089,True,True,True,True,False
p02394,Description_Simple,0.9,0.9,0.9,0.9,True,0.7636016011238098,0.1363983988761902,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.5045270919799805,0.39547290802001955,True,True,True,True,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.6930882930755615,0.2069117069244385,True,True,True,True,False
p02410,Description_Simple,0.0,0.0,0.0,0.0,False,0.6233821511268616,0.6233821511268616,False,False,True,False,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.6832041144371033,0.31679588556289673,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.4934694170951843,0.5065305829048157,False,True,False,False,False
