Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02818,Description_Detailed,0.0,0.0,0.0,False,0.09257709980010986,0.09257709980010986,True,False,False,False,True
p02818,Description_Fewshot,0.0,0.0,0.0,False,0.1958737075328827,0.1958737075328827,True,False,False,False,True
p02818,Description_Reason,0.0,0.0,0.0,False,0.14415284991264343,0.14415284991264343,True,False,False,False,True
p02818,Description_Simple,0.0,0.0,0.0,False,0.22780314087867737,0.22780314087867737,True,False,False,False,True
p02818,Description_Vague,0.0,0.0,0.0,False,0.16717511415481567,0.16717511415481567,True,False,False,False,True
p02713,Description_Detailed,0.0,0.0,0.0,False,0.3744655251502991,0.3744655251502991,True,False,False,False,True
p02713,Description_Fewshot,0.0,0.0,0.0,False,0.5263305902481079,0.5263305902481079,False,False,True,False,False
p02713,Description_Reason,0.0,0.0,0.0,False,0.21519416570663452,0.21519416570663452,True,False,False,False,True
p02713,Description_Simple,0.0,0.0,0.0,False,0.5691568851470947,0.5691568851470947,False,False,True,False,False
p02713,Description_Vague,0.0,0.0,0.0,False,0.5228635668754578,0.5228635668754578,False,False,True,False,False
p03545,Description_Detailed,0.0,0.1,0.05,False,0.19561994075775146,0.14561994075775148,True,False,False,False,True
p03545,Description_Fewshot,0.1,0.0,0.05,False,0.34173348546028137,0.2917334854602814,True,False,False,False,True
p03545,Description_Reason,0.0,0.0,0.0,False,0.20369099080562592,0.20369099080562592,True,False,False,False,True
p03545,Description_Simple,0.0,0.0,0.0,False,0.32327309250831604,0.32327309250831604,True,False,False,False,True
p03545,Description_Vague,0.0,0.1,0.05,False,0.3071209192276001,0.2571209192276001,True,False,False,False,True
p02755,Description_Detailed,0.0,0.0,0.0,False,0.33841514587402344,0.33841514587402344,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.4268905818462372,0.4268905818462372,True,False,False,False,True
p02755,Description_Reason,0.0,0.0,0.0,False,0.19044427573680878,0.19044427573680878,True,False,False,False,True
p02755,Description_Simple,0.0,0.0,0.0,False,0.4431375563144684,0.4431375563144684,True,False,False,False,True
p02755,Description_Vague,0.0,0.0,0.0,False,0.44356799125671387,0.44356799125671387,True,False,False,False,True
p02705,Description_Detailed,0.0,0.0,0.0,False,0.5836009979248047,0.5836009979248047,False,False,True,False,False
p02705,Description_Fewshot,0.0,0.0,0.0,False,0.6877601742744446,0.6877601742744446,False,False,True,False,False
p02705,Description_Reason,0.0,0.0,0.0,False,0.46369725465774536,0.46369725465774536,True,False,False,False,True
p02705,Description_Simple,0.9,0.0,0.45,False,0.7679298520088196,0.31792985200881957,False,False,True,False,False
p02705,Description_Vague,0.7,0.1,0.39999999999999997,False,0.5906820297241211,0.19068202972412113,False,False,True,False,False
p02983,Description_Detailed,0.0,0.0,0.0,False,0.022062335163354874,0.022062335163354874,True,False,False,False,True
p02983,Description_Fewshot,0.1,0.1,0.1,False,0.4617333710193634,0.3617333710193634,True,False,False,False,True
p02983,Description_Reason,0.0,0.7,0.35,False,0.0798724889755249,0.2701275110244751,True,False,False,False,True
p02983,Description_Simple,0.1,0.0,0.05,False,0.4607284963130951,0.4107284963130951,True,False,False,False,True
p02983,Description_Vague,0.0,0.0,0.0,False,0.4828830063343048,0.4828830063343048,True,False,False,False,True
p02723,Description_Detailed,0.0,0.0,0.0,False,0.3240968585014343,0.3240968585014343,True,False,False,False,True
p02723,Description_Fewshot,0.0,0.0,0.0,False,0.22664093971252441,0.22664093971252441,True,False,False,False,True
p02723,Description_Reason,0.0,0.1,0.05,False,0.22604088485240936,0.17604088485240937,True,False,False,False,True
p02723,Description_Simple,0.0,0.0,0.0,False,0.3058517873287201,0.3058517873287201,True,False,False,False,True
p02723,Description_Vague,0.0,0.0,0.0,False,0.1773158758878708,0.1773158758878708,True,False,False,False,True
p03680,Description_Detailed,0.1,0.0,0.05,False,0.20138612389564514,0.15138612389564515,True,False,False,False,True
p03680,Description_Fewshot,0.0,0.0,0.0,False,0.27494072914123535,0.27494072914123535,True,False,False,False,True
p03680,Description_Reason,0.0,0.0,0.0,False,0.23433822393417358,0.23433822393417358,True,False,False,False,True
p03680,Description_Simple,0.1,0.0,0.05,False,0.35480281710624695,0.30480281710624696,True,False,False,False,True
p03680,Description_Vague,0.0,0.1,0.05,False,0.11791250854730606,0.06791250854730606,True,False,False,False,True
p03126,Description_Detailed,0.8,0.4,0.6000000000000001,True,0.2270113229751587,0.3729886770248414,False,True,False,False,False
p03126,Description_Fewshot,0.4,0.0,0.2,False,0.38441577553749084,0.18441577553749083,True,False,False,False,True
p03126,Description_Reason,0.0,0.1,0.05,False,0.15097419917583466,0.10097419917583465,True,False,False,False,True
p03126,Description_Simple,0.0,0.0,0.0,False,0.3456055521965027,0.3456055521965027,True,False,False,False,True
p03126,Description_Vague,0.0,0.0,0.0,False,0.2996366322040558,0.2996366322040558,True,False,False,False,True
