Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6801247596740723,0.21987524032592776,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5718712210655212,0.42812877893447876,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4586845636367798,0.05868456363677976,True,False,False,False,True
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5636796951293945,0.43632030487060547,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.47205308079719543,0.5279469192028046,False,True,False,False,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7274124026298523,0.2725875973701477,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6672378778457642,0.33276212215423584,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6116907596588135,0.3883092403411865,True,True,True,True,False
mbpp_0004,Description_Simple,1.0,1.0,1.0,1.0,True,0.7270056009292603,0.27299439907073975,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5892676711082458,0.41073232889175415,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5416487455368042,0.4583512544631958,True,True,True,True,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.5724180936813354,0.1275819063186645,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6396557688713074,0.3603442311286926,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7701783180236816,0.22982168197631836,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7295702695846558,0.17042973041534426,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6452207565307617,0.2452207565307617,False,False,True,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6649717092514038,0.3350282907485962,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.41225749254226685,0.012257492542266823,True,False,False,False,True
mbpp_0209,Description_Simple,0.8,0.8,0.8,0.8,True,0.6508107781410217,0.14918922185897832,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7452723383903503,0.25472766160964966,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.6652166247367859,0.26521662473678587,False,False,True,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7124585509300232,0.2875414490699768,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7853921055793762,0.21460789442062378,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7634103298187256,0.23658967018127441,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.709659218788147,0.290340781211853,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8360738754272461,0.1639261245727539,True,True,True,True,False
mbpp_0315,Description_Simple,0.9,0.9,0.9,0.9,True,0.6280969381332397,0.2719030618667603,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6057209968566895,0.39427900314331055,True,True,True,True,False
mbpp_0074,Description_Simple,1.0,1.0,1.0,1.0,True,0.513190746307373,0.48680925369262695,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.7450509071350098,0.25494909286499023,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.594994068145752,0.19499406814575193,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7959333062171936,0.2040666937828064,True,True,True,True,False
mbpp_0306,Description_Simple,0.6,0.6,0.6,0.6,True,0.7379215359687805,0.13792153596878054,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7507652640342712,0.24923473596572876,True,True,True,True,False
