"problem_id","failure_type","pattern","original_with_comments_score","with_without_comments_score","without_var_renaming_score","without_dead_code_score","without_encryption_score","score_drop","example_1_label","example_1_text","example_2_label","example_2_text"
"p03013","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.3,0.9,0.8,0.8500000000000001,0.2,0.7,"without_comments","Title: Staircase Climbing with Broken Steps

Main Goal: This code calculates the number of ways to climb a staircase of `n` steps, where you can take either 1 or 2 steps at a time, but certain steps (provided as input) are broken and cannot be stepped on. The result is computed modulo 1,000,000,007.

Key Functions:
1. Reads input values for the total steps `n` and the number of broken steps `m`.
2. Checks for an invalid case where two consecutive steps are broken, which makes climbing impossible.
3. Marks broken steps in an array for quick lookup.
4. Uses dynamic programming to compute the number of ways to reach each step, where the ways to reach step `i` is the sum of ways to reach steps `i-1` and `i-2`, unless step `i` is broken (then it's 0).
5. Handles edge cases for small staircases (n=1 and n=2) explicitly.
6. Outputs the result, which is 0 if consecutive broken steps are found, or the computed number of ways modulo 1,000,000,007 otherwise.","encryption","This Java program calculates the number of ways to traverse a path of length `n` with certain forbidden steps (provided as input `m` and an array `a`). It uses dynamic programming to compute the result, handling edge cases for small `n` and checking for consecutive forbidden steps. The result is either printed directly or decrypted from a hardcoded string if the input contains consecutive forbidden steps. The decryption uses Blowfish with an MD5-hashed key."
"p03371","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.6,0.8,0.4,0.8,0.8,0.4,"without_comments","Title: Optimal Combination of Pizza Purchases  
Main Goal: This code calculates the minimum cost to buy at least X A-type pizzas and Y B-type pizzas by considering individual prices (a for A, b for B) and a combo price (c for two half-and-half pizzas, equivalent to one A and one B). It determines the most cost-effective mix of individual and combo purchases.","variable_renaming","Title: Optimal Revenue Calculation for Two-Tier Pricing Model

Main Goal: The code calculates the maximum revenue from selling two products with different pricing tiers based on quantity discounts. It compares individual and bundled pricing strategies to determine the most profitable approach.

Key Functions:
1. Reads five integer inputs: quantities for two products, bundled price threshold, and individual prices for each product
2. Determines which product has higher individual price
3. Calculates base revenue using the optimal pricing strategy
4. Applies conditional logic to handle quantity discounts for bundled and individual sales
5. Outputs the maximum achievable revenue by considering all pricing scenarios

The code implements a business logic optimization problem where it maximizes revenue by strategically applying bundled pricing when beneficial and falling back to individual pricing when bundle conditions aren't met."
"p02640","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.6,0.7,0.5,0.9,0.2,0.49999999999999994,"without_comments","Title: Animal Leg Count Validator  
Main Goal: This code determines whether a given number of heads (numX) and legs (numY) can correspond to a valid combination of two types of animals: cranes (which have 1 head and 2 legs) and turtles (which have 1 head and 4 legs). It calculates the potential number of each animal and checks if the solution is both mathematically correct and physically plausible (i.e., non-negative integer values). The output is ""Yes"" for a valid combination or ""No"" otherwise.","encryption","This Java program is a cryptographic challenge that decrypts hardcoded strings using multiple algorithms (Blowfish, DES, XOR) and checks if two input integers satisfy a specific linear equation. Based on the solution, it prints one of several decrypted messages, likely indicating correctness or providing a flag. The code uses obfuscation techniques like cryptic variable names and arithmetic to hide its intent."
"p02682","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.75,0.8,0.44999999999999996,0.9,0.9,0.3500000000000001,"without_comments","Title: Maximum Sum from Selecting Numbers with Given Counts

Main Goal: This code calculates the maximum possible sum by selecting a specified number of integers from three groups (positive ones, zeros, and negative ones) in a specific order of priority. It prioritizes selecting all available positive ones first, then zeros, and finally negative ones, to maximize the total sum.

Key Functions:
1. Reads four integer inputs: counts of positive ones (1), zeros (0), negative ones (-1), and the total numbers to select.
2. Validates all inputs are non-negative and the total count to select is within valid bounds.
3. Calculates the sum by first adding all available positive ones, then skipping zeros (as they don't change the sum), and finally subtracting negative ones if necessary.
4. Outputs the maximum achievable sum based on this selection strategy.","variable_renaming","Title: Calculating Net Value from Three Input Categories with a Limit

Main Goal: This code calculates a net value by processing three input quantities (positive integers) in sequence, up to a specified limit. It first adds the value of the first quantity, then does nothing with the second, and subtracts the value of the third. The result is the sum of the first quantity minus the third quantity, but only up to the number of units allowed by the limit.

Functions:
1.  Reads four integers from standard input: three quantities (A, B, C) and a limit (N).
2.  Validates that all inputs are non-negative and that the total of A+B+C does not exceed N or a predefined maximum value.
3.  Processes the limit N in three stages:
    -   First, it adds the value of A to the result, consuming that portion of the limit.
    -   Second, it consumes the value of B from the limit without changing the result.
    -   Third, it subtracts the value of C from the result, consuming the remaining limit.
4.  Prints the final result, which is effectively `min(A, N) - min(C, max(N - A - B, 0))`."
"p02641","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.7,0.8,0.25,0.75,0.8,0.55,"without_comments","Title: Finding the Closest Unused Number

Main Goal: The code finds the integer closest to a given number X that is not present in a provided list. If X is not in the list, it is returned. If it is, the algorithm searches symmetrically outward (X-1, X+1, X-2, X+2, etc.) for the first available number, with a preference for the smaller number in case of a tie.

Key Functions:
1. Reads an integer `X` (the target) and an integer `N` (the size of a list).
2. Reads a list of `N` integers and checks if `X` is present in it (`Y=1` if found).
3. Sorts the list for efficient searching.
4. If `X` was found, it initiates a two-directional search (increasing and decreasing offsets from `X`) for the closest missing number.
5. Uses flags `K` and `C` to track if a number was found at the `X-i` (below) or `X+i` (above) offset during each iteration.
6. Prints the result based on the search outcome, handling various edge cases for when the closest number is above or below `X`.","variable_renaming","The code determines the minimum number of operations needed to make a target number (lIIllllllllllll) the median of a given list of numbers. It reads the target number and list size, then processes the list to check for the presence of the target and finds the closest numbers above and below it. Based on whether the target is present and the positions of these adjacent numbers, it calculates the required operations using specific mathematical formulas. The main goal is to compute the operations for achieving the target median."
"p02911","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.3,0.75,0.6,0.8,0.3,0.45,"without_comments","**Title:** Fast Input Processing for Contest Problem

**Main Goal:** The code efficiently determines which participants in a contest have a positive score after a series of correct answers, using a custom fast input reader for optimal performance.

**Summary Description:** This Java program uses a custom `FastReader` class for efficient input parsing, crucial in programming competitions. It processes a problem where `n` participants start with `k` points. For each of `q` correct answers, a participant gains a point. The program calculates each participant's final score (initial `k` minus total correct answers by others plus their own correct answers) and outputs ""Yes"" if their score is positive, otherwise ""No"".","encryption","Title: Encrypted Response Generator Based on Query Frequency

Main Goal: The code processes a series of queries to determine which elements in an array have been accessed frequently enough to exceed a threshold, then outputs encrypted ""Yes"" or ""No"" responses.

Key Functions:
1. Initializes constants and decrypts two strings (""Yes"" and ""No"") using a custom Blowfish encryption method
2. Reads input values for array size (n), threshold (k), and number of queries (q)
3. Tracks how many times each array element is queried
4. For each element, checks if its frequency count (adjusted by the total sum of all queries) exceeds the threshold k
5. Outputs the decrypted ""Yes"" string for elements that meet the threshold, ""No"" for those that don't
6. Includes helper methods for encryption/decryption and input processing

The core logic determines which array indices were queried sufficiently often relative to the threshold k, using an encrypted output system for the results."
"p02723","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.6,0.9,0.9,0.9,0.35,0.55,"without_comments","Title: String Pattern Checker for Specific Format  

Main Goal: The code reads a string input and checks if the characters at positions 2 and 3 are identical, and if the characters at positions 4 and 5 are identical (using 0-based indexing). If both conditions are true, it outputs ""Yes""; otherwise, it outputs ""No"". This is typically used to validate strings with a specific pattern, such as checking formatted codes (e.g., ""ABCCDD"" where CC and DD are pairs).  

Key Functions:  
1. **Input Handling**: Uses custom `InputReader` for efficient reading of input data (integers, strings, doubles, longs).  
2. **String Validation**: Compares characters at indices 2–3 and 4–5 to verify matching pairs.  
3. **Output Management**: Uses `OutputWriter` for optimized printing of results.","encryption","Title: String Comparison and Conditional Output with Obfuscated Encryption

Main Goal: The code reads a string input and checks if the characters at specific indices (determined by obfuscated calculations) are equal. Based on this comparison, it outputs one of two decrypted messages. The core functionality involves using the Blowfish cipher to decrypt hardcoded Base64 strings for the output messages.

Key Functions:
1. **Initialization (`static` blocks):** Obfuscated arrays (`Ill`, `IIl`, `lIl`) are initialized with values calculated to hide their true purpose (e.g., string lengths, array indices, and constants).
2. **Decryption (`I` method):** Decrypts a Base64-encoded string using the Blowfish algorithm with an MD5-hashed key.
3. **String Comparison (`main`):** Compares characters at indices 2, 3, 4, and 5 (derived from `Ill`) of the input string.
4. **Conditional Output:** Prints the decrypted string ""Correct!"" if the comparisons are true, otherwise prints ""Wrong!"".
5. **I/O Handling:** Uses custom `InputReader` and `OutputWriter` classes for efficient reading and writing.

The code is heavily obfuscated to conceal its simple purpose: to check an input string for a specific pattern and respond accordingly."
"p02910","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.5,0.8,0.9,0.9,0.25,0.55,"without_comments","**Title:** String Pattern Validation for Alternating Characters

**Main Goal:** The code checks if a given string adheres to a specific alternating pattern where characters at even indices must be 'R' and characters at odd indices must be 'L'.

**Summary Description:** This Java program reads an input string and validates whether its characters follow a strict alternating pattern. It verifies that every character at an even index (0-indexed) is not 'L' and every character at an odd index is not 'R'. If any violation is found, it prints ""No"" and exits; otherwise, it prints ""Yes"". The program uses a custom FastReader class for efficient input parsing and includes utility methods for calculating GCD and LCM, though these are unused in the main logic.","encryption","**Title:** Encrypted String Analysis and Conditional Output

**Main Goal:** The code processes an input string to check for specific characters at certain positions and outputs one of three decrypted messages based on these conditions.

**Functions:**
1. **Initialization:** Static blocks initialize integer arrays (`IIl`, `ll`) and string arrays (`Il`, `I`) with obfuscated values and decrypted strings using custom encryption methods (`l`, `ll`, `I`).
2. **Decryption:** Methods `l`, `ll`, and `I` decrypt Base64-encoded strings using Blowfish or DES with MD5-hashed keys.
3. **Input Processing:** The `main` method reads an input string and checks each character. If a character at an even index is 'X' (ASCII 88) or at an odd index is 'T' (ASCII 84), it prints a specific decrypted message and exits.
4. **Fallback Output:** If no conditions are met, it prints a default decrypted message.
5. **Helper Methods:** Includes `gcd` and `lcm` for mathematical operations, and `FastReader` for efficient input handling."
"p02256","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.5,0.9,0.8,0.7,0.3,0.6000000000000001,"without_comments","Title: Finding the Greatest Common Divisor (GCD) of Two Integers

Main Goal: This code calculates the greatest common divisor (GCD) of two integers provided as input. It reads two numbers from the user, processes them to find all common divisors, and then outputs the largest one.

The program works by first reading a line of input and splitting it into two integers. It then handles three cases:
1. If the first number is smaller, it calculates the remainder of the division (v2 % v1) and finds all divisors of both the remainder and the first number.
2. If the first number is larger, it calculates the remainder (v1 % v2) and finds all divisors of both the remainder and the second number.
3. If the numbers are equal, their GCD is the number itself.

Finally, it compares the lists of divisors from both numbers to find all common divisors and prints the maximum value from that list, which is the GCD. The approach uses a method inspired by the Euclidean algorithm but implements it through divisor list comparison rather than recursion.","encryption","The code calculates the greatest common divisor (GCD) of two integers provided as input. It uses a combination of string decoding, modulo operations, and list comparisons to find common divisors, ultimately outputting the largest one. The code includes obfuscated string splitting and initialization logic to set up the delimiter for parsing the input."
"p02848","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.55,1.0,0.9,0.7,0.3,0.7,"without_comments","Title: Caesar Cipher Implementation in Java

Main Goal: This code implements a Caesar cipher to encrypt an uppercase alphabetical string by shifting each letter by a given integer value (n). It reads the integer and string input, maps each character to a numerical value (A=0 to Z=25), applies the shift modulo 26 to each value, and then converts the shifted numbers back to their corresponding letters to produce the encrypted output.","encryption","This code is a custom encryption/decryption program that uses a combination of DES and Blowfish ciphers to decode an array of strings. The main goal is to process an input string by mapping each character to a numeric value, applying a shift based on user input, and then outputting a transformed string using pre-decoded values from the encrypted array. The code initializes static arrays with obfuscated values and uses bitwise operations to set indices, making it resistant to straightforward analysis."
