Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.0,0.0,0.0,0.0,False,0.5226299166679382,0.5226299166679382,False,False,True,False,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.6149339079856873,0.38506609201431274,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.40005385875701904,0.599946141242981,False,True,False,False,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5565242171287537,0.15652421712875364,False,False,True,False,False
mbpp_0843,Description_Simple,0.0,0.0,0.0,0.0,False,0.4150218963623047,0.4150218963623047,True,False,False,False,True
mbpp_0323,Description_Simple,0.0,0.0,0.0,0.0,False,0.17977212369441986,0.17977212369441986,True,False,False,False,True
mbpp_0159,Description_Simple,0.0,0.0,0.0,0.0,False,0.6056702136993408,0.6056702136993408,False,False,True,False,False
mbpp_0771,Description_Simple,0.7,0.7,0.7,0.7,True,0.3385769724845886,0.36142302751541133,False,True,False,False,False
mbpp_0004,Description_Simple,0.8,0.8,0.8,0.8,True,0.5036116242408752,0.2963883757591248,True,True,True,True,False
mbpp_0245,Description_Simple,0.0,0.0,0.0,0.0,False,0.5496777892112732,0.5496777892112732,False,False,True,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.3672780394554138,0.6327219605445862,False,True,False,False,False
mbpp_0039,Description_Simple,0.0,0.0,0.0,0.0,False,0.5798758268356323,0.5798758268356323,False,False,True,False,False
mbpp_0069,Description_Simple,0.8,0.8,0.8,0.8,True,0.5387765765190125,0.2612234234809876,True,True,True,True,False
mbpp_0822,Description_Simple,0.0,0.0,0.0,0.0,False,0.5867383480072021,0.5867383480072021,False,False,True,False,False
mbpp_0496,Description_Simple,0.7,0.7,0.7,0.7,True,0.5211179852485657,0.17888201475143428,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.6955770254135132,0.3044229745864868,True,True,True,True,False
mbpp_0123,Description_Simple,0.0,0.0,0.0,0.0,False,0.5923330783843994,0.5923330783843994,False,False,True,False,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7201365232467651,0.27986347675323486,True,True,True,True,False
