Rank,Problem_ID,Success_Rate,Success_Count,Failure_Count,Total_Evaluations,Description_Preview
1,p02687,10.67%,24,201,225,"**Exercise Title: Simple Toggle Between Two States**

**Problem Statement:**

You are responsible for managing a light switch that alternates between two states: ""ON"" and ""OFF"". The switch changes its"
2,p02390,11.11%,25,200,225,"**Exercise Title: Number Breakdown into Components**

**Problem Statement:**

Write a function that receives a positive integer and breaks it down into three separate components. Specifically, decompo"
3,p03107,11.56%,26,199,225,"**Exercise Title: Counting Character Pairs**

**Problem Statement:**

You are given a string composed exclusively of two distinct characters, 'A' and 'B'. Your task is to count how many pairs of 'A' a"
4,p02717,11.56%,26,199,225,"### Exercise Title: Swap and Rotate Integers

#### Problem Statement

You are provided with three variables, `a`, `b`, and `c`, each of which holds an integer value. Your task is to perform a series o"
5,p03242,12.44%,28,197,225,"**Exercise Title: Basic Character Replacement in Strings**

**Problem Statement:**

In this exercise, you will transform a given string by replacing specific characters. The task is to take an input s"
6,p03449,13.33%,30,195,225,"**Exercise Title: Array Sum in Two Steps**

**Problem Statement:**

You are given two arrays, each containing `N` positive integers representing the number of items in the corresponding positions. You"
7,p02753,15.56%,35,190,225,"**Exercise Title: Identify Unique Characters in a Triplet**

**Problem Statement:**

Create a program that analyzes a string of exactly three characters to determine whether there is variation among t"
8,p03282,15.56%,35,190,225,"**Title: Expanding Digits over Time**

**Problem Statement:**

You are tasked with analyzing a sequence that begins as a string consisting of digits from 1 to 9. Each day, this string undergoes a tran"
9,p03469,16.00%,36,189,225,"### Exercise Title: Modify Year in Date String

### Problem Statement

You are tasked with modifying date strings to correct an existing error. Each string represents a date in the ""yyyy/mm/dd"" format"
10,p03315,16.00%,36,189,225,"**Exercise Title: Counting Changes in a Sequence**

**Problem Statement:**

You are given a sequence of operations represented by a string of characters. Each operation either increases or decreases a"
11,p02783,16.89%,38,187,225,"**Exercise Title: Dividing Items into Groups**

**Problem Statement:**

Imagine you have a collection of items that you want to distribute evenly into groups. Each group should ideally have the same n"
12,p02724,16.89%,38,187,225,"Title: Maximum Happiness Points Calculation

Problem Statement:  
You are tasked with designing a simple algorithm that calculates the maximum number of happiness points that can be earned based on a "
13,p02612,17.33%,39,186,225,"**Exercise Title: Calculating the Smallest Number of Currency Notes**

**Problem Statement:**

You are tasked with calculating the number of currency notes needed to cover a certain amount using notes"
14,p02639,17.33%,39,186,225,"**Exercise Title: Find the Missing Item**

**Problem Statement:**

You are given a list of five items, each originally labeled with a unique value from 1 to 5. One of these items is replaced with a sp"
15,p03220,17.33%,39,186,225,"**Exercise Title: Find the Minimum Difference Index**

**Problem Statement:**

You are given a list of integers and a target number. Your task is to find the index of the element in the list that has "
16,p03013,17.78%,40,185,225,"**Exercise Title: Counting Ways to Reach a Target Number Using Steps**

**Problem Statement:**

You need to determine the number of different ways to reach a target number `T` from the starting point "
17,p02731,17.78%,40,185,225,"**Exercise Title: Calculate Maximum Cuboid Volume**

**Problem Statement:**

The task is to calculate the maximum possible volume of a rectangular cuboid with given constraints. You will be provided w"
18,p03854,17.78%,40,185,225,"**Exercise Title: Building a Target String**

**Problem Statement:**

You are given a sequence of unique words and an initially empty string. Your task is to determine whether it is possible to form a"
19,p03071,18.22%,41,184,225,"## Exercise Title: Maximum Sum Using Two Numbers

### Problem Statement
You are given two integers, `X` and `Y`. Your task is to select two numbers, either from `X`, `Y`, or a combination of both, suc"
20,p02407,18.22%,41,184,225,"**Exercise Title: Basic List Reversal**

**Problem Statement:**

Write a function that receives a list of numbers and returns a new list with the elements in reverse order. This exercise is aimed at p"
