Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.44059327244758606,0.5594067275524139,False,True,False,False,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.5355572700500488,0.46444272994995117,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5561940670013428,0.4438059329986572,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.7245435118675232,0.2754564881324768,True,True,True,True,False
p00007,Description_Simple,0.9,0.9,0.9,0.9,True,0.46182966232299805,0.438170337677002,False,True,False,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.6067866086959839,0.3932133913040161,True,True,True,True,False
p02257,Description_Simple,0.9,0.9,0.9,0.9,True,0.5945945382118225,0.3054054617881775,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.6205602884292603,0.37943971157073975,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.43809735774993896,0.561902642250061,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7597832083702087,0.24021679162979126,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.6582350730895996,0.2582350730895996,False,False,True,False,False
p02256,Description_Simple,0.6,0.6,0.6,0.6,True,0.5299087762832642,0.07009122371673582,True,True,True,True,False
p00011,Description_Simple,0.6,0.6,0.6,0.6,True,0.2770524024963379,0.3229475975036621,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7762050032615662,0.22379499673843384,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6250510215759277,0.37494897842407227,True,True,True,True,False
p02259,Description_Simple,0.6,0.6,0.6,0.6,True,0.7177274227142334,0.11772742271423342,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.610630989074707,0.38936901092529297,True,True,True,True,False
p02396,Description_Simple,0.9,0.9,0.9,0.9,True,0.2112257331609726,0.6887742668390274,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.6550511717796326,0.24494882822036745,True,True,True,True,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.463765025138855,0.33623497486114506,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6334349513053894,0.3665650486946106,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.41268905997276306,0.5873109400272369,False,True,False,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.4778062701225281,0.5221937298774719,False,True,False,False,False
p02394,Description_Simple,0.9,0.9,0.9,0.9,True,0.7784644365310669,0.12153556346893313,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.6318594217300415,0.3681405782699585,True,True,True,True,False
p02398,Description_Simple,0.7,0.7,0.7,0.7,True,0.7219856381416321,0.021985638141632124,True,True,True,True,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6134700775146484,0.38652992248535156,True,True,True,True,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.5457478761672974,0.35425212383270266,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.3523237705230713,0.5476762294769287,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5418314933776855,0.45816850662231445,True,True,True,True,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.28688114881515503,0.713118851184845,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.4639911949634552,0.5360088050365448,False,True,False,False,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.5432332754135132,0.4567667245864868,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.44927793741226196,0.550722062587738,False,True,False,False,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.7139912843704224,0.28600871562957764,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.6954939961433411,0.30450600385665894,True,True,True,True,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.5758394002914429,0.42416059970855713,True,True,True,True,False
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.35719606280326843,0.6428039371967316,False,True,False,False,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.24631720781326294,0.7536827921867371,False,True,False,False,False
p02414,Description_Simple,0.9,0.9,0.9,0.9,True,0.7466865181922913,0.15331348180770876,True,True,True,True,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.6657122373580933,0.33428776264190674,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.6499707698822021,0.35002923011779785,True,True,True,True,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5824330449104309,0.4175669550895691,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.7153059244155884,0.18469407558441164,True,True,True,True,False
p02416,Description_Simple,1.0,1.0,1.0,1.0,True,0.6010596752166748,0.3989403247833252,True,True,True,True,False
