model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.379845,0.541667,0.151724,0.366412,0.545455,0.630435,0.539171,0.582474,0.626761,0.56338,0.548544,0.56,0.558036,0.510345
GPT-3.5,0.379845,1,0.231884,0.1125,0.463768,0.415842,0.268571,0.219048,0.258242,0.429907,0.243902,0.235897,0.224215,0.220721,0.355769
O4-mini,0.541667,0.231884,1,0.161905,0.219048,0.399061,0.705882,0.818584,0.753425,0.45283,0.782609,0.752212,0.82906,0.828326,0.409524
Gemini,0.151724,0.1125,0.161905,1,0.153846,0.118644,0.172222,0.161137,0.172043,0.136,0.178744,0.179487,0.154185,0.165919,0.111111
Llama-70B,0.366412,0.463768,0.219048,0.153846,1,0.384615,0.274286,0.229665,0.25,0.425926,0.24878,0.241026,0.2287,0.225225,0.314815
Mistral,0.545455,0.415842,0.399061,0.118644,0.384615,1,0.456044,0.403756,0.454545,0.53125,0.425837,0.412935,0.410714,0.395556,0.40458
DeepSeek-V3.1,0.630435,0.268571,0.705882,0.172222,0.274286,0.456044,1,0.6875,0.695652,0.527778,0.698198,0.688372,0.724891,0.708696,0.421622
DeepSeek-R1,0.539171,0.219048,0.818584,0.161137,0.229665,0.403756,0.6875,1,0.75,0.430556,0.843049,0.780269,0.825532,0.840517,0.400943
DeepSeek-V4-Pro,0.582474,0.258242,0.753425,0.172043,0.25,0.454545,0.695652,0.75,1,0.484211,0.737557,0.78744,0.732759,0.746725,0.428571
QwenCoder,0.626761,0.429907,0.45283,0.136,0.425926,0.53125,0.527778,0.430556,0.484211,1,0.45283,0.455446,0.455357,0.446429,0.503876
Qwen3.7,0.56338,0.243902,0.782609,0.178744,0.24878,0.425837,0.698198,0.843049,0.737557,0.45283,1,0.783784,0.805907,0.852174,0.409524
Claude-5,0.548544,0.235897,0.752212,0.179487,0.241026,0.412935,0.688372,0.780269,0.78744,0.455446,0.783784,1,0.792208,0.799127,0.431472
GLM-5,0.56,0.224215,0.82906,0.154185,0.2287,0.410714,0.724891,0.825532,0.732759,0.455357,0.805907,0.792208,1,0.889362,0.401786
Kimi-K2.7,0.558036,0.220721,0.828326,0.165919,0.225225,0.395556,0.708696,0.840517,0.746725,0.446429,0.852174,0.799127,0.889362,1,0.399103
GPT-5,0.510345,0.355769,0.409524,0.111111,0.314815,0.40458,0.421622,0.400943,0.428571,0.503876,0.409524,0.431472,0.401786,0.399103,1
