Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.563058078289032,0.436941921710968,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4792017340660095,0.0792017340660095,True,False,False,False,True
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5946569442749023,0.40534305572509766,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.5678924322128296,0.33210756778717043,True,True,True,True,False
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.7446619272232056,0.05533807277679448,True,True,True,True,False
mbpp_0323,Description_Simple,0.7,0.7,0.7,0.7,True,0.7753231525421143,0.0753231525421143,True,True,True,True,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.45134273171424866,0.44865726828575136,False,True,False,False,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6571034789085388,0.3428965210914612,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5381535887718201,0.46184641122817993,True,True,True,True,False
mbpp_0004,Description_Simple,0.7,0.7,0.7,0.7,True,0.6702001094818115,0.029799890518188432,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6530277729034424,0.24697222709655764,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6430388689041138,0.35696113109588623,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.759226381778717,0.24077361822128296,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6883617043495178,0.2883617043495178,False,False,True,False,False
mbpp_0496,Description_Simple,0.4,0.4,0.4,0.4,False,0.6619160175323486,0.2619160175323486,False,False,True,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.668993353843689,0.33100664615631104,True,True,True,True,False
mbpp_0372,Description_Simple,0.9,0.9,0.9,0.9,True,0.7276201844215393,0.17237981557846072,True,True,True,True,False
mbpp_0209,Description_Simple,0.9,0.9,0.9,0.9,True,0.6280671954154968,0.2719328045845032,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6209191083908081,0.3790808916091919,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.49849432706832886,0.09849432706832884,True,False,False,False,True
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7142730355262756,0.28572696447372437,True,True,True,True,False
