Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00006,Description_Simple,1.0,1.0,1.0,1.0,True,0.20655116438865662,0.7934488356113434,False,True,False,False,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.7040338516235352,0.29596614837646484,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5940930247306824,0.4059069752693176,True,True,True,True,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.4251910150051117,0.5748089849948883,False,True,False,False,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.6753603219985962,0.22463967800140383,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6361185312271118,0.3638814687728882,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.5300474166870117,0.4699525833129883,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6759129762649536,0.3240870237350464,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7545902132987976,0.2454097867012024,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7196190357208252,0.2803809642791748,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.401712566614151,0.598287433385849,False,True,False,False,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.4257482886314392,0.5742517113685608,False,True,False,False,False
p02259,Description_Simple,0.7,0.7,0.7,0.7,True,0.7622571587562561,0.06225715875625615,True,True,True,True,False
p02256,Description_Simple,0.7,0.7,0.7,0.7,True,0.5525587201118469,0.14744127988815303,True,True,True,True,False
p02257,Description_Simple,0.9,0.9,0.9,0.9,True,0.6395184993743896,0.2604815006256104,True,True,True,True,False
p00011,Description_Simple,0.4,0.4,0.4,0.4,False,0.3623080849647522,0.037691915035247825,True,False,False,False,True
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.5726811289787292,0.42731887102127075,True,True,True,True,False
p02389,Description_Simple,0.8,0.8,0.8,0.8,True,0.5049789547920227,0.29502104520797734,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.45432424545288086,0.5456757545471191,False,True,False,False,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.45012906193733215,0.5498709380626678,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6826842427253723,0.3173157572746277,True,True,True,True,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.17461585998535156,0.8253841400146484,False,True,False,False,False
