Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02773,Description_Simple,0.9,0.9,0.9,0.9,True,0.6674667596817017,0.23253324031829836,True,True,True,True,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.3724474608898163,0.2275525391101837,False,True,False,False,False
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.7745040059089661,0.12549599409103396,True,True,True,True,False
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.6167610287666321,0.28323897123336794,True,True,True,True,False
p02910,Description_Simple,0.5,0.5,0.5,0.5,True,0.4388466775417328,0.06115332245826721,False,True,False,False,False
p02988,Description_Simple,0.9,0.9,0.9,0.9,True,0.5239588022232056,0.37604119777679446,True,True,True,True,False
p03494,Description_Simple,0.6,0.6,0.6,0.6,True,0.5400313138961792,0.05996868610382078,True,True,True,True,False
p02921,Description_Simple,0.9,0.9,0.9,0.9,True,0.6494057774543762,0.2505942225456238,True,True,True,True,False
p03493,Description_Simple,0.6,0.6,0.6,0.6,True,0.6573729515075684,0.05737295150756838,True,True,True,True,False
p03059,Description_Simple,0.2,0.2,0.2,0.2,False,0.25522854924201965,0.05522854924201964,True,False,False,False,True
p02381,Description_Simple,0.9,0.6,0.75,0.75,True,0.6884087324142456,0.061591267585754395,True,True,True,True,False
p03469,Description_Simple,0.1,0.1,0.1,0.1,False,0.6303191184997559,0.5303191184997559,False,False,True,False,False
p02729,Description_Simple,0.6,0.6,0.6,0.6,True,0.3140580654144287,0.28594193458557127,False,True,False,False,False
p02570,Description_Simple,0.9,0.7,0.8,0.8500000000000001,True,0.5054956674575806,0.3445043325424195,True,True,True,True,False
p02917,Description_Simple,0.6,0.6,0.6,0.6,True,0.6598349213600159,0.05983492136001589,True,True,True,True,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.44905418157577515,0.24905418157577514,True,False,False,False,True
