Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02994,Description_Detailed,0.1,0.1,0.1,False,0.2260783314704895,0.1260783314704895,True,False,False,False,True
p02994,Description_Fewshot,0.2,0.1,0.15000000000000002,False,0.38323014974594116,0.23323014974594114,True,False,False,False,True
p02994,Description_Reason,0.1,0.6,0.35,False,0.5268124938011169,0.17681249380111697,False,False,True,False,False
p02994,Description_Simple,0.2,0.9,0.55,True,0.5259702205657959,0.024029779434204146,True,True,True,True,False
p02994,Description_Vague,0.3,0.2,0.25,False,0.17823687195777893,0.07176312804222107,True,False,False,False,True
p02922,Description_Detailed,0.6,0.6,0.6,True,0.3632798194885254,0.2367201805114746,False,True,False,False,False
p02922,Description_Fewshot,0.9,0.9,0.9,True,0.4208570420742035,0.47914295792579653,False,True,False,False,False
p02922,Description_Reason,0.9,0.1,0.5,True,0.4097172021865845,0.09028279781341553,False,True,False,False,False
p02922,Description_Simple,0.9,0.9,0.9,True,0.36399829387664795,0.5360017061233521,False,True,False,False,False
p02922,Description_Vague,0.6,0.0,0.3,False,0.2763345241546631,0.023665475845336903,True,False,False,False,True
p02414,Description_Detailed,0.9,0.3,0.6,True,0.5880462527275085,0.011953747272491433,True,True,True,True,False
p02414,Description_Fewshot,0.0,0.9,0.45,False,0.6697407364845276,0.21974073648452758,False,False,True,False,False
p02414,Description_Reason,0.9,0.9,0.9,True,0.5867286920547485,0.3132713079452515,True,True,True,True,False
p02414,Description_Simple,0.7,0.9,0.8,True,0.6351852416992188,0.1648147583007813,True,True,True,True,False
p02414,Description_Vague,0.9,0.6,0.75,True,0.5532472729682922,0.19675272703170776,True,True,True,True,False
p03854,Description_Detailed,0.0,0.2,0.1,False,0.31233471632003784,0.21233471632003784,True,False,False,False,True
p03854,Description_Fewshot,0.0,0.9,0.45,False,0.43113234639167786,0.018867653608322155,True,False,False,False,True
p03854,Description_Reason,0.9,0.6,0.75,True,0.38667458295822144,0.36332541704177856,False,True,False,False,False
p03854,Description_Simple,0.2,0.6,0.4,False,0.37678399682044983,0.023216003179550193,True,False,False,False,True
p03854,Description_Vague,0.6,0.0,0.3,False,0.19183531403541565,0.10816468596458434,True,False,False,False,True
p03324,Description_Detailed,0.0,0.0,0.0,False,0.309589684009552,0.309589684009552,True,False,False,False,True
p03324,Description_Fewshot,0.2,0.0,0.1,False,0.3977103531360626,0.29771035313606264,True,False,False,False,True
p03324,Description_Reason,0.2,0.0,0.1,False,0.2277531623840332,0.1277531623840332,True,False,False,False,True
p03324,Description_Simple,0.1,0.1,0.1,False,0.33146166801452637,0.23146166801452636,True,False,False,False,True
p03324,Description_Vague,0.1,0.0,0.05,False,0.22931860387325287,0.17931860387325288,True,False,False,False,True
p02970,Description_Detailed,0.2,0.2,0.2,False,0.07022590935230255,0.12977409064769746,True,False,False,False,True
p02970,Description_Fewshot,0.2,0.0,0.1,False,0.1615300178527832,0.0615300178527832,True,False,False,False,True
p02970,Description_Reason,0.1,0.1,0.1,False,0.26915407180786133,0.16915407180786132,True,False,False,False,True
p02970,Description_Simple,0.0,0.2,0.1,False,0.22298428416252136,0.12298428416252136,True,False,False,False,True
p02970,Description_Vague,0.0,0.1,0.05,False,0.07023389637470245,0.02023389637470245,True,False,False,False,True
p02771,Description_Detailed,0.9,0.6,0.75,True,0.5453917980194092,0.20460820198059082,True,True,True,True,False
p02771,Description_Fewshot,0.9,0.9,0.9,True,0.49828243255615234,0.4017175674438477,False,True,False,False,False
p02771,Description_Reason,0.6,0.9,0.75,True,0.5818588733673096,0.16814112663269043,True,True,True,True,False
p02771,Description_Simple,0.9,0.9,0.9,True,0.5150924324989319,0.38490756750106814,True,True,True,True,False
p02771,Description_Vague,0.9,0.9,0.9,True,0.28673017024993896,0.6132698297500611,False,True,False,False,False
p02258,Description_Detailed,0.9,0.8,0.8500000000000001,True,0.640152633190155,0.20984736680984506,True,True,True,True,False
p02258,Description_Fewshot,0.9,0.9,0.9,True,0.66129070520401,0.23870929479599,True,True,True,True,False
p02258,Description_Reason,0.6,0.9,0.75,True,0.6381792426109314,0.1118207573890686,True,True,True,True,False
p02258,Description_Simple,0.9,0.9,0.9,True,0.6547786593437195,0.24522134065628054,True,True,True,True,False
p02258,Description_Vague,0.9,0.9,0.9,True,0.15366411209106445,0.7463358879089356,False,True,False,False,False
p02682,Description_Detailed,0.6,0.9,0.75,True,0.3499201536178589,0.4000798463821411,False,True,False,False,False
p02682,Description_Fewshot,0.9,0.6,0.75,True,0.5384855270385742,0.21151447296142578,True,True,True,True,False
p02682,Description_Reason,0.9,0.9,0.9,True,0.4096366763114929,0.4903633236885071,False,True,False,False,False
p02682,Description_Simple,0.9,0.9,0.9,True,0.5224549770355225,0.37754502296447756,True,True,True,True,False
p02682,Description_Vague,0.9,0.9,0.9,True,0.33240124583244324,0.5675987541675568,False,True,False,False,False
p02677,Description_Detailed,0.2,0.9,0.55,True,0.5677053928375244,0.01770539283752437,True,True,True,True,False
p02677,Description_Fewshot,0.2,0.2,0.2,False,0.5419352650642395,0.3419352650642395,False,False,True,False,False
p02677,Description_Reason,0.0,0.9,0.45,False,0.5092114806175232,0.05921148061752318,False,False,True,False,False
p02677,Description_Simple,0.8,0.6,0.7,True,0.5290523171424866,0.17094768285751338,True,True,True,True,False
p02677,Description_Vague,0.1,0.1,0.1,False,0.15816229581832886,0.05816229581832885,True,False,False,False,True
p02628,Description_Detailed,0.9,0.2,0.55,True,0.5458994507789612,0.004100549221038863,True,True,True,True,False
p02628,Description_Fewshot,0.2,0.2,0.2,False,0.3374941647052765,0.13749416470527648,True,False,False,False,True
p02628,Description_Reason,0.3,0.9,0.6,True,0.23833853006362915,0.3616614699363708,False,True,False,False,False
