dataset,model_key,model,n_problems,stability,pair_original_description__with_comments,pair_original_description__without_comments,pair_original_description__variable_renaming,pair_original_description__dead_code,pair_original_description__encryption,pair_with_comments__without_comments,pair_with_comments__variable_renaming,pair_with_comments__dead_code,pair_with_comments__encryption,pair_without_comments__variable_renaming,pair_without_comments__dead_code,pair_without_comments__encryption,pair_variable_renaming__dead_code,pair_variable_renaming__encryption,pair_dead_code__encryption,source,is_completed
java250,claude_sonnet_5,Claude Sonnet 5,250,0.581947,0.526700,0.507800,0.385000,0.426000,0.321200,0.857300,0.659500,0.705700,0.512600,0.674800,0.730100,0.524900,0.702900,0.553200,0.641500,direct,false
java250,deepseek_r1,DeepSeek-R1,250,0.660127,0.504800,0.514300,0.480000,0.458000,0.362000,0.845100,0.817500,0.816800,0.649000,0.828000,0.821600,0.662200,0.822300,0.649900,0.670400,direct,false
java250,deepseek_v31,DeepSeek-V3.1,250,0.629293,0.528000,0.536900,0.486300,0.464700,0.324800,0.846300,0.801300,0.801500,0.568500,0.797800,0.805700,0.565100,0.775400,0.551200,0.585900,direct,false
java250,deepseek_v4_pro,DeepSeek-V4-Pro,250,0.613193,0.508600,0.542200,0.497100,0.413800,0.304200,0.845000,0.803100,0.747900,0.540800,0.804100,0.744800,0.531600,0.721800,0.551600,0.641300,direct,false
java250,gemini,Gemini-3-preview,250,0.658520,0.523200,0.535600,0.520400,0.414800,0.382200,0.865400,0.845900,0.758000,0.665300,0.845900,0.764700,0.668800,0.750400,0.665300,0.671900,direct,false
java250,glm5,GLM-5,250,0.648367,0.476200,0.485700,0.465900,0.426600,0.330400,0.875800,0.829900,0.798300,0.637400,0.825300,0.792900,0.641100,0.784500,0.651200,0.704300,direct,false
java250,gpt35,GPT-3.5-turbo,250,0.506593,0.390800,0.401800,0.284600,0.309000,0.184800,0.759600,0.655200,0.666300,0.452800,0.652400,0.668600,0.449700,0.699500,0.500100,0.523700,direct,false
java250,gpt4o,GPT-4o,250,0.606540,0.457900,0.466900,0.406600,0.391600,0.260000,0.857400,0.816900,0.804300,0.560000,0.803000,0.801000,0.552700,0.788900,0.552300,0.578600,direct,false
java250,gpt5,GPT-5-nano,250,0.639556,0.480100,0.493500,0.464357,0.453213,0.344779,0.855522,0.803815,0.812249,0.618000,0.804400,0.815800,0.622900,0.775900,0.608400,0.639200,direct,false
java250,kimi_k25,Kimi-K2.7,250,0.670380,0.523700,0.541800,0.499000,0.482000,0.383800,0.850700,0.825800,0.821200,0.667000,0.817000,0.822200,0.663600,0.809900,0.655500,0.692500,direct,false
java250,llama70b,Llama-70B,250,0.488313,0.376500,0.363300,0.311500,0.274600,0.202200,0.725200,0.655100,0.621300,0.439200,0.673100,0.641600,0.426000,0.673300,0.465700,0.476100,direct,false
java250,mistral,Mistral,250,0.477007,0.346600,0.321800,0.257400,0.276300,0.214200,0.705200,0.608300,0.619800,0.459800,0.620000,0.653500,0.481800,0.630100,0.462300,0.498000,direct,false
java250,o4mini,O4-mini,250,0.649900,0.480600,0.518400,0.489800,0.493000,0.399100,0.829000,0.791800,0.796800,0.656300,0.776400,0.786500,0.658300,0.782100,0.633000,0.657400,direct,false
java250,qwen37_plus,Qwen3.7-plus,250,0.644207,0.481600,0.499700,0.459100,0.437800,0.342000,0.847000,0.810100,0.781300,0.636200,0.804800,0.788200,0.651000,0.774900,0.652400,0.697000,direct,false
java250,qwencoder32b,Qwen2.5-Coder-32B,250,0.607900,0.552400,0.527200,0.358200,0.390800,0.288600,0.842500,0.746300,0.754500,0.610600,0.744700,0.778400,0.555300,0.763300,0.589400,0.616300,direct,false
java250,codellama,CodeLlama,250,0.230952,0.2448,0.1612,0.1018,0.1096,0.0774,,,,,,,,,,,baseline,false
java250,starchat,StarChat,250,0.383507,0.1768666667,0.1335333333,0.13652,0.13832,0.06772,,,,,,,,,,,baseline,false
java250,starcoder,StarCoder,250,0.131615,0.01413333333,0.01973333333,0.09004,0.07408,0.04656,,,,,,,,,,,baseline,false
java250,qwen3vl,Qwen3-VL-8B-Instruct,250,0.400633,0.3404,0.2368,0.0786,0.0608,0.0414,,,,,,,,,,,baseline,false
java250,llamavl,Llama-3.2-11B-Vision-Instruct,250,0.244027,0.0174,0.001,0.003,0.001,0,,,,,,,,,,,baseline,false
java656,claude_sonnet_5,Claude Sonnet 5,656,0.812010,0.794284,0.794665,0.743064,0.757698,0.641082,0.963148,0.865511,0.884604,0.765777,0.861623,0.884299,0.769398,0.851029,0.825915,0.778049,direct,false
java656,deepseek_r1,DeepSeek-R1,656,0.794718,0.749886,0.741197,0.691883,0.707431,0.615244,0.931745,0.861014,0.888415,0.778506,0.861662,0.888224,0.779040,0.844550,0.795465,0.786509,direct,false
java656,deepseek_v31,DeepSeek-V3.1,656,0.788422,0.788186,0.775610,0.750572,0.720503,0.636890,0.935023,0.883880,0.847256,0.728887,0.882431,0.847332,0.730373,0.833765,0.750038,0.715587,direct,false
java656,deepseek_v4_pro,DeepSeek-V4-Pro,656,0.738234,0.726639,0.729268,0.633613,0.607393,0.499352,0.967066,0.849123,0.825343,0.697942,0.850915,0.825076,0.695465,0.764291,0.717569,0.684451,direct,false
java656,gemini,Gemini-3-preview,656,0.841743,0.802782,0.796608,0.781745,0.768216,0.693788,0.966159,0.913072,0.884909,0.826601,0.910404,0.886166,0.825991,0.887195,0.853316,0.829192,direct,false
java656,glm5,GLM-5,655,0.840206,0.789885,0.788931,0.771641,0.753092,0.671221,0.964962,0.925725,0.891985,0.831794,0.924656,0.889427,0.825534,0.894313,0.851336,0.828588,direct,false
java656,gpt35,GPT-3.5-turbo,656,0.737729,0.723819,0.730373,0.683994,0.657736,0.523590,0.962995,0.849085,0.814215,0.629421,0.855145,0.818979,0.635899,0.838910,0.686128,0.655640,direct,false
java656,gpt4o,GPT-4o,656,0.727559,0.747256,0.742073,0.649390,0.636128,0.523247,0.942271,0.812614,0.784299,0.663377,0.812233,0.783384,0.666235,0.777172,0.702058,0.671646,direct,false
java656,gpt5,GPT-5-nano,656,0.780439,0.733830,0.718969,0.704535,0.686585,0.581260,0.922481,0.869410,0.887557,0.733104,0.876109,0.885267,0.732748,0.862614,0.764466,0.748664,direct,false
java656,kimi_k25,Kimi-K2.7,656,0.837378,0.784756,0.778811,0.760671,0.731174,0.673209,0.956860,0.921761,0.909299,0.830602,0.920655,0.904840,0.831326,0.900419,0.829878,0.826410,direct,false
java656,llama70b,Llama-70B,656,0.748838,0.741921,0.748323,0.659832,0.693255,0.548133,0.948476,0.814329,0.841959,0.674657,0.816730,0.845160,0.677668,0.811395,0.719284,0.691456,direct,false
java656,mistral,Mistral,656,0.734573,0.754002,0.755564,0.689710,0.681784,0.513643,0.923056,0.840892,0.821151,0.631898,0.836547,0.820389,0.634223,0.784909,0.683727,0.647104,direct,false
java656,o4mini,O4-mini,656,0.834718,0.767569,0.766082,0.760290,0.744779,0.680869,0.940282,0.921532,0.903354,0.828087,0.921456,0.906479,0.828125,0.895274,0.837614,0.818979,direct,false
java656,qwen37_plus,Qwen3.7-plus,656,0.802335,0.745038,0.756784,0.730831,0.724581,0.651067,0.922927,0.875305,0.849009,0.797561,0.866273,0.843140,0.785480,0.855716,0.824009,0.807279,direct,false
java656,qwencoder32b,Qwen2.5-Coder-32B,656,0.709222,0.741921,0.745503,0.639847,0.643321,0.465701,0.991159,0.809794,0.801677,0.598323,0.810556,0.801867,0.597599,0.730793,0.661852,0.597866,direct,false
