model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,77.1341,83.5366,81.8598,84.6037,83.2317,81.8598,82.622,82.1646,81.7073,81.0976,83.8415,82.4695,82.622,82.0122,82.3171
GPT-3.5,83.5366,74.6951,83.8415,85.8232,83.3841,82.4695,83.2317,83.8415,83.0793,83.5366,84.1463,84.1463,83.8415,82.4695,83.3841
O4-mini,81.8598,83.8415,76.5244,83.9939,83.9939,81.8598,82.7744,81.7073,81.7073,82.3171,83.2317,81.4024,82.3171,80.4878,81.5549
Gemini,84.6037,85.8232,83.9939,79.7256,85.5183,84.1463,83.9939,83.0793,83.9939,85.061,83.5366,83.3841,83.9939,82.3171,83.8415
Llama-70B,83.2317,83.3841,83.9939,85.5183,76.5244,83.0793,83.8415,84.6037,83.8415,83.8415,84.6037,83.2317,84.2988,82.622,83.0793
Mistral,81.8598,82.4695,81.8598,84.1463,83.0793,74.3902,81.7073,82.622,81.8598,81.7073,82.7744,82.0122,83.2317,80.3354,81.5549
DeepSeek-V3.1,82.622,83.2317,82.7744,83.9939,83.8415,81.7073,75.7622,80.9451,82.0122,83.0793,82.622,81.5549,81.5549,81.25,81.8598
DeepSeek-R1,82.1646,83.8415,81.7073,83.0793,84.6037,82.622,80.9451,74.6951,82.1646,82.622,82.9268,81.0976,82.0122,80.1829,80.7927
DeepSeek-V4-Pro,81.7073,83.0793,81.7073,83.9939,83.8415,81.8598,82.0122,82.1646,75.4573,82.4695,83.2317,81.8598,82.3171,79.878,81.0976
QwenCoder,81.0976,83.5366,82.3171,85.061,83.8415,81.7073,83.0793,82.622,82.4695,77.439,84.7561,82.622,83.2317,82.1646,82.9268
Qwen3.7,83.8415,84.1463,83.2317,83.5366,84.6037,82.7744,82.622,82.9268,83.2317,84.7561,76.6768,82.4695,82.3171,81.4024,82.622
Claude-5,82.4695,84.1463,81.4024,83.3841,83.2317,82.0122,81.5549,81.0976,81.8598,82.622,82.4695,76.0671,82.0122,80.4878,80.9451
GLM-5,82.622,83.8415,82.3171,83.9939,84.2988,83.2317,81.5549,82.0122,82.3171,83.2317,82.3171,82.0122,78.0488,81.4024,83.0793
Kimi-K2.7,82.0122,82.4695,80.4878,82.3171,82.622,80.3354,81.25,80.1829,79.878,82.1646,81.4024,80.4878,81.4024,74.5427,78.9634
GPT-5,82.3171,83.3841,81.5549,83.8415,83.0793,81.5549,81.8598,80.7927,81.0976,82.9268,82.622,80.9451,83.0793,78.9634,74.8476
