model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,72.7273,78.8352,85.0852,77.2727,78.5511,80.6818,83.5227,85.5114,83.5227,80.6818,86.0795,85.7955,86.6477,86.0795,80.6818
GPT-3.5,78.8352,59.6591,85.7955,67.3295,67.7557,74.4318,83.2386,87.0739,83.5227,77.983,86.6477,85.9375,87.5,86.9318,77.8409
O4-mini,85.0852,85.7955,79.6875,82.9545,85.2273,84.517,85.6534,86.5057,86.7898,84.517,87.358,87.358,86.7898,86.5057,83.9489
Gemini,77.2727,67.3295,82.9545,29.6875,66.0511,71.1648,81.6761,84.0909,81.392,74.1477,83.6648,83.6648,85.6534,83.5227,72.5852
Llama-70B,78.5511,67.7557,85.2273,66.0511,59.233,73.8636,83.5227,85.7955,83.3807,77.2727,86.0795,85.2273,87.2159,86.0795,76.8466
Mistral,80.6818,74.4318,84.517,71.1648,73.8636,64.3466,83.2386,85.0852,83.2386,78.6932,85.3693,84.375,86.2216,85.2273,77.6989
DeepSeek-V3.1,83.5227,83.2386,85.6534,81.6761,83.5227,83.2386,77.2727,86.0795,84.9432,83.5227,87.0739,86.2216,86.7898,85.7955,82.9545
DeepSeek-R1,85.5114,87.0739,86.5057,84.0909,85.7955,85.0852,86.0795,79.1193,85.9375,86.2216,87.0739,86.9318,87.9261,86.9318,84.0909
DeepSeek-V4-Pro,83.5227,83.5227,86.7898,81.392,83.3807,83.2386,84.9432,85.9375,77.2727,83.3807,86.7898,86.7898,88.0682,86.9318,83.6648
QwenCoder,80.6818,77.983,84.517,74.1477,77.2727,78.6932,83.5227,86.2216,83.3807,67.8977,86.0795,86.6477,87.0739,85.9375,79.8295
Qwen3.7,86.0795,86.6477,87.358,83.6648,86.0795,85.3693,87.0739,87.0739,86.7898,86.0795,79.9716,87.7841,87.5,86.5057,85.5114
Claude-5,85.7955,85.9375,87.358,83.6648,85.2273,84.375,86.2216,86.9318,86.7898,86.6477,87.7841,80.1136,87.9261,87.0739,85.2273
GLM-5,86.6477,87.5,86.7898,85.6534,87.2159,86.2216,86.7898,87.9261,88.0682,87.0739,87.5,87.9261,81.9602,86.2216,86.2216
Kimi-K2.7,86.0795,86.9318,86.5057,83.5227,86.0795,85.2273,85.7955,86.9318,86.9318,85.9375,86.5057,87.0739,86.2216,79.5455,84.9432
GPT-5,80.6818,77.8409,83.9489,72.5852,76.8466,77.6989,82.9545,84.0909,83.6648,79.8295,85.5114,85.2273,86.2216,84.9432,66.6193
