Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02256,Description_Simple,0.6,0.6,0.6,0.6,True,0.7807748913764954,0.18077489137649538,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.6151095032691956,0.28489049673080447,True,True,True,True,False
p00007,Description_Simple,0.6,0.6,0.6,0.6,True,0.4765830636024475,0.12341693639755247,False,True,False,False,False
p00005,Description_Simple,0.6,0.6,0.6,0.6,True,0.8511872291564941,0.25118722915649416,True,True,True,True,False
p00006,Description_Simple,0.6,0.6,0.6,0.6,True,0.711284339427948,0.11128433942794802,True,True,True,True,False
p02255,Description_Simple,0.6,0.6,0.6,0.6,True,0.634179413318634,0.034179413318634055,True,True,True,True,False
p00002,Description_Simple,0.6,0.6,0.6,0.6,True,0.7773709297180176,0.1773709297180176,True,True,True,True,False
p02258,Description_Simple,0.6,0.6,0.6,0.6,True,0.5572781562805176,0.0427218437194824,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.7364562749862671,0.16354372501373293,True,True,True,True,False
p00001,Description_Simple,0.9,0.9,0.9,0.9,True,0.6330616474151611,0.2669383525848389,True,True,True,True,False
p02257,Description_Simple,0.1,0.1,0.1,0.1,False,0.800700843334198,0.700700843334198,False,False,True,False,False
p02268,Description_Simple,0.6,0.7,0.6499999999999999,0.625,True,0.40691694617271423,0.21808305382728577,False,True,False,False,False
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.296355277299881,0.296355277299881,True,False,False,False,True
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.8152977228164673,0.08470227718353274,True,True,True,True,False
p02264,Description_Simple,0.8,0.8,0.8,0.8,True,0.6326910853385925,0.16730891466140752,True,True,True,True,False
p02259,Description_Simple,0.9,0.9,0.9,0.9,True,0.34160351753234863,0.5583964824676514,False,True,False,False,False
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.6901766061782837,0.09017660617828371,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.7615851163864136,0.13841488361358645,True,True,True,True,False
p02393,Description_Simple,0.6,0.6,0.6,0.6,True,0.7063515186309814,0.10635151863098147,True,True,True,True,False
p02390,Description_Simple,0.1,0.1,0.1,0.1,False,0.2754985988140106,0.17549859881401061,True,False,False,False,True
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.45680415630340576,0.44319584369659426,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.673444390296936,0.226555609703064,True,True,True,True,False
p02400,Description_Simple,0.4,0.4,0.4,0.4,False,0.735273540019989,0.335273540019989,False,False,True,False,False
p02394,Description_Simple,0.4,0.3,0.35,0.32499999999999996,False,0.3129505515098572,0.012049448490142778,True,False,False,False,True
p02398,Description_Simple,0.6,0.6,0.6,0.6,True,0.646159827709198,0.04615982770919802,True,True,True,True,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.7383578419685364,0.16164215803146365,True,True,True,True,False
p02396,Description_Simple,0.3,0.3,0.3,0.3,False,0.5688206553459167,0.26882065534591676,False,False,True,False,False
p02397,Description_Simple,0.2,0.2,0.2,0.2,False,0.7549502849578857,0.5549502849578858,False,False,True,False,False
p02401,Description_Simple,0.6,0.6,0.6,0.6,True,0.6582127213478088,0.05821272134780886,True,True,True,True,False
p02391,Description_Simple,0.6,0.6,0.6,0.6,True,0.7107129693031311,0.11071296930313113,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.5401514768600464,0.35984852313995364,True,True,True,True,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7151474952697754,0.18485250473022463,True,True,True,True,False
p02415,Description_Simple,0.9,0.9,0.9,0.9,True,0.6807190179824829,0.2192809820175171,True,True,True,True,False
p02408,Description_Simple,0.2,0.5,0.35,0.275,False,0.2227187156677246,0.05228128433227541,True,False,False,False,True
p02406,Description_Simple,0.6,0.6,0.6,0.6,True,0.40287157893180847,0.1971284210681915,False,True,False,False,False
p02419,Description_Simple,0.6,0.6,0.6,0.6,True,0.5444462895393372,0.05555371046066282,True,True,True,True,False
p02418,Description_Simple,0.3,0.3,0.3,0.3,False,0.41302287578582764,0.11302287578582765,True,False,False,False,True
p02405,Description_Simple,0.9,0.9,0.9,0.9,True,0.5708672404289246,0.32913275957107546,True,True,True,True,False
p02417,Description_Simple,0.1,0.1,0.1,0.1,False,0.5474486947059631,0.44744869470596316,False,False,True,False,False
p02413,Description_Simple,0.6,0.9,0.75,0.75,True,0.6155982613563538,0.13440173864364624,True,True,True,True,False
p02414,Description_Simple,0.9,0.9,0.9,0.9,True,0.6322797536849976,0.26772024631500246,True,True,True,True,False
p02409,Description_Simple,0.5,0.5,0.5,0.5,True,0.3929848372936249,0.10701516270637512,False,True,False,False,False
p02404,Description_Simple,0.6,0.6,0.6,0.6,True,0.578149676322937,0.021850323677062966,True,True,True,True,False
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.7892074584960938,0.11079254150390627,True,True,True,True,False
p02407,Description_Simple,0.2,0.2,0.2,0.2,False,0.6017100811004639,0.40171008110046386,False,False,True,False,False
p02416,Description_Simple,0.6,0.6,0.6,0.6,True,0.6662240624427795,0.06622406244277956,True,True,True,True,False
p02412,Description_Simple,0.6,0.3,0.44999999999999996,0.375,False,0.7635904550552368,0.3885904550552368,False,False,True,False,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.6467141509056091,0.2532858490943909,True,True,True,True,False
p02552,Description_Simple,0.9,0.9,0.9,0.9,True,0.6384502053260803,0.2615497946739197,True,True,True,True,False
p02570,Description_Simple,0.6,0.6,0.6,0.6,True,0.4833506941795349,0.11664930582046507,False,True,False,False,False
p02571,Description_Simple,0.6,0.6,0.6,0.6,True,0.48885369300842285,0.11114630699157713,False,True,False,False,False
p02622,Description_Simple,0.1,0.1,0.1,0.1,False,0.3589135408401489,0.25891354084014895,True,False,False,False,True
p02420,Description_Simple,0.2,0.2,0.2,0.2,False,0.3736872375011444,0.1736872375011444,True,False,False,False,True
p02576,Description_Simple,0.2,0.2,0.2,0.2,False,0.5247412323951721,0.3247412323951721,False,False,True,False,False
p02421,Description_Simple,0.9,0.6,0.75,0.75,True,0.6402304172515869,0.10976958274841309,True,True,True,True,False
p02621,Description_Simple,0.0,0.0,0.0,0.0,False,0.23455551266670227,0.23455551266670227,True,False,False,False,True
p02595,Description_Simple,0.6,0.6,0.6,0.6,True,0.7065788507461548,0.10657885074615481,True,True,True,True,False
p02578,Description_Simple,0.6,0.6,0.6,0.6,True,0.6109723448753357,0.010972344875335716,True,True,True,True,False
p02582,Description_Simple,0.1,0.1,0.1,0.1,False,0.5365792512893677,0.4365792512893677,False,False,True,False,False
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.3158378005027771,0.3158378005027771,True,False,False,False,True
p02577,Description_Simple,0.6,0.6,0.6,0.6,True,0.7185386419296265,0.11853864192962649,True,True,True,True,False
p02547,Description_Simple,0.6,0.6,0.6,0.6,True,0.5096920728683472,0.09030792713165281,True,True,True,True,False
p02613,Description_Simple,0.2,0.4,0.30000000000000004,0.35000000000000003,False,0.42802122235298157,0.07802122235298153,True,False,False,False,True
p02553,Description_Simple,0.6,0.6,0.6,0.6,True,0.6561636924743652,0.05616369247436526,True,True,True,True,False
p02629,Description_Simple,0.9,0.9,0.9,0.9,True,0.530043363571167,0.36995663642883303,True,True,True,True,False
p02628,Description_Simple,0.9,0.9,0.9,0.9,True,0.6437022089958191,0.25629779100418093,True,True,True,True,False
p02657,Description_Simple,0.3,0.3,0.3,0.3,False,0.614474892616272,0.314474892616272,False,False,True,False,False
p02658,Description_Simple,0.6,0.6,0.6,0.6,True,0.6275051832199097,0.02750518321990969,True,True,True,True,False
p02688,Description_Simple,0.9,0.9,0.9,0.9,True,0.40082332491874695,0.4991766750812531,False,True,False,False,False
p02640,Description_Simple,0.2,0.2,0.2,0.2,False,0.2084183543920517,0.008418354392051686,True,False,False,False,True
p02641,Description_Simple,0.6,0.6,0.6,0.6,True,0.5379116535186768,0.06208834648132322,True,True,True,True,False
p02639,Description_Simple,0.9,0.9,0.9,0.9,True,0.3737439811229706,0.5262560188770294,False,True,False,False,False
