Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.613156795501709,0.386843204498291,True,True,True,True,False
mbpp_0408,Description_Simple,0.6,0.6,0.6,0.6,True,0.42894062399864197,0.171059376001358,False,True,False,False,False
mbpp_0031,Description_Simple,0.4,0.4,0.4,0.4,False,0.7146426439285278,0.3146426439285278,False,False,True,False,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.616782009601593,0.383217990398407,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6025636196136475,0.39743638038635254,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.5564189553260803,0.4435810446739197,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6758469343185425,0.3241530656814575,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4148242473602295,0.5851757526397705,False,True,False,False,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6211868524551392,0.37881314754486084,True,True,True,True,False
mbpp_0004,Description_Simple,0.8,0.8,0.8,0.8,True,0.6682353615760803,0.13176463842391972,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6968870162963867,0.3031129837036133,True,True,True,True,False
mbpp_0245,Description_Simple,0.4,0.4,0.4,0.4,False,0.6132447123527527,0.21324471235275266,False,False,True,False,False
mbpp_0822,Description_Simple,0.7,0.7,0.7,0.7,True,0.6747275590896606,0.02527244091033931,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5235066413879395,0.47649335861206055,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.763564944267273,0.23643505573272705,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.6092363595962524,0.2907636404037476,True,True,True,True,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.5602303743362427,0.4397696256637573,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.713982880115509,0.28601711988449097,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6819456815719604,0.31805431842803955,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.4416825771331787,0.04168257713317869,True,False,False,False,True
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.6587178707122803,0.25871787071228025,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7755841612815857,0.2244158387184143,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6836846470832825,0.31631535291671753,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5360862016677856,0.46391379833221436,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8392799496650696,0.16072005033493042,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7389034628868103,0.2610965371131897,True,True,True,True,False
