Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.7660557627677917,0.13394423723220827,True,True,True,True,False
p02256,Description_Simple,0.9,0.9,0.9,0.9,True,0.6913036704063416,0.20869632959365847,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6064316034317017,0.39356839656829834,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.36192670464515686,0.03807329535484316,True,False,False,False,True
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.8107717037200928,0.18922829627990723,True,True,True,True,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.42708683013916016,0.5729131698608398,False,True,False,False,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.42917436361312866,0.5708256363868713,False,True,False,False,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.7382346391677856,0.26176536083221436,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.5645932555198669,0.43540674448013306,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6968626976013184,0.30313730239868164,True,True,True,True,False
p00011,Description_Simple,0.4,0.4,0.4,0.4,False,0.3773002326488495,0.022699767351150535,True,False,False,False,True
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.601320207118988,0.39867979288101196,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.8074234127998352,0.1925765872001648,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7368718385696411,0.2631281614303589,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.6050536632537842,0.3949463367462158,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6333823204040527,0.36661767959594727,True,True,True,True,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.34542757272720337,0.5545724272727967,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.7129269242286682,0.1870730757713318,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6747292280197144,0.32527077198028564,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.7055187225341797,0.2944812774658203,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.40104490518569946,0.49895509481430056,False,True,False,False,False
p02390,Description_Simple,0.4,0.4,0.4,0.4,False,0.5351662039756775,0.13516620397567747,False,False,True,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.48375681042671204,0.516243189573288,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5976341962814331,0.4023658037185669,True,True,True,True,False
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.7134823799133301,0.2865176200866699,True,True,True,True,False
p02403,Description_Simple,0.8,0.8,0.8,0.8,True,0.5093887448310852,0.29061125516891484,True,True,True,True,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.7719207406044006,0.22807925939559937,True,True,True,True,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6391356587409973,0.3608643412590027,True,True,True,True,False
p02404,Description_Simple,1.0,1.0,1.0,1.0,True,0.4735857844352722,0.5264142155647278,False,True,False,False,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.4376481771469116,0.4623518228530884,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5669568777084351,0.43304312229156494,True,True,True,True,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.4066724181175232,0.5933275818824768,False,True,False,False,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.49604976177215576,0.5039502382278442,False,True,False,False,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.69036465883255,0.30963534116744995,True,True,True,True,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.6731094717979431,0.3268905282020569,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.7265238165855408,0.27347618341445923,True,True,True,True,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.19588536024093628,0.8041146397590637,False,True,False,False,False
