Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.6096912026405334,0.1903087973594666,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.3132535517215729,0.6867464482784271,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6571811437606812,0.34281885623931885,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.7570005059242249,0.14299949407577517,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7374763488769531,0.2625236511230469,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6062917709350586,0.3937082290649414,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6061961650848389,0.39380383491516113,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7700686454772949,0.3700686454772949,False,False,True,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6393545866012573,0.3606454133987427,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.46322429180145264,0.5367757081985474,False,True,False,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6930605173110962,0.3069394826889038,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6739441156387329,0.3260558843612671,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.760369062423706,0.23963093757629395,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.48168888688087463,0.08168888688087461,True,False,False,False,True
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7791982293128967,0.22080177068710327,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6430253982543945,0.35697460174560547,True,True,True,True,False
mbpp_0315,Description_Simple,0.9,0.9,0.9,0.9,True,0.7304515242576599,0.1695484757423401,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6524943113327026,0.34750568866729736,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7737602591514587,0.22623974084854126,True,True,True,True,False
mbpp_0628,Description_Simple,0.6,0.6,0.6,0.6,True,0.6165687441825867,0.016568744182586692,True,True,True,True,False
mbpp_0516,Description_Simple,0.9,0.9,0.9,0.9,True,0.5416692495346069,0.3583307504653931,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6258924007415771,0.37410759925842285,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6433459520339966,0.3566540479660034,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7545848488807678,0.24541515111923218,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.652223527431488,0.452223527431488,False,False,True,False,False
mbpp_0665,Description_Simple,0.4,0.4,0.4,0.4,False,0.5932698249816895,0.19326982498168943,False,False,True,False,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.4700639247894287,0.2700639247894287,True,False,False,False,True
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.7135531902313232,0.28644680976867676,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7070898413658142,0.2929101586341858,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6070377826690674,0.20703778266906736,False,False,True,False,False
mbpp_0060,Description_Simple,0.7,0.7,0.7,0.7,True,0.7918537259101868,0.09185372591018681,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7742773294448853,0.22572267055511475,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6670765280723572,0.3329234719276428,True,True,True,True,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.4460822343826294,0.04608223438262937,True,False,False,False,True
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7682392597198486,0.23176074028015137,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7133720517158508,0.28662794828414917,True,True,True,True,False
mbpp_0926,Description_Simple,0.5,0.5,0.5,0.5,True,0.6173022985458374,0.1173022985458374,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7948155999183655,0.20518440008163452,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.617677628993988,0.38232237100601196,True,True,True,True,False
mbpp_0755,Description_Simple,0.6,0.6,0.6,0.6,True,0.5380722284317017,0.06192777156829832,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.6867669224739075,0.31323307752609253,True,True,True,True,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.7741384506225586,0.2258615493774414,True,True,True,True,False
