model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,78.8352,83.0966,86.0795,84.233,84.375,82.6705,85.6534,87.7841,86.0795,84.6591,87.358,86.7898,88.2102,87.642,85.3693
GPT-3.5,83.0966,67.3295,87.358,76.5625,77.8409,81.392,85.0852,88.9205,85.3693,83.2386,87.5,86.0795,88.2102,88.3523,83.8068
O4-mini,86.0795,87.358,80.3977,85.6534,87.5,84.233,86.6477,87.358,86.2216,85.9375,87.2159,87.0739,87.358,86.3636,85.3693
Gemini,84.233,76.5625,85.6534,42.1875,77.4148,80.2557,84.233,85.6534,84.8011,83.3807,85.9375,85.0852,86.6477,87.2159,81.6761
Llama-70B,84.375,77.8409,87.5,77.4148,69.6023,81.6761,86.0795,88.4943,86.5057,83.5227,86.7898,86.6477,88.2102,88.2102,83.6648
Mistral,82.6705,81.392,84.233,80.2557,81.6761,72.5852,84.8011,86.3636,84.6591,82.2443,84.9432,84.517,86.9318,86.3636,82.2443
DeepSeek-V3.1,85.6534,85.0852,86.6477,84.233,86.0795,84.8011,79.9716,87.7841,84.8011,85.7955,87.0739,86.2216,87.7841,87.2159,85.5114
DeepSeek-R1,87.7841,88.9205,87.358,85.6534,88.4943,86.3636,87.7841,80.6818,87.642,88.3523,87.358,87.358,87.7841,87.2159,87.5
DeepSeek-V4-Pro,86.0795,85.3693,86.2216,84.8011,86.5057,84.6591,84.8011,87.642,79.9716,85.5114,87.9261,86.3636,87.358,86.9318,86.2216
QwenCoder,84.6591,83.2386,85.9375,83.3807,83.5227,82.2443,85.7955,88.3523,85.5114,77.5568,87.358,86.6477,88.4943,87.9261,84.0909
Qwen3.7,87.358,87.5,87.2159,85.9375,86.7898,84.9432,87.0739,87.358,87.9261,87.358,81.108,86.3636,87.9261,87.5,86.5057
Claude-5,86.7898,86.0795,87.0739,85.0852,86.6477,84.517,86.2216,87.358,86.3636,86.6477,86.3636,79.9716,87.2159,87.0739,85.9375
GLM-5,88.2102,88.2102,87.358,86.6477,88.2102,86.9318,87.7841,87.7841,87.358,88.4943,87.9261,87.2159,83.2386,87.2159,87.0739
Kimi-K2.7,87.642,88.3523,86.3636,87.2159,88.2102,86.3636,87.2159,87.2159,86.9318,87.9261,87.5,87.0739,87.2159,82.6705,86.3636
GPT-5,85.3693,83.8068,85.3693,81.6761,83.6648,82.2443,85.5114,87.5,86.2216,84.0909,86.5057,85.9375,87.0739,86.3636,75.7102
