Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02982,Description_Detailed,0.1,0.0,0.05,False,0.2774296700954437,0.22742967009544374,True,False,False,False,True
p02982,Description_Fewshot,0.1,0.1,0.1,False,0.5740559101104736,0.47405591011047366,False,False,True,False,False
p02982,Description_Reason,0.1,0.1,0.1,False,0.23968173563480377,0.13968173563480377,True,False,False,False,True
p02982,Description_Simple,0.0,0.0,0.0,False,0.2616373598575592,0.2616373598575592,True,False,False,False,True
p02982,Description_Vague,0.0,0.1,0.05,False,0.20274026691913605,0.15274026691913606,True,False,False,False,True
p02612,Description_Detailed,0.4,0.4,0.4,False,0.3093402087688446,0.09065979123115542,True,False,False,False,True
p02612,Description_Fewshot,0.0,0.0,0.0,False,0.3077056407928467,0.3077056407928467,True,False,False,False,True
p02612,Description_Reason,0.1,0.1,0.1,False,0.3088683485984802,0.20886834859848022,True,False,False,False,True
p02612,Description_Simple,0.4,0.1,0.25,False,0.2826101779937744,0.032610177993774414,True,False,False,False,True
p02612,Description_Vague,0.0,0.0,0.0,False,0.23432308435440063,0.23432308435440063,True,False,False,False,True
p03086,Description_Detailed,0.9,0.4,0.65,True,0.5614741444587708,0.08852585554122927,True,True,True,True,False
p03086,Description_Fewshot,0.7,0.7,0.7,True,0.6071723699569702,0.09282763004302974,True,True,True,True,False
p03086,Description_Reason,0.7,0.4,0.55,True,0.6098097562789917,0.059809756278991655,True,True,True,True,False
p03086,Description_Simple,0.1,0.9,0.5,True,0.5878550410270691,0.08785504102706909,True,True,True,True,False
p03086,Description_Vague,0.4,0.7,0.55,True,0.4692577123641968,0.08074228763580327,False,True,False,False,False
p03126,Description_Detailed,0.1,0.1,0.1,False,0.15963062644004822,0.05963062644004821,True,False,False,False,True
p03126,Description_Fewshot,0.0,0.1,0.05,False,0.24787835776805878,0.1978783577680588,True,False,False,False,True
p03126,Description_Reason,0.4,0.1,0.25,False,0.18306311964988708,0.06693688035011292,True,False,False,False,True
p03126,Description_Simple,0.1,0.0,0.05,False,0.18731550872325897,0.13731550872325898,True,False,False,False,True
p03126,Description_Vague,0.1,0.0,0.05,False,0.08910245448350906,0.03910245448350906,True,False,False,False,True
p02681,Description_Detailed,0.1,0.1,0.1,False,0.38954997062683105,0.2895499706268311,True,False,False,False,True
p02681,Description_Fewshot,0.3,0.3,0.3,False,0.49587947130203247,0.19587947130203248,True,False,False,False,True
p02681,Description_Reason,0.0,0.4,0.2,False,0.42884311079978943,0.22884311079978942,True,False,False,False,True
p02681,Description_Simple,0.0,0.1,0.05,False,0.4915076494216919,0.4415076494216919,True,False,False,False,True
p02681,Description_Vague,0.1,0.0,0.05,False,0.27412158250808716,0.22412158250808717,True,False,False,False,True
p03243,Description_Detailed,0.0,0.0,0.0,False,0.3025931715965271,0.3025931715965271,True,False,False,False,True
p03243,Description_Fewshot,0.9,0.9,0.9,True,0.3796819746494293,0.5203180253505707,False,True,False,False,False
p03243,Description_Reason,0.9,0.4,0.65,True,0.2778993546962738,0.3721006453037262,False,True,False,False,False
p03243,Description_Simple,0.0,0.0,0.0,False,0.35120731592178345,0.35120731592178345,True,False,False,False,True
p03243,Description_Vague,0.4,0.9,0.65,True,0.3004952073097229,0.3495047926902771,False,True,False,False,False
p02700,Description_Detailed,0.0,0.0,0.0,False,0.14260664582252502,0.14260664582252502,True,False,False,False,True
p02700,Description_Fewshot,0.1,0.1,0.1,False,0.22897177934646606,0.12897177934646606,True,False,False,False,True
p02700,Description_Reason,0.0,0.0,0.0,False,0.16160990297794342,0.16160990297794342,True,False,False,False,True
p02700,Description_Simple,0.1,0.0,0.05,False,0.249553382396698,0.199553382396698,True,False,False,False,True
p02700,Description_Vague,0.0,0.1,0.05,False,0.13108617067337036,0.08108617067337036,True,False,False,False,True
p02910,Description_Detailed,0.0,0.1,0.05,False,0.28724971413612366,0.23724971413612367,True,False,False,False,True
p02910,Description_Fewshot,0.0,0.0,0.0,False,0.5793903470039368,0.5793903470039368,False,False,True,False,False
p02910,Description_Reason,0.1,0.0,0.05,False,0.5057390928268433,0.4557390928268433,False,False,True,False,False
p02910,Description_Simple,0.4,0.1,0.25,False,0.46898484230041504,0.21898484230041504,True,False,False,False,True
p02910,Description_Vague,0.0,0.0,0.0,False,0.23093688488006592,0.23093688488006592,True,False,False,False,True
p03261,Description_Detailed,0.1,0.4,0.25,False,0.35028940439224243,0.10028940439224243,True,False,False,False,True
p03261,Description_Fewshot,0.4,0.0,0.2,False,0.39182209968566895,0.19182209968566893,True,False,False,False,True
p03261,Description_Reason,0.4,0.4,0.4,False,0.46242648363113403,0.06242648363113401,True,False,False,False,True
p03261,Description_Simple,0.0,0.4,0.2,False,0.2944522202014923,0.0944522202014923,True,False,False,False,True
p03261,Description_Vague,0.4,0.4,0.4,False,0.22248251736164093,0.1775174826383591,True,False,False,False,True
p04044,Description_Detailed,1.0,0.9,0.95,True,0.16961076855659485,0.7803892314434051,False,True,False,False,False
p04044,Description_Fewshot,0.0,1.0,0.5,True,0.3447994887828827,0.1552005112171173,False,True,False,False,False
p04044,Description_Reason,0.1,0.1,0.1,False,0.1800994575023651,0.0800994575023651,True,False,False,False,True
p04044,Description_Simple,0.9,0.9,0.9,True,0.2363898754119873,0.6636101245880127,False,True,False,False,False
p04044,Description_Vague,0.0,0.0,0.0,False,0.17505231499671936,0.17505231499671936,True,False,False,False,True
p03160,Description_Detailed,0.1,0.0,0.05,False,0.23956045508384705,0.18956045508384706,True,False,False,False,True
p03160,Description_Fewshot,0.9,0.0,0.45,False,0.5939748883247375,0.14397488832473754,False,False,True,False,False
p03160,Description_Reason,0.0,0.0,0.0,False,0.5133805274963379,0.5133805274963379,False,False,True,False,False
p03160,Description_Simple,0.7,0.0,0.35,False,0.5812937021255493,0.23129370212554934,False,False,True,False,False
p03160,Description_Vague,0.0,0.0,0.0,False,0.3340352475643158,0.3340352475643158,True,False,False,False,True
p02945,Description_Detailed,0.1,0.9,0.5,True,0.4179292917251587,0.08207070827484131,False,True,False,False,False
p02945,Description_Fewshot,0.9,0.0,0.45,False,0.4379953145980835,0.012004685401916515,True,False,False,False,True
p02945,Description_Reason,0.0,0.1,0.05,False,0.49916377663612366,0.44916377663612367,True,False,False,False,True
p02945,Description_Simple,0.0,0.0,0.0,False,0.39685583114624023,0.39685583114624023,True,False,False,False,True
p02945,Description_Vague,0.0,0.9,0.45,False,0.41284340620040894,0.037156593799591076,True,False,False,False,True
p02417,Description_Detailed,0.9,0.9,0.9,True,0.7284117937088013,0.17158820629119875,True,True,True,True,False
p02417,Description_Fewshot,0.0,0.0,0.0,False,0.6692942380905151,0.6692942380905151,False,False,True,False,False
p02417,Description_Reason,1.0,0.0,0.5,True,0.6638909578323364,0.16389095783233643,True,True,True,True,False
p02417,Description_Simple,0.0,1.0,0.5,True,0.7675265669822693,0.2675265669822693,True,True,True,True,False
p02417,Description_Vague,0.9,1.0,0.95,True,0.7043947577476501,0.2456052422523498,True,True,True,True,False
p03001,Description_Detailed,0.7,0.9,0.8,True,0.12615998089313507,0.673840019106865,False,True,False,False,False
p03001,Description_Fewshot,1.0,0.1,0.55,True,0.13012048602104187,0.4198795139789582,False,True,False,False,False
p03001,Description_Reason,0.1,0.7,0.39999999999999997,False,0.17385053634643555,0.22614946365356442,True,False,False,False,True
p03001,Description_Simple,1.0,0.0,0.5,True,0.2071528434753418,0.2928471565246582,False,True,False,False,False
p03001,Description_Vague,0.0,0.0,0.0,False,0.10061468929052353,0.10061468929052353,True,False,False,False,True
p02577,Description_Detailed,1.0,1.0,1.0,True,0.5920506715774536,0.4079493284225464,True,True,True,True,False
p02577,Description_Fewshot,0.0,1.0,0.5,True,0.6980950832366943,0.19809508323669434,True,True,True,True,False
p02577,Description_Reason,1.0,1.0,1.0,True,0.5125784873962402,0.48742151260375977,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,True,0.6840636134147644,0.3159363865852356,True,True,True,True,False
p02577,Description_Vague,1.0,1.0,1.0,True,0.5600820779800415,0.4399179220199585,True,True,True,True,False
p03285,Description_Detailed,0.0,0.1,0.05,False,0.23680134117603302,0.18680134117603303,True,False,False,False,True
p03285,Description_Fewshot,0.0,0.1,0.05,False,0.3866707682609558,0.3366707682609558,True,False,False,False,True
p03285,Description_Reason,0.1,0.0,0.05,False,0.3382227420806885,0.2882227420806885,True,False,False,False,True
