Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.7052509784698486,0.09474902153015141,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.6181509494781494,0.3818490505218506,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5043870210647583,0.10438702106475828,False,False,True,False,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5399381518363953,0.46006184816360474,True,True,True,True,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.4745922386646271,0.42540776133537295,False,True,False,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6688665151596069,0.33113348484039307,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.7321250438690186,0.26787495613098145,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7635281682014465,0.23647183179855347,True,True,True,True,False
mbpp_0004,Description_Simple,0.8,0.8,0.8,0.8,True,0.7167865037918091,0.08321349620819096,True,True,True,True,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.6573194265365601,0.0426805734634399,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7730143070220947,0.22698569297790527,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5994252562522888,0.4005747437477112,True,True,True,True,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.7123289108276367,0.08767108917236333,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8503420352935791,0.1496579647064209,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.6791602969169617,0.27916029691696165,False,False,True,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.7037042379379272,0.29629576206207275,True,True,True,True,False
mbpp_0209,Description_Simple,0.9,0.9,0.9,0.9,True,0.6961565017700195,0.2038434982299805,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.7021361589431763,0.29786384105682373,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.4992803931236267,0.09928039312362669,True,False,False,False,True
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7515450716018677,0.24845492839813232,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7675206661224365,0.23247933387756348,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.6764721870422363,0.2764721870422363,False,False,True,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6285428404808044,0.37145715951919556,True,True,True,True,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.7006126642227173,0.19938733577728274,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7530340552330017,0.2469659447669983,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6312057971954346,0.36879420280456543,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7946416139602661,0.2053583860397339,True,True,True,True,False
mbpp_0315,Description_Simple,0.8,0.8,0.8,0.8,True,0.553950846195221,0.2460491538047791,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.4357573986053467,0.23575739860534667,True,False,False,False,True
mbpp_0834,Description_Simple,0.3,0.3,0.3,0.3,False,0.7276045083999634,0.4276045083999634,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.8064944744110107,0.19350552558898926,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6422159075737,0.24221590757369993,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6166008114814758,0.38339918851852417,True,True,True,True,False
mbpp_0306,Description_Simple,0.4,0.4,0.4,0.4,False,0.7041358947753906,0.3041358947753906,False,False,True,False,False
mbpp_0550,Description_Simple,0.2,0.2,0.2,0.2,False,0.48578518629074097,0.28578518629074096,True,False,False,False,True
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.769794762134552,0.230205237865448,True,True,True,True,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.6728582382202148,0.2728582382202148,False,False,True,False,False
mbpp_0811,Description_Simple,0.9,0.9,0.9,0.9,True,0.6747555136680603,0.22524448633193972,True,True,True,True,False
mbpp_0850,Description_Simple,0.2,0.2,0.2,0.2,False,0.555389404296875,0.355389404296875,False,False,True,False,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.6254786849021912,0.025478684902191184,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.725634753704071,0.27436524629592896,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7116851806640625,0.2883148193359375,True,True,True,True,False
mbpp_0453,Description_Simple,1.0,1.0,1.0,1.0,True,0.628753662109375,0.371246337890625,True,True,True,True,False
mbpp_0247,Description_Simple,0.7,0.7,0.7,0.7,True,0.7844390273094177,0.08443902730941777,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.7325326204299927,0.2674673795700073,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5607916712760925,0.43920832872390747,True,True,True,True,False
mbpp_0060,Description_Simple,0.2,0.2,0.2,0.2,False,0.7512022256851196,0.5512022256851197,False,False,True,False,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.684820294380188,0.015179705619811967,True,True,True,True,False
mbpp_0107,Description_Simple,0.1,0.1,0.1,0.1,False,0.5826789140701294,0.4826789140701294,False,False,True,False,False
mbpp_0239,Description_Simple,0.0,0.0,0.0,0.0,False,0.6232158541679382,0.6232158541679382,False,False,True,False,False
mbpp_0689,Description_Simple,0.9,0.9,0.9,0.9,True,0.8057065606117249,0.09429343938827517,True,True,True,True,False
mbpp_0149,Description_Simple,0.7,0.7,0.7,0.7,True,0.8020253777503967,0.10202537775039677,True,True,True,True,False
mbpp_0121,Description_Simple,0.7,0.7,0.7,0.7,True,0.6272218227386475,0.0727781772613525,True,True,True,True,False
mbpp_0349,Description_Simple,0.1,0.1,0.1,0.1,False,0.6814865469932556,0.5814865469932556,False,False,True,False,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.7417410612106323,0.2582589387893677,True,True,True,True,False
mbpp_0826,Description_Simple,0.4,0.4,0.4,0.4,False,0.5987516641616821,0.1987516641616821,False,False,True,False,False
mbpp_0628,Description_Simple,0.4,0.4,0.4,0.4,False,0.5421613454818726,0.14216134548187254,False,False,True,False,False
mbpp_0597,Description_Simple,1.0,1.0,1.0,1.0,True,0.6732709407806396,0.32672905921936035,True,True,True,True,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.6415137052536011,0.5415137052536011,False,False,True,False,False
mbpp_0485,Description_Simple,0.9,0.9,0.9,0.9,True,0.7564071416854858,0.14359285831451418,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.7724522352218628,0.2275477647781372,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6954007744789124,0.30459922552108765,True,True,True,True,False
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.6254127621650696,0.3745872378349304,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.7700939774513245,0.22990602254867554,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.5923483967781067,0.4076516032218933,True,True,True,True,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.6075873970985413,0.39241260290145874,True,True,True,True,False
mbpp_0885,Description_Simple,0.8,0.8,0.8,0.8,True,0.6873529553413391,0.11264704465866093,True,True,True,True,False
mbpp_0648,Description_Simple,0.1,0.1,0.1,0.1,False,0.5616115927696228,0.4616115927696228,False,False,True,False,False
mbpp_0256,Description_Simple,1.0,1.0,1.0,1.0,True,0.7020253539085388,0.2979746460914612,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7604142427444458,0.2395857572555542,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.80458003282547,0.19541996717453003,True,True,True,True,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.6445953845977783,0.3554046154022217,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.7256504893302917,0.27434951066970825,True,True,True,True,False
mbpp_0622,Description_Simple,1.0,1.0,1.0,1.0,True,0.7747767567634583,0.22522324323654175,True,True,True,True,False
mbpp_0702,Description_Simple,1.0,1.0,1.0,1.0,True,0.4868733286857605,0.5131266713142395,False,True,False,False,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.7007837891578674,0.29921621084213257,True,True,True,True,False
mbpp_0448,Description_Simple,0.9,0.9,0.9,0.9,True,0.4493333399295807,0.45066666007041933,False,True,False,False,False
mbpp_0181,Description_Simple,1.0,1.0,1.0,1.0,True,0.7948633432388306,0.20513665676116943,True,True,True,True,False
mbpp_0717,Description_Simple,0.7,0.7,0.7,0.7,True,0.6279364824295044,0.07206351757049556,True,True,True,True,False
