Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5945748686790466,0.40542513132095337,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.48777467012405396,0.08777467012405393,True,False,False,False,True
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.6126200556755066,0.3873799443244934,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6782221794128418,0.22177782058715823,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.5689707398414612,0.4310292601585388,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7278746962547302,0.2721253037452698,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.36380141973495483,0.6361985802650452,False,True,False,False,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6632328629493713,0.33676713705062866,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.7274482250213623,0.17255177497863772,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6243203282356262,0.3756796717643738,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6155460476875305,0.3844539523124695,True,True,True,True,False
mbpp_0039,Description_Simple,0.6,0.6,0.6,0.6,True,0.5922626256942749,0.0077373743057250755,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8349795937538147,0.1650204062461853,True,True,True,True,False
mbpp_0822,Description_Simple,0.1,0.1,0.1,0.1,False,0.7106389999389648,0.6106389999389649,False,False,True,False,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.7674016952514648,0.13259830474853518,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5545938611030579,0.44540613889694214,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7105981707572937,0.2894018292427063,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.4326668381690979,0.03266683816909788,True,False,False,False,True
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6501486897468567,0.3498513102531433,True,True,True,True,False
mbpp_0209,Description_Simple,0.9,0.9,0.9,0.9,True,0.6910883188247681,0.20891168117523196,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7694660425186157,0.23053395748138428,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7119892835617065,0.28801071643829346,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.6577058434486389,0.2577058434486389,False,False,True,False,False
mbpp_0223,Description_Simple,0.7,0.7,0.7,0.7,True,0.7625952363014221,0.06259523630142216,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6340535879135132,0.3659464120864868,True,True,True,True,False
mbpp_0838,Description_Simple,0.4,0.4,0.4,0.4,False,0.7775548696517944,0.3775548696517944,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7310371398925781,0.2689628601074219,True,True,True,True,False
mbpp_0315,Description_Simple,0.8,0.8,0.8,0.8,True,0.8044637441635132,0.004463744163513139,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7950835824012756,0.20491641759872437,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6537491679191589,0.2537491679191589,False,False,True,False,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.481125146150589,0.281125146150589,True,False,False,False,True
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.8078328371047974,0.19216716289520264,True,True,True,True,False
mbpp_0306,Description_Simple,0.6,0.6,0.6,0.6,True,0.7217640280723572,0.1217640280723572,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7334484457969666,0.26655155420303345,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6862323880195618,0.31376761198043823,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5751564502716064,0.42484354972839355,True,True,True,True,False
mbpp_0926,Description_Simple,0.6,0.6,0.6,0.6,True,0.6210148334503174,0.021014833450317405,True,True,True,True,False
mbpp_0811,Description_Simple,1.0,1.0,1.0,1.0,True,0.8002954721450806,0.19970452785491943,True,True,True,True,False
mbpp_0523,Description_Simple,0.8,0.8,0.8,0.8,True,0.48589998483657837,0.3141000151634217,False,True,False,False,False
mbpp_0850,Description_Simple,0.1,0.1,0.1,0.1,False,0.6340228915214539,0.5340228915214539,False,False,True,False,False
mbpp_0453,Description_Simple,1.0,1.0,1.0,1.0,True,0.6652450561523438,0.33475494384765625,True,True,True,True,False
