Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02921,Description_Simple,0.5,0.5,0.5,0.5,True,0.5656276941299438,0.06562769412994385,True,True,True,True,False
p02773,Description_Simple,0.4,0.4,0.4,0.4,False,0.6703059673309326,0.2703059673309326,False,False,True,False,False
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.5601034164428711,0.4398965835571289,True,True,True,True,False
p03493,Description_Simple,0.6,0.6,0.6,0.6,True,0.5877929925918579,0.012207007408142068,True,True,True,True,False
p02910,Description_Simple,0.9,0.9,0.9,0.9,True,0.511981189250946,0.388018810749054,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7342016696929932,0.26579833030700684,True,True,True,True,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.25047650933265686,0.14952349066734316,True,False,False,False,True
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.5215054750442505,0.4784945249557495,True,True,True,True,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.7287182807922363,0.27128171920776367,True,True,True,True,False
p02917,Description_Simple,0.2,0.2,0.2,0.2,False,0.5250846147537231,0.32508461475372313,False,False,True,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.43077343702316284,0.43077343702316284,True,False,False,False,True
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.5974088311195374,0.39740883111953734,False,False,True,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.47526028752326965,0.5247397124767303,False,True,False,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.4017947316169739,0.5982052683830261,False,True,False,False,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.454184889793396,0.354184889793396,True,False,False,False,True
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.5850768089294434,0.014923191070556618,True,True,True,True,False
p02981,Description_Simple,0.9,0.9,0.9,0.9,True,0.26477131247520447,0.6352286875247956,False,True,False,False,False
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.5710781216621399,0.028921878337860085,True,True,True,True,False
p03854,Description_Simple,0.4,0.4,0.4,0.4,False,0.4612081050872803,0.06120810508728025,True,False,False,False,True
