,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,55.60000000000001,61.199999999999996,64.0,79.60000000000001,55.60000000000001,74.8,57.377049180327866,56.00000000000001,74.0,63.2,72.8,57.199999999999996,56.00000000000001,60.8
GPT3.5,61.199999999999996,34.4,56.39999999999999,76.8,34.4,71.6,38.52459016393443,34.8,72.39999999999999,49.2,64.4,40.0,34.4,45.2
GPT4o,64.0,56.39999999999999,53.2,77.60000000000001,53.2,74.0,53.68852459016394,53.2,74.0,59.599999999999994,70.8,55.60000000000001,53.2,56.00000000000001
Gemini,79.60000000000001,76.8,77.60000000000001,76.0,76.0,81.2,76.22950819672131,76.0,80.80000000000001,77.60000000000001,82.8,77.2,76.0,76.8
LlamaVL,55.60000000000001,34.4,53.2,76.0,0.8,70.39999999999999,18.442622950819672,2.0,70.0,38.4,60.4,17.599999999999998,1.2,32.4
O4-mini,74.8,71.6,74.0,81.2,70.39999999999999,70.39999999999999,70.08196721311475,70.39999999999999,78.4,72.8,78.8,71.6,70.39999999999999,70.8
Qwen3VL,57.377049180327866,38.52459016393443,53.68852459016394,76.22950819672131,18.442622950819672,70.08196721311475,17.62295081967213,18.442622950819672,69.67213114754098,43.0327868852459,61.885245901639344,28.278688524590162,17.62295081967213,38.52459016393443
codellama,56.00000000000001,34.8,53.2,76.0,2.0,70.39999999999999,18.442622950819672,1.2,70.0,38.0,60.8,18.0,1.6,32.0
deepseek-r1,74.0,72.39999999999999,74.0,80.80000000000001,70.0,78.4,69.67213114754098,70.0,70.0,72.39999999999999,79.60000000000001,71.2,70.0,72.8
mistral,63.2,49.2,59.599999999999994,77.60000000000001,38.4,72.8,43.0327868852459,38.0,72.39999999999999,38.0,66.4,43.2,38.0,47.199999999999996
qwencoder32B,72.8,64.4,70.8,82.8,60.4,78.8,61.885245901639344,60.8,79.60000000000001,66.4,60.4,63.2,60.8,64.0
starchat,57.199999999999996,40.0,55.60000000000001,77.2,17.599999999999998,71.6,28.278688524590162,18.0,71.2,43.2,63.2,16.8,17.2,37.2
starcoder,56.00000000000001,34.4,53.2,76.0,1.2,70.39999999999999,17.62295081967213,1.6,70.0,38.0,60.8,17.2,0.4,32.0
Llama70B,60.8,45.2,56.00000000000001,76.8,32.4,70.8,38.52459016393443,32.0,72.8,47.199999999999996,64.0,37.2,32.0,31.6
