Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.49936428666114807,0.5006357133388519,False,True,False,False,False
p02921,Description_Simple,0.2,0.2,0.2,0.2,False,0.5951948165893555,0.39519481658935546,False,False,True,False,False
p03493,Description_Simple,0.7,0.7,0.7,0.7,True,0.6234048008918762,0.07659519910812373,True,True,True,True,False
p02773,Description_Simple,0.7,0.7,0.7,0.7,True,0.6192875504493713,0.08071244955062862,True,True,True,True,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.21820709109306335,0.3817929089069366,False,True,False,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7891240119934082,0.2108759880065918,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.3793388605117798,0.6206611394882202,False,True,False,False,False
p02910,Description_Simple,1.0,1.0,1.0,1.0,True,0.5740138292312622,0.4259861707687378,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.48759326338768005,0.48759326338768005,True,False,False,False,True
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.5807962417602539,0.4192037582397461,True,True,True,True,False
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.5398819446563721,0.33988194465637206,False,False,True,False,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.5701399445533752,0.5701399445533752,False,False,True,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.5644736289978027,0.3644736289978027,False,False,True,False,False
p02381,Description_Simple,0.7,0.7,0.7,0.7,True,0.7118496298789978,0.011849629878997847,True,True,True,True,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.4274609088897705,0.5725390911102295,False,True,False,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.24849389493465424,0.7515061050653458,False,True,False,False,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7266726493835449,0.1733273506164551,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.23563505709171295,0.764364942908287,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.3908293843269348,0.1908293843269348,True,False,False,False,True
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.642808735370636,0.04280873537063601,True,True,True,True,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.6808938980102539,0.3191061019897461,True,True,True,True,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.668235182762146,0.331764817237854,True,True,True,True,False
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.5332778692245483,0.33327786922454833,False,False,True,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.5639500617980957,0.4360499382019043,True,True,True,True,False
p03239,Description_Simple,0.9,0.9,0.9,0.9,True,0.3573471009731293,0.5426528990268707,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.45569226145744324,0.5443077385425568,False,True,False,False,False
