model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,22.4,32,59.6,62.8,31.2,32.4,51.2,58,52.8,29.6,61.6,58.8,70,61.6,54.4
GPT-3.5,32,21.6,61.2,62,30,32.4,50.4,58.4,52,29.2,60,59.2,68.8,61.6,52.4
O4-mini,59.6,61.2,58,72.8,61.2,60.4,68,71.2,68.8,60.4,73.2,71.6,76,72.8,70.8
Gemini,62.8,62,72.8,60.4,63.2,63.2,70.4,72.8,71.6,63.2,75.6,76.4,77.2,76.4,71.2
Llama-70B,31.2,30,61.2,63.2,18,27.2,50,58,51.6,25.6,60,58.8,70.4,60.8,51.2
Mistral,32.4,32.4,60.4,63.2,27.2,17.2,50.4,57.2,52,23.2,59.6,58.4,68.8,61.2,50.4
DeepSeek-V3.1,51.2,50.4,68,70.4,50,50.4,44.8,58,54.8,46.8,60.8,61.2,69.2,62.4,57.2
DeepSeek-R1,58,58.4,71.2,72.8,58,57.2,58,53.2,61.2,54.8,65.6,64.4,70.4,65.6,60
DeepSeek-V4-Pro,52.8,52,68.8,71.6,51.6,52,54.8,61.2,46.8,48.4,62.8,59.6,69.6,64,57.6
QwenCoder,29.6,29.2,60.4,63.2,25.6,23.2,46.8,54.8,48.4,12,57.6,54.4,66.4,56.8,48
Qwen3.7,61.6,60,73.2,75.6,60,59.6,60.8,65.6,62.8,57.6,55.2,68,70.8,66,64
Claude-5,58.8,59.2,71.6,76.4,58.8,58.4,61.2,64.4,59.6,54.4,68,54.4,72.4,66,62.4
GLM-5,70,68.8,76,77.2,70.4,68.8,69.2,70.4,69.6,66.4,70.8,72.4,65.6,71.2,68.4
Kimi-K2.7,61.6,61.6,72.8,76.4,60.8,61.2,62.4,65.6,64,56.8,66,66,71.2,56.4,63.2
GPT-5,54.4,52.4,70.8,71.2,51.2,50.4,57.2,60,57.6,48,64,62.4,68.4,63.2,46
