Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.6053735017776489,0.3946264982223511,True,True,True,True,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.6110973954200745,0.28890260457992556,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.6228068470954895,0.3771931529045105,True,True,True,True,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.8146021366119385,0.18539786338806152,True,True,True,True,False
p02257,Description_Simple,0.9,0.9,0.9,0.9,True,0.6489517092704773,0.2510482907295227,True,True,True,True,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.4285600185394287,0.5714399814605713,False,True,False,False,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7479351162910461,0.25206488370895386,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6933218240737915,0.3066781759262085,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.6747573018074036,0.32524269819259644,True,True,True,True,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.6130892634391785,0.28691073656082156,True,True,True,True,False
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.33426177501678467,0.6657382249832153,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5484790802001953,0.4515209197998047,True,True,True,True,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6675809621810913,0.3324190378189087,True,True,True,True,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.44773435592651367,0.44773435592651367,True,False,False,False,True
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7725467085838318,0.2274532914161682,True,True,True,True,False
p02268,Description_Simple,0.9,0.9,0.9,0.9,True,0.4262644052505493,0.4737355947494507,False,True,False,False,False
p02390,Description_Simple,0.9,0.9,0.9,0.9,True,0.4708288311958313,0.4291711688041687,False,True,False,False,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.50188809633255,0.49811190366744995,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.6761002540588379,0.22389974594116213,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.41561397910118103,0.484386020898819,False,True,False,False,False
p02403,Description_Simple,1.0,1.0,1.0,1.0,True,0.4995637536048889,0.5004362463951111,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.7141492366790771,0.28585076332092285,True,True,True,True,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.48154568672180176,0.5184543132781982,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5885224342346191,0.41147756576538086,True,True,True,True,False
p02392,Description_Simple,0.8,0.8,0.8,0.8,True,0.644579291343689,0.15542070865631108,True,True,True,True,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.5031358003616333,0.4968641996383667,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.5264872312545776,0.47351276874542236,True,True,True,True,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.7427533864974976,0.15724661350250246,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5490894317626953,0.4509105682373047,True,True,True,True,False
p02398,Description_Simple,0.9,0.9,0.9,0.9,True,0.6366523504257202,0.2633476495742798,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.4863094985485077,0.5136905014514923,False,True,False,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.48471033573150635,0.4152896642684937,False,True,False,False,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.569983720779419,0.43001627922058105,True,True,True,True,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.2867049276828766,0.6132950723171234,False,True,False,False,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.5013009905815125,0.49869900941848755,True,True,True,True,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.738162636756897,0.261837363243103,True,True,True,True,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.7322898507118225,0.2677101492881775,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.632986307144165,0.36701369285583496,True,True,True,True,False
