Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.4034976065158844,0.5965023934841156,False,True,False,False,False
p03493,Description_Simple,0.4,0.4,0.4,0.4,False,0.5771639347076416,0.17716393470764158,False,False,True,False,False
p02773,Description_Simple,0.7,0.7,0.7,0.7,True,0.634519636631012,0.06548036336898799,True,True,True,True,False
p02921,Description_Simple,0.0,0.0,0.0,0.0,False,0.2653764486312866,0.2653764486312866,True,False,False,False,True
p02910,Description_Simple,0.1,0.1,0.1,0.1,False,0.45562174916267395,0.355621749162674,True,False,False,False,True
p02577,Description_Simple,0.2,0.2,0.2,0.2,False,0.4937116205692291,0.2937116205692291,True,False,False,False,True
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.1871999353170395,0.8128000646829605,False,True,False,False,False
p03035,Description_Simple,0.2,0.2,0.2,0.2,False,0.14939965307712555,0.05060034692287446,True,False,False,False,True
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.37258216738700867,0.37258216738700867,True,False,False,False,True
p02917,Description_Simple,1.0,1.0,1.0,1.0,True,0.5713201761245728,0.42867982387542725,True,True,True,True,False
p03469,Description_Simple,0.0,0.0,0.0,0.0,False,0.2769843637943268,0.2769843637943268,True,False,False,False,True
p03456,Description_Simple,0.8,0.8,0.8,0.8,True,0.5383223295211792,0.26167767047882085,True,True,True,True,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.5056596398353577,0.4056596398353577,False,False,True,False,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.5784165859222412,0.3215834140777588,True,True,True,True,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.4764232039451599,0.5235767960548401,False,True,False,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.3080581724643707,0.6919418275356293,False,True,False,False,False
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.471551775932312,0.12844822406768797,False,True,False,False,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.730679988861084,0.06932001113891606,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.27810630202293396,0.721893697977066,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4289935231208801,0.22899352312088012,True,False,False,False,True
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.6283173561096191,0.37168264389038086,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.6046968698501587,0.3953031301498413,True,True,True,True,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.4949173033237457,0.5050826966762543,False,True,False,False,False
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.5092845559120178,0.3092845559120178,False,False,True,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.5442655682563782,0.4557344317436218,True,True,True,True,False
p03239,Description_Simple,0.9,0.9,0.9,0.9,True,0.3130917549133301,0.5869082450866699,False,True,False,False,False
p02911,Description_Simple,1.0,1.0,1.0,1.0,True,0.37667837738990784,0.6233216226100922,False,True,False,False,False
p02582,Description_Simple,0.4,0.4,0.4,0.4,False,0.6703943014144897,0.2703943014144897,False,False,True,False,False
p02547,Description_Simple,0.4,0.4,0.4,0.4,False,0.5316084623336792,0.13160846233367918,False,False,True,False,False
p04012,Description_Simple,0.2,0.2,0.2,0.2,False,0.6327568888664246,0.43275688886642455,False,False,True,False,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.4440944790840149,0.5559055209159851,False,True,False,False,False
p02772,Description_Simple,1.0,1.0,1.0,1.0,True,0.5355444550514221,0.4644555449485779,True,True,True,True,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.6143409013748169,0.6143409013748169,False,False,True,False,False
p03435,Description_Simple,0.2,0.2,0.2,0.2,False,0.42572903633117676,0.22572903633117675,True,False,False,False,True
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.39069005846977234,0.6093099415302277,False,True,False,False,False
