Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02987,Description_Fewshot,0.4,0.4,0.4,False,0.5116778612136841,0.11167786121368406,False,False,True,False,False
p02987,Description_Reason,0.0,0.1,0.05,False,0.46216073632240295,0.41216073632240297,True,False,False,False,True
p02987,Description_Simple,0.4,0.4,0.4,False,0.5408779382705688,0.14087793827056883,False,False,True,False,False
p03000,Description_Fewshot,0.0,0.7,0.35,False,0.4537404477596283,0.10374044775962832,True,False,False,False,True
p03000,Description_Reason,0.1,0.0,0.05,False,0.3543612062931061,0.3043612062931061,True,False,False,False,True
p03000,Description_Simple,0.7,0.4,0.55,True,0.5696840882301331,0.019684088230133012,True,True,True,True,False
p03041,Description_Fewshot,0.4,0.4,0.4,False,0.5111044645309448,0.1111044645309448,False,False,True,False,False
p03041,Description_Reason,0.4,0.0,0.2,False,0.38910824060440063,0.18910824060440062,True,False,False,False,True
p03041,Description_Simple,0.1,0.1,0.1,False,0.4010760486125946,0.3010760486125946,True,False,False,False,True
p03835,Description_Fewshot,0.7,0.9,0.8,True,0.30457910895347595,0.4954208910465241,False,True,False,False,False
p03835,Description_Reason,1.0,0.0,0.5,True,0.009623033925890923,0.4903769660741091,False,True,False,False,False
p03835,Description_Simple,0.9,0.1,0.5,True,0.45304644107818604,0.046953558921813965,False,True,False,False,False
p02417,Description_Fewshot,0.0,1.0,0.5,True,0.6810942888259888,0.18109428882598877,True,True,True,True,False
p02417,Description_Reason,0.1,0.9,0.5,True,0.6853184103965759,0.18531841039657593,True,True,True,True,False
p02417,Description_Simple,1.0,1.0,1.0,True,0.6688331961631775,0.3311668038368225,True,True,True,True,False
p02410,Description_Fewshot,0.0,0.0,0.0,False,0.6000537276268005,0.6000537276268005,False,False,True,False,False
p02410,Description_Reason,0.9,0.0,0.45,False,0.4535563886165619,0.0035563886165618785,True,False,False,False,True
p02410,Description_Simple,0.0,0.0,0.0,False,0.4795154929161072,0.4795154929161072,True,False,False,False,True
p02767,Description_Fewshot,0.0,0.0,0.0,False,0.3256237208843231,0.3256237208843231,True,False,False,False,True
p02767,Description_Reason,0.0,0.0,0.0,False,0.11624562740325928,0.11624562740325928,True,False,False,False,True
p02767,Description_Simple,0.0,1.0,0.5,True,0.4079338312149048,0.09206616878509521,False,True,False,False,False
p02785,Description_Fewshot,0.0,0.9,0.45,False,0.07980385422706604,0.37019614577293397,True,False,False,False,True
p02785,Description_Reason,1.0,0.0,0.5,True,0.36167773604393005,0.13832226395606995,False,True,False,False,False
p02785,Description_Simple,0.0,0.0,0.0,False,0.3142825961112976,0.3142825961112976,True,False,False,False,True
p03109,Description_Fewshot,0.0,0.0,0.0,False,0.42920219898223877,0.42920219898223877,True,False,False,False,True
p03109,Description_Reason,0.0,0.0,0.0,False,0.40671974420547485,0.40671974420547485,True,False,False,False,True
p03109,Description_Simple,0.0,0.0,0.0,False,0.4374500513076782,0.4374500513076782,True,False,False,False,True
p03282,Description_Fewshot,0.0,0.0,0.0,False,0.24220570921897888,0.24220570921897888,True,False,False,False,True
