Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00011,Description_Simple,0.9,0.9,0.9,0.9,True,0.3007297217845917,0.5992702782154083,False,True,False,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.6664583683013916,0.3335416316986084,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.6081647276878357,0.3918352723121643,True,True,True,True,False
p00006,Description_Simple,1.0,1.0,1.0,1.0,True,0.5023690462112427,0.4976309537887573,True,True,True,True,False
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.37747085094451904,0.37747085094451904,True,False,False,False,True
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.5693246126174927,0.4306753873825073,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.7169778347015381,0.2830221652984619,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.588051438331604,0.411948561668396,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7445273399353027,0.25547266006469727,True,True,True,True,False
p02256,Description_Simple,0.4,0.4,0.4,0.4,False,0.6101420521736145,0.21014205217361448,False,False,True,False,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.4593081474304199,0.4593081474304199,True,False,False,False,True
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7197267413139343,0.2802732586860657,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6443599462509155,0.3556400537490845,True,True,True,True,False
p00001,Description_Simple,0.9,0.9,0.9,0.9,True,0.7946000695228577,0.10539993047714236,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.44156038761138916,0.45843961238861086,False,True,False,False,False
p02268,Description_Simple,0.4,0.4,0.4,0.4,False,0.40549710392951965,0.005497103929519631,True,False,False,False,True
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.5248929262161255,0.4751070737838745,True,True,True,True,False
p02404,Description_Simple,0.8,0.8,0.8,0.8,True,0.4575386643409729,0.34246133565902714,False,True,False,False,False
p02403,Description_Simple,0.7,0.7,0.7,0.7,True,0.5068385601043701,0.19316143989562984,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5219321250915527,0.47806787490844727,True,True,True,True,False
p02390,Description_Simple,0.7,0.7,0.7,0.7,True,0.450092077255249,0.24990792274475093,False,True,False,False,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.481252521276474,0.418747478723526,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5612738728523254,0.43872612714767456,True,True,True,True,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.6789242625236511,0.2210757374763489,True,True,True,True,False
p02389,Description_Simple,0.4,0.4,0.4,0.4,False,0.2026250660419464,0.1973749339580536,True,False,False,False,True
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.5158044695854187,0.4841955304145813,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.5467121601104736,0.3532878398895264,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.492410272359848,0.507589727640152,False,True,False,False,False
p02394,Description_Simple,0.2,0.2,0.2,0.2,False,0.5061607956886292,0.30616079568862914,False,False,True,False,False
p02396,Description_Simple,0.4,0.4,0.4,0.4,False,0.4528466463088989,0.052846646308898904,True,False,False,False,True
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.6410741209983826,0.35892587900161743,True,True,True,True,False
p02392,Description_Simple,0.4,0.4,0.4,0.4,False,0.5568187236785889,0.15681872367858884,False,False,True,False,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.3169298470020294,0.6830701529979706,False,True,False,False,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.341041624546051,0.658958375453949,False,True,False,False,False
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.33183738589286804,0.668162614107132,False,True,False,False,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.6168142557144165,0.3831857442855835,True,True,True,True,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5931895971298218,0.4068104028701782,True,True,True,True,False
p02416,Description_Simple,0.2,0.2,0.2,0.2,False,0.44063466787338257,0.24063466787338256,True,False,False,False,True
p02419,Description_Simple,0.9,0.9,0.9,0.9,True,0.5884914994239807,0.3115085005760193,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.5796461701393127,0.3203538298606873,True,True,True,True,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6876340508460999,0.31236594915390015,True,True,True,True,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5294961929321289,0.4705038070678711,True,True,True,True,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.48642802238464355,0.5135719776153564,False,True,False,False,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.5574904084205627,0.44250959157943726,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.5555881261825562,0.44441187381744385,True,True,True,True,False
p02405,Description_Simple,0.9,0.9,0.9,0.9,True,0.48294925689697266,0.41705074310302737,False,True,False,False,False
p02414,Description_Simple,1.0,1.0,1.0,1.0,True,0.6152729988098145,0.38472700119018555,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.6239058375358582,0.37609416246414185,True,True,True,True,False
p02421,Description_Simple,0.7,0.7,0.7,0.7,True,0.4620666205883026,0.23793337941169734,False,True,False,False,False
p02552,Description_Simple,0.1,0.1,0.1,0.1,False,0.20719459652900696,0.10719459652900695,True,False,False,False,True
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.12990440428256989,0.8700955957174301,False,True,False,False,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.32795071601867676,0.6720492839813232,False,True,False,False,False
p02553,Description_Simple,0.7,0.7,0.7,0.7,True,0.5427772998809814,0.1572227001190185,True,True,True,True,False
p02627,Description_Simple,0.0,0.0,0.0,0.0,False,0.1444491446018219,0.1444491446018219,True,False,False,False,True
p02582,Description_Simple,0.7,0.7,0.7,0.7,True,0.44032663106918335,0.2596733689308166,False,True,False,False,False
p02613,Description_Simple,0.9,0.9,0.9,0.9,True,0.4548462927341461,0.4451537072658539,False,True,False,False,False
p02595,Description_Simple,0.0,0.0,0.0,0.0,False,0.3985484838485718,0.3985484838485718,True,False,False,False,True
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.38892072439193726,0.6110792756080627,False,True,False,False,False
p02622,Description_Simple,0.9,0.9,0.9,0.9,True,0.2815500497817993,0.6184499502182007,False,True,False,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.42492982745170593,0.5750701725482941,False,True,False,False,False
p02612,Description_Simple,0.7,0.7,0.7,0.7,True,0.32828953862190247,0.3717104613780975,False,True,False,False,False
p02578,Description_Simple,1.0,1.0,1.0,1.0,True,0.2757900059223175,0.7242099940776825,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.2772955894470215,0.7227044105529785,False,True,False,False,False
p02621,Description_Simple,0.4,0.4,0.4,0.4,False,0.2819784879684448,0.1180215120315552,True,False,False,False,True
p02628,Description_Simple,1.0,1.0,1.0,1.0,True,0.23125045001506805,0.768749549984932,False,True,False,False,False
p02640,Description_Simple,0.4,0.4,0.4,0.4,False,0.2731073200702667,0.1268926799297333,True,False,False,False,True
p02629,Description_Simple,1.0,1.0,1.0,1.0,True,0.2029685378074646,0.7970314621925354,False,True,False,False,False
p02688,Description_Simple,1.0,1.0,1.0,1.0,True,0.10379146039485931,0.8962085396051407,False,True,False,False,False
p02639,Description_Simple,0.8,0.8,0.8,0.8,True,0.2763233184814453,0.5236766815185547,False,True,False,False,False
p02694,Description_Simple,0.1,0.1,0.1,0.1,False,0.25020337104797363,0.15020337104797363,True,False,False,False,True
p02687,Description_Simple,0.9,0.9,0.9,0.9,True,0.2625744640827179,0.6374255359172821,False,True,False,False,False
p02693,Description_Simple,1.0,1.0,1.0,1.0,True,0.25616779923439026,0.7438322007656097,False,True,False,False,False
p02675,Description_Simple,0.7,0.7,0.7,0.7,True,0.33453401923179626,0.3654659807682037,False,True,False,False,False
p02659,Description_Simple,0.8,0.8,0.8,0.8,True,0.33735862374305725,0.4626413762569428,False,True,False,False,False
p02658,Description_Simple,1.0,1.0,1.0,1.0,True,0.46058669686317444,0.5394133031368256,False,True,False,False,False
p02641,Description_Simple,1.0,1.0,1.0,1.0,True,0.4019225239753723,0.5980774760246277,False,True,False,False,False
p02657,Description_Simple,0.8,0.8,0.8,0.8,True,0.2395896315574646,0.5604103684425354,False,True,False,False,False
p02681,Description_Simple,1.0,1.0,1.0,1.0,True,0.43137913942337036,0.5686208605766296,False,True,False,False,False
p02676,Description_Simple,0.9,0.9,0.9,0.9,True,0.26985323429107666,0.6301467657089234,False,True,False,False,False
p02682,Description_Simple,0.2,0.2,0.2,0.2,False,0.3021952211856842,0.10219522118568419,True,False,False,False,True
p02723,Description_Simple,1.0,1.0,1.0,1.0,True,0.4554046094417572,0.5445953905582428,False,True,False,False,False
p02699,Description_Simple,1.0,1.0,1.0,1.0,True,0.34615540504455566,0.6538445949554443,False,True,False,False,False
p02700,Description_Simple,0.6,0.6,0.6,0.6,True,0.2580171823501587,0.3419828176498413,False,True,False,False,False
p02730,Description_Simple,0.4,0.4,0.4,0.4,False,0.5388087630271912,0.13880876302719114,False,False,True,False,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.37852588295936584,0.6214741170406342,False,True,False,False,False
p02725,Description_Simple,1.0,1.0,1.0,1.0,True,0.09357849508523941,0.9064215049147606,False,True,False,False,False
p02711,Description_Simple,1.0,1.0,1.0,1.0,True,0.4956898093223572,0.5043101906776428,False,True,False,False,False
p02718,Description_Simple,1.0,1.0,1.0,1.0,True,0.2867219150066376,0.7132780849933624,False,True,False,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.35407400131225586,0.35407400131225586,True,False,False,False,True
p02707,Description_Simple,0.8,0.8,0.8,0.8,True,0.11661643534898758,0.6833835646510125,False,True,False,False,False
p02724,Description_Simple,0.2,0.2,0.2,0.2,False,0.1516106277704239,0.04838937222957612,True,False,False,False,True
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.2694765329360962,0.2694765329360962,True,False,False,False,True
p02712,Description_Simple,1.0,1.0,1.0,1.0,True,0.39126044511795044,0.6087395548820496,False,True,False,False,False
p02706,Description_Simple,0.8,0.8,0.8,0.8,True,0.22449734807014465,0.5755026519298554,False,True,False,False,False
p02701,Description_Simple,1.0,1.0,1.0,1.0,True,0.3244016468524933,0.6755983531475067,False,True,False,False,False
p02713,Description_Simple,1.0,1.0,1.0,1.0,True,0.5787765979766846,0.42122340202331543,True,True,True,True,False
p02773,Description_Simple,1.0,1.0,1.0,1.0,True,0.29218366742134094,0.7078163325786591,False,True,False,False,False
p02766,Description_Simple,1.0,1.0,1.0,1.0,True,0.46118518710136414,0.5388148128986359,False,True,False,False,False
p02785,Description_Simple,1.0,1.0,1.0,1.0,True,0.20345987379550934,0.7965401262044907,False,True,False,False,False
p02777,Description_Simple,1.0,1.0,1.0,1.0,True,0.22495107352733612,0.7750489264726639,False,True,False,False,False
p02772,Description_Simple,0.0,0.0,0.0,0.0,False,0.6341849565505981,0.6341849565505981,False,False,True,False,False
p02753,Description_Simple,1.0,1.0,1.0,1.0,True,0.25869518518447876,0.7413048148155212,False,True,False,False,False
p02783,Description_Simple,1.0,1.0,1.0,1.0,True,0.1990954428911209,0.8009045571088791,False,True,False,False,False
p02754,Description_Simple,0.1,0.1,0.1,0.1,False,0.1722707897424698,0.07227078974246978,True,False,False,False,True
p02784,Description_Simple,0.1,0.1,0.1,0.1,False,0.201465904712677,0.101465904712677,True,False,False,False,True
p02778,Description_Simple,1.0,1.0,1.0,1.0,True,0.37401238083839417,0.6259876191616058,False,True,False,False,False
p02767,Description_Simple,0.8,0.8,0.8,0.8,True,0.39036738872528076,0.4096326112747193,False,True,False,False,False
p02779,Description_Simple,1.0,1.0,1.0,1.0,True,0.4545450806617737,0.5454549193382263,False,True,False,False,False
p02759,Description_Simple,1.0,1.0,1.0,1.0,True,0.23622888326644897,0.763771116733551,False,True,False,False,False
p02786,Description_Simple,0.8,0.8,0.8,0.8,True,0.26379451155662537,0.5362054884433747,False,True,False,False,False
p02755,Description_Simple,0.9,0.9,0.9,0.9,True,0.31249621510505676,0.5875037848949433,False,True,False,False,False
p02771,Description_Simple,1.0,1.0,1.0,1.0,True,0.41876161098480225,0.5812383890151978,False,True,False,False,False
p02801,Description_Simple,1.0,1.0,1.0,1.0,True,0.37050989270210266,0.6294901072978973,False,True,False,False,False
p02791,Description_Simple,1.0,1.0,1.0,1.0,True,0.33355051279067993,0.6664494872093201,False,True,False,False,False
p02790,Description_Simple,0.0,0.0,0.0,0.0,False,0.3250572085380554,0.3250572085380554,True,False,False,False,True
p02818,Description_Simple,0.4,0.4,0.4,0.4,False,0.18174099922180176,0.21825900077819826,True,False,False,False,True
p02831,Description_Simple,1.0,1.0,1.0,1.0,True,0.2715837359428406,0.7284162640571594,False,True,False,False,False
p02819,Description_Simple,0.9,0.9,0.9,0.9,True,0.5210340023040771,0.3789659976959229,True,True,True,True,False
p02832,Description_Simple,0.0,0.0,0.0,0.0,False,0.30750641226768494,0.30750641226768494,True,False,False,False,True
p02802,Description_Simple,0.4,0.4,0.4,0.4,False,0.4696165919303894,0.06961659193038938,True,False,False,False,True
p02836,Description_Simple,1.0,1.0,1.0,1.0,True,0.5428076386451721,0.4571923613548279,True,True,True,True,False
p02812,Description_Simple,0.7,0.7,0.7,0.7,True,0.45937398076057434,0.24062601923942561,False,True,False,False,False
p02830,Description_Simple,0.0,0.0,0.0,0.0,False,0.2641761898994446,0.2641761898994446,True,False,False,False,True
p02847,Description_Simple,0.0,0.0,0.0,0.0,False,0.4046804904937744,0.4046804904937744,True,False,False,False,True
p02829,Description_Simple,0.9,0.9,0.9,0.9,True,0.40018269419670105,0.499817305803299,False,True,False,False,False
p02835,Description_Simple,0.9,0.9,0.9,0.9,True,0.47424864768981934,0.4257513523101807,False,True,False,False,False
p02848,Description_Simple,1.0,1.0,1.0,1.0,True,0.34776756167411804,0.652232438325882,False,True,False,False,False
p02860,Description_Simple,1.0,1.0,1.0,1.0,True,0.3428482115268707,0.6571517884731293,False,True,False,False,False
p02899,Description_Simple,0.0,0.0,0.0,0.0,False,0.1923079639673233,0.1923079639673233,True,False,False,False,True
p02910,Description_Simple,1.0,1.0,1.0,1.0,True,0.3724081814289093,0.6275918185710907,False,True,False,False,False
p02886,Description_Simple,1.0,1.0,1.0,1.0,True,0.22109131515026093,0.7789086848497391,False,True,False,False,False
p02917,Description_Simple,0.1,0.1,0.1,0.1,False,0.36755722761154175,0.26755722761154177,True,False,False,False,True
p02911,Description_Simple,0.2,0.2,0.2,0.2,False,0.32444608211517334,0.12444608211517333,True,False,False,False,True
p02880,Description_Simple,1.0,1.0,1.0,1.0,True,0.5385576486587524,0.46144235134124756,True,True,True,True,False
p02916,Description_Simple,0.1,0.1,0.1,0.1,False,0.20919427275657654,0.10919427275657653,True,False,False,False,True
p02923,Description_Simple,0.2,0.2,0.2,0.2,False,0.27666741609573364,0.07666741609573363,True,False,False,False,True
p02909,Description_Simple,1.0,1.0,1.0,1.0,True,0.5533561110496521,0.4466438889503479,True,True,True,True,False
p02922,Description_Simple,1.0,1.0,1.0,1.0,True,0.22446636855602264,0.7755336314439774,False,True,False,False,False
p02898,Description_Simple,0.0,0.0,0.0,0.0,False,0.1691930890083313,0.1691930890083313,True,False,False,False,True
p02879,Description_Simple,1.0,1.0,1.0,1.0,True,0.4897572100162506,0.5102427899837494,False,True,False,False,False
p02887,Description_Simple,1.0,1.0,1.0,1.0,True,0.20866332948207855,0.7913366705179214,False,True,False,False,False
p02881,Description_Simple,0.0,0.0,0.0,0.0,False,0.1839131861925125,0.1839131861925125,True,False,False,False,True
p02921,Description_Simple,1.0,1.0,1.0,1.0,True,0.18393003940582275,0.8160699605941772,False,True,False,False,False
p02897,Description_Simple,0.9,0.9,0.9,0.9,True,0.3468778729438782,0.5531221270561218,False,True,False,False,False
p02935,Description_Simple,0.9,0.9,0.9,0.9,True,0.1860141158103943,0.7139858841896057,False,True,False,False,False
p02934,Description_Simple,0.4,0.4,0.4,0.4,False,0.1988704353570938,0.2011295646429062,True,False,False,False,True
p02970,Description_Simple,1.0,1.0,1.0,1.0,True,0.12930968403816223,0.8706903159618378,False,True,False,False,False
p02953,Description_Simple,0.0,0.0,0.0,0.0,False,0.27021515369415283,0.27021515369415283,True,False,False,False,True
p02947,Description_Simple,1.0,1.0,1.0,1.0,True,0.4873386323451996,0.5126613676548004,False,True,False,False,False
p02957,Description_Simple,1.0,1.0,1.0,1.0,True,0.24355265498161316,0.7564473450183868,False,True,False,False,False
p02982,Description_Simple,0.0,0.0,0.0,0.0,False,0.21341396868228912,0.21341396868228912,True,False,False,False,True
p02946,Description_Simple,0.4,0.4,0.4,0.4,False,0.16750921308994293,0.2324907869100571,True,False,False,False,True
p02952,Description_Simple,0.0,0.0,0.0,0.0,False,0.24043594300746918,0.24043594300746918,True,False,False,False,True
p02971,Description_Simple,0.0,0.0,0.0,0.0,False,0.19802355766296387,0.19802355766296387,True,False,False,False,True
p02958,Description_Simple,1.0,1.0,1.0,1.0,True,0.47455328702926636,0.5254467129707336,False,True,False,False,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.29929813742637634,0.7007018625736237,False,True,False,False,False
p02945,Description_Simple,1.0,1.0,1.0,1.0,True,0.4810531735420227,0.5189468264579773,False,True,False,False,False
p02951,Description_Simple,0.8,0.8,0.8,0.8,True,0.26506370306015015,0.5349362969398499,False,True,False,False,False
p02983,Description_Simple,0.0,0.0,0.0,0.0,False,0.16715864837169647,0.16715864837169647,True,False,False,False,True
p02959,Description_Simple,0.0,0.0,0.0,0.0,False,0.09729764610528946,0.09729764610528946,True,False,False,False,True
p02987,Description_Simple,0.9,0.9,0.9,0.9,True,0.4349728226661682,0.4650271773338318,False,True,False,False,False
p02988,Description_Simple,0.0,0.0,0.0,0.0,False,0.2653626799583435,0.2653626799583435,True,False,False,False,True
p02993,Description_Simple,0.5,0.5,0.5,0.5,True,0.44740915298461914,0.05259084701538086,False,True,False,False,False
p03037,Description_Simple,0.8,0.8,0.8,0.8,True,0.2324560433626175,0.5675439566373826,False,True,False,False,False
p03011,Description_Simple,1.0,1.0,1.0,1.0,True,0.21461093425750732,0.7853890657424927,False,True,False,False,False
p02995,Description_Simple,1.0,1.0,1.0,1.0,True,0.2865535616874695,0.7134464383125305,False,True,False,False,False
p03059,Description_Simple,0.4,0.4,0.4,0.4,False,0.0812431052327156,0.3187568947672844,True,False,False,False,True
p02994,Description_Simple,1.0,1.0,1.0,1.0,True,0.1441155970096588,0.8558844029903412,False,True,False,False,False
p03001,Description_Simple,0.0,0.0,0.0,0.0,False,0.17127659916877747,0.17127659916877747,True,False,False,False,True
p03041,Description_Simple,0.0,0.0,0.0,0.0,False,0.25223851203918457,0.25223851203918457,True,False,False,False,True
p03012,Description_Simple,1.0,1.0,1.0,1.0,True,0.43874505162239075,0.5612549483776093,False,True,False,False,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.26739707589149475,0.3326029241085052,False,True,False,False,False
p03000,Description_Simple,0.1,0.1,0.1,0.1,False,0.26007765531539917,0.16007765531539916,True,False,False,False,True
p03042,Description_Simple,0.0,0.0,0.0,0.0,False,0.14374025166034698,0.14374025166034698,True,False,False,False,True
p03013,Description_Simple,0.2,0.2,0.2,0.2,False,0.12564927339553833,0.07435072660446168,True,False,False,False,True
p02989,Description_Simple,0.0,0.0,0.0,0.0,False,0.19213691353797913,0.19213691353797913,True,False,False,False,True
p03071,Description_Simple,0.0,0.0,0.0,0.0,False,0.23014815151691437,0.23014815151691437,True,False,False,False,True
p03060,Description_Simple,0.2,0.2,0.2,0.2,False,0.2565055787563324,0.056505578756332386,True,False,False,False,True
p03076,Description_Simple,0.2,0.2,0.2,0.2,False,0.1398182511329651,0.06018174886703492,True,False,False,False,True
p03072,Description_Simple,0.0,0.0,0.0,0.0,False,0.1518082618713379,0.1518082618713379,True,False,False,False,True
p03086,Description_Simple,0.0,0.0,0.0,0.0,False,0.1646811068058014,0.1646811068058014,True,False,False,False,True
p03073,Description_Simple,0.9,0.9,0.9,0.9,True,0.30212798714637756,0.5978720128536225,False,True,False,False,False
p03136,Description_Simple,1.0,1.0,1.0,1.0,True,0.23980599641799927,0.7601940035820007,False,True,False,False,False
p03087,Description_Simple,1.0,1.0,1.0,1.0,True,0.28948789834976196,0.710512101650238,False,True,False,False,False
p03102,Description_Simple,1.0,1.0,1.0,1.0,True,0.3061894476413727,0.6938105523586273,False,True,False,False,False
p03126,Description_Simple,0.0,0.0,0.0,0.0,False,0.26665589213371277,0.26665589213371277,True,False,False,False,True
p03107,Description_Simple,1.0,1.0,1.0,1.0,True,0.09570573270320892,0.9042942672967911,False,True,False,False,False
p03146,Description_Simple,0.2,0.2,0.2,0.2,False,0.369341641664505,0.169341641664505,True,False,False,False,True
p03075,Description_Simple,0.9,0.9,0.9,0.9,True,0.13012923300266266,0.7698707669973374,False,True,False,False,False
p03109,Description_Simple,0.1,0.1,0.1,0.1,False,0.4677222967147827,0.36772229671478274,True,False,False,False,True
p03106,Description_Simple,1.0,1.0,1.0,1.0,True,0.4045063257217407,0.5954936742782593,False,True,False,False,False
p03147,Description_Simple,0.2,0.2,0.2,0.2,False,0.27493658661842346,0.07493658661842345,True,False,False,False,True
p03239,Description_Simple,0.4,0.4,0.4,0.4,False,0.2148974984884262,0.1851025015115738,True,False,False,False,True
p03282,Description_Simple,0.0,0.0,0.0,0.0,False,0.2852564752101898,0.2852564752101898,True,False,False,False,True
p03243,Description_Simple,0.8,0.8,0.8,0.8,True,0.2739623188972473,0.5260376811027527,False,True,False,False,False
p03308,Description_Simple,0.9,0.9,0.9,0.9,True,0.507135808467865,0.39286419153213503,True,True,True,True,False
