Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03086,Description_Fewshot,0.0,0.0,0.0,False,0.6272862553596497,0.6272862553596497,False,False,True,False,False
p03086,Description_Reason,1.0,0.0,0.5,True,0.09405162185430527,0.40594837814569473,False,True,False,False,False
p03086,Description_Simple,0.0,0.9,0.45,False,0.628393828868866,0.17839382886886596,False,False,True,False,False
p03325,Description_Fewshot,0.0,0.4,0.2,False,0.39868566393852234,0.19868566393852233,True,False,False,False,True
p03325,Description_Reason,0.4,0.4,0.4,False,0.35550689697265625,0.04449310302734377,True,False,False,False,True
p03325,Description_Simple,0.4,0.4,0.4,False,0.3290018141269684,0.07099818587303164,True,False,False,False,True
p03493,Description_Fewshot,0.4,1.0,0.7,True,0.5383107662200928,0.16168923377990718,True,True,True,True,False
p03493,Description_Reason,0.9,0.0,0.45,False,0.38863903284072876,0.06136096715927125,True,False,False,False,True
p03493,Description_Simple,0.0,1.0,0.5,True,0.5095250606536865,0.009525060653686523,True,True,True,True,False
p02755,Description_Fewshot,0.1,0.0,0.05,False,0.5048501491546631,0.4548501491546631,False,False,True,False,False
p02755,Description_Reason,0.0,0.0,0.0,False,0.45761772990226746,0.45761772990226746,True,False,False,False,True
p02755,Description_Simple,1.0,0.1,0.55,True,0.5610537528991699,0.011053752899169877,True,True,True,True,False
p02394,Description_Fewshot,0.0,0.0,0.0,False,0.2788780629634857,0.2788780629634857,True,False,False,False,True
p02394,Description_Reason,0.0,0.0,0.0,False,0.26926475763320923,0.26926475763320923,True,False,False,False,True
p02394,Description_Simple,0.0,0.0,0.0,False,0.27269211411476135,0.27269211411476135,True,False,False,False,True
p02945,Description_Fewshot,0.4,0.1,0.25,False,0.5691229701042175,0.31912297010421753,False,False,True,False,False
p02945,Description_Reason,1.0,1.0,1.0,True,0.39484700560569763,0.6051529943943024,False,True,False,False,False
p02945,Description_Simple,0.0,1.0,0.5,True,0.45566806197166443,0.04433193802833557,False,True,False,False,False
p03469,Description_Fewshot,0.0,0.0,0.0,False,0.5608187913894653,0.5608187913894653,False,False,True,False,False
p03469,Description_Reason,0.1,0.1,0.1,False,0.2663757801055908,0.16637578010559081,True,False,False,False,True
p03469,Description_Simple,0.0,0.1,0.05,False,0.6210828423500061,0.5710828423500061,False,False,True,False,False
p02934,Description_Fewshot,0.4,0.0,0.2,False,0.3295602798461914,0.1295602798461914,True,False,False,False,True
p02934,Description_Reason,1.0,0.0,0.5,True,0.2157372236251831,0.2842627763748169,False,True,False,False,False
p02934,Description_Simple,0.1,0.3,0.2,False,0.27846017479896545,0.07846017479896544,True,False,False,False,True
p03448,Description_Fewshot,0.3,0.3,0.3,False,0.6880974173545837,0.38809741735458375,False,False,True,False,False
p03448,Description_Reason,0.9,0.9,0.9,True,0.6718389987945557,0.22816100120544436,True,True,True,True,False
p03448,Description_Simple,0.4,0.3,0.35,False,0.7031623125076294,0.3531623125076294,False,False,True,False,False
p02420,Description_Fewshot,1.0,1.0,1.0,True,0.42229342460632324,0.5777065753936768,False,True,False,False,False
p02420,Description_Reason,0.9,1.0,0.95,True,0.3803768754005432,0.5696231245994567,False,True,False,False,False
p02420,Description_Simple,1.0,0.9,0.95,True,0.4206431806087494,0.5293568193912506,False,True,False,False,False
p02268,Description_Fewshot,0.0,0.0,0.0,False,0.4594568908214569,0.4594568908214569,True,False,False,False,True
p02268,Description_Reason,0.1,0.1,0.1,False,0.32718613743782043,0.22718613743782043,True,False,False,False,True
p02268,Description_Simple,0.1,0.4,0.25,False,0.4552578926086426,0.20525789260864258,True,False,False,False,True
p03324,Description_Fewshot,0.0,0.0,0.0,False,0.43719589710235596,0.43719589710235596,True,False,False,False,True
p03324,Description_Reason,0.0,0.0,0.0,False,0.3855573534965515,0.3855573534965515,True,False,False,False,True
p03324,Description_Simple,0.0,0.3,0.15,False,0.38646039366722107,0.23646039366722107,True,False,False,False,True
p02390,Description_Fewshot,0.4,0.0,0.2,False,0.35246747732162476,0.15246747732162474,True,False,False,False,True
p02390,Description_Reason,0.4,0.0,0.2,False,0.3618576228618622,0.16185762286186217,True,False,False,False,True
p02390,Description_Simple,0.0,0.0,0.0,False,0.436490923166275,0.436490923166275,True,False,False,False,True
p02675,Description_Fewshot,0.0,0.0,0.0,False,0.46893414855003357,0.46893414855003357,True,False,False,False,True
p02675,Description_Reason,0.0,0.0,0.0,False,0.37484535574913025,0.37484535574913025,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,False,0.44788071513175964,0.44788071513175964,True,False,False,False,True
p02730,Description_Fewshot,0.0,0.0,0.0,False,0.4249505400657654,0.4249505400657654,True,False,False,False,True
p02730,Description_Reason,0.0,0.0,0.0,False,0.33888134360313416,0.33888134360313416,True,False,False,False,True
p02730,Description_Simple,0.1,0.1,0.1,False,0.4426673650741577,0.34266736507415774,True,False,False,False,True
p02778,Description_Fewshot,0.0,0.0,0.0,False,0.43264955282211304,0.43264955282211304,True,False,False,False,True
p02778,Description_Reason,0.4,0.0,0.2,False,0.46780550479888916,0.26780550479888915,True,False,False,False,True
p02778,Description_Simple,0.0,0.9,0.45,False,0.5475264191627502,0.09752641916275023,False,False,True,False,False
p02578,Description_Fewshot,0.0,0.4,0.2,False,0.33325278759002686,0.13325278759002684,True,False,False,False,True
p02578,Description_Reason,0.9,0.1,0.5,True,0.2290278822183609,0.2709721177816391,False,True,False,False,False
p02578,Description_Simple,0.0,0.0,0.0,False,0.48942264914512634,0.48942264914512634,True,False,False,False,True
p02553,Description_Fewshot,0.1,0.4,0.25,False,0.6267521381378174,0.3767521381378174,False,False,True,False,False
p02553,Description_Reason,0.4,0.0,0.2,False,0.6163802742958069,0.4163802742958069,False,False,True,False,False
p02553,Description_Simple,0.9,0.3,0.6,True,0.6807040572166443,0.08070405721664431,True,True,True,True,False
p02993,Description_Fewshot,0.9,0.9,0.9,True,0.558704137802124,0.341295862197876,True,True,True,True,False
p02993,Description_Reason,0.3,0.4,0.35,False,0.38893434405326843,0.038934344053268455,True,False,False,False,True
p02993,Description_Simple,0.3,0.9,0.6,True,0.5322546362876892,0.06774536371231077,True,True,True,True,False
p02658,Description_Fewshot,0.4,0.9,0.65,True,0.6339417695999146,0.01605823040008547,True,True,True,True,False
p02658,Description_Reason,0.9,0.3,0.6,True,0.3565138280391693,0.24348617196083067,False,True,False,False,False
p02658,Description_Simple,0.3,0.3,0.3,False,0.7333913445472717,0.43339134454727174,False,False,True,False,False
p02622,Description_Fewshot,0.0,0.9,0.45,False,0.23154771327972412,0.2184522867202759,True,False,False,False,True
p02622,Description_Reason,0.1,0.4,0.25,False,0.2368284910917282,0.01317150890827179,True,False,False,False,True
p02622,Description_Simple,0.1,0.1,0.1,False,0.2936287522315979,0.1936287522315979,True,False,False,False,True
p02959,Description_Fewshot,0.1,0.1,0.1,False,0.19395849108695984,0.09395849108695983,True,False,False,False,True
p02959,Description_Reason,0.9,0.1,0.5,True,-0.005020524375140667,0.5050205243751407,False,True,False,False,False
p02959,Description_Simple,0.1,0.0,0.05,False,0.20976215600967407,0.15976215600967408,True,False,False,False,True
p03059,Description_Fewshot,0.0,0.1,0.05,False,0.36051225662231445,0.31051225662231446,True,False,False,False,True
p03059,Description_Reason,0.3,0.0,0.15,False,0.2808992862701416,0.1308992862701416,True,False,False,False,True
p03059,Description_Simple,0.0,0.7,0.35,False,0.36618730425834656,0.01618730425834658,True,False,False,False,True
p03471,Description_Fewshot,0.4,0.4,0.4,False,0.41925114393234253,0.019251143932342507,True,False,False,False,True
p03471,Description_Reason,0.4,0.0,0.2,False,0.3509843051433563,0.1509843051433563,True,False,False,False,True
p03471,Description_Simple,0.9,0.9,0.9,True,0.3805178999900818,0.5194821000099182,False,True,False,False,False
