Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0323,Description_Simple,0.7,0.7,0.7,0.7,True,0.68338942527771,0.016610574722289995,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.565844714641571,0.43415528535842896,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6526870131492615,0.3473129868507385,True,True,True,True,False
mbpp_0159,Description_Simple,0.9,0.9,0.9,0.9,True,0.6816650629043579,0.2183349370956421,True,True,True,True,False
mbpp_0245,Description_Simple,0.4,0.4,0.4,0.4,False,0.549383819103241,0.14938381910324094,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8107831478118896,0.18921685218811035,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7596480250358582,0.35964802503585813,False,False,True,False,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6401317119598389,0.25986828804016116,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6249951124191284,0.3750048875808716,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6175527572631836,0.3824472427368164,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.4797865152359009,0.5202134847640991,False,True,False,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7337501049041748,0.2662498950958252,True,True,True,True,False
mbpp_0838,Description_Simple,0.0,0.0,0.0,0.0,False,0.7354544997215271,0.7354544997215271,False,False,True,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5916146636009216,0.40838533639907837,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.8468597531318665,0.15314024686813354,True,True,True,True,False
mbpp_0408,Description_Simple,0.3,0.3,0.3,0.3,False,0.5615626573562622,0.2615626573562622,False,False,True,False,False
mbpp_0628,Description_Simple,0.6,0.6,0.6,0.6,True,0.599724531173706,0.0002754688262939231,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7856868505477905,0.21431314945220947,True,True,True,True,False
mbpp_0315,Description_Simple,0.1,0.1,0.1,0.1,False,0.6563966870307922,0.5563966870307923,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6619833111763,0.33801668882369995,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5905770063400269,0.40942299365997314,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6221239566802979,0.37787604331970215,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7630969285964966,0.23690307140350342,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.5734710693359375,0.4265289306640625,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.7361255288124084,0.26387447118759155,True,True,True,True,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.4921850264072418,0.39218502640724184,True,False,False,False,True
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.5437599420547485,0.3437599420547485,False,False,True,False,False
