Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.7644224762916565,0.2355775237083435,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6912904977798462,0.3087095022201538,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4324968159198761,0.5675031840801239,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5894826650619507,0.4105173349380493,True,True,True,True,False
mbpp_0776,Description_Simple,0.2,0.2,0.2,0.2,False,0.681927502155304,0.48192750215530394,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8138310313224792,0.18616896867752075,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6067376732826233,0.3932623267173767,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6123787760734558,0.3876212239265442,True,True,True,True,False
mbpp_0515,Description_Simple,0.9,0.9,0.9,0.9,True,0.6917101740837097,0.2082898259162903,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6081283092498779,0.39187169075012207,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5619257688522339,0.4380742311477661,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6477787494659424,0.3522212505340576,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5363684296607971,0.1363684296607971,False,False,True,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5688396692276001,0.4311603307723999,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7959526181221008,0.20404738187789917,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7734804749488831,0.22651952505111694,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7255367636680603,0.2744632363319397,True,True,True,True,False
mbpp_0315,Description_Simple,0.6,0.6,0.6,0.6,True,0.770952582359314,0.170952582359314,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7007632851600647,0.2992367148399353,True,True,True,True,False
mbpp_0628,Description_Simple,0.7,0.7,0.7,0.7,True,0.680118978023529,0.019881021976470903,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6329718232154846,0.3670281767845154,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6930847764015198,0.3069152235984802,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7787570357322693,0.2212429642677307,True,True,True,True,False
mbpp_0901,Description_Simple,0.0,0.0,0.0,0.0,False,0.6575322151184082,0.6575322151184082,False,False,True,False,False
mbpp_0665,Description_Simple,0.1,0.1,0.1,0.1,False,0.5064541101455688,0.40645411014556887,False,False,True,False,False
mbpp_0938,Description_Simple,0.4,0.4,0.4,0.4,False,0.6654297709465027,0.26542977094650266,False,False,True,False,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.4578522741794586,0.35785227417945864,True,False,False,False,True
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6441408395767212,0.24414083957672117,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7061304450035095,0.2938695549964905,True,True,True,True,False
mbpp_0060,Description_Simple,0.2,0.2,0.2,0.2,False,0.7019891738891602,0.5019891738891602,False,False,True,False,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.5910378098487854,0.19103780984878538,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.8353309631347656,0.16466903686523438,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7805664539337158,0.21943354606628418,True,True,True,True,False
mbpp_0550,Description_Simple,0.2,0.2,0.2,0.2,False,0.436501681804657,0.23650168180465697,True,False,False,False,True
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.5037448406219482,0.10374484062194822,False,False,True,False,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.8305808305740356,0.16941916942596436,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.6266726851463318,0.3733273148536682,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.44604459404945374,0.2539554059505462,False,True,False,False,False
mbpp_0926,Description_Simple,0.7,0.7,0.7,0.7,True,0.5701135396957397,0.1298864603042602,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7338470220565796,0.2661529779434204,True,True,True,True,False
mbpp_0850,Description_Simple,0.4,0.4,0.4,0.4,False,0.48028436303138733,0.0802843630313873,True,False,False,False,True
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.7862796187400818,0.2137203812599182,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.7151926159858704,0.28480738401412964,True,True,True,True,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.7488077282905579,0.25119227170944214,True,True,True,True,False
mbpp_0453,Description_Simple,0.2,0.2,0.2,0.2,False,0.694888174533844,0.494888174533844,False,False,True,False,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.8225256204605103,0.17747437953948975,True,True,True,True,False
mbpp_0074,Description_Simple,0.4,0.4,0.4,0.4,False,0.5148186087608337,0.11481860876083372,False,False,True,False,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.7552040219306946,0.14479597806930544,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.8431963920593262,0.15680360794067383,True,True,True,True,False
mbpp_0129,Description_Simple,0.2,0.2,0.2,0.2,False,0.6028670072555542,0.4028670072555542,False,False,True,False,False
mbpp_0113,Description_Simple,0.7,0.7,0.7,0.7,True,0.6301506161689758,0.06984938383102413,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.418693482875824,0.581306517124176,False,True,False,False,False
mbpp_0639,Description_Simple,0.4,0.4,0.4,0.4,False,0.5742982625961304,0.17429826259613035,False,False,True,False,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.6625979542732239,0.3374020457267761,True,True,True,True,False
