Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.6734308004379272,0.1265691995620728,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5308135747909546,0.4691864252090454,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5487717986106873,0.45122820138931274,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.46680405735969543,0.06680405735969541,True,False,False,False,True
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6770135760307312,0.3229864239692688,True,True,True,True,False
mbpp_0323,Description_Simple,0.8,0.8,0.8,0.8,True,0.7139225602149963,0.0860774397850037,True,True,True,True,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.4569002389907837,0.44309976100921633,False,True,False,False,False
mbpp_0159,Description_Simple,0.7,0.7,0.7,0.7,True,0.6774889230728149,0.022511076927185014,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5907959938049316,0.40920400619506836,True,True,True,True,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.711927056312561,0.188072943687439,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6602733731269836,0.33972662687301636,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5249683260917664,0.47503167390823364,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7923058271408081,0.2076941728591919,True,True,True,True,False
mbpp_0496,Description_Simple,1.0,1.0,1.0,1.0,True,0.7148208618164062,0.28517913818359375,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5014183521270752,0.4985816478729248,True,True,True,True,False
mbpp_0822,Description_Simple,0.3,0.3,0.3,0.3,False,0.6630026698112488,0.3630026698112488,False,False,True,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.678569495677948,0.321430504322052,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.5022436380386353,0.10224363803863523,False,False,True,False,False
mbpp_0209,Description_Simple,0.9,0.9,0.9,0.9,True,0.7095916271209717,0.19040837287902834,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7477298974990845,0.2522701025009155,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.7461729049682617,0.7461729049682617,False,False,True,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6868624091148376,0.31313759088516235,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7571835517883301,0.24281644821166992,True,True,True,True,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.7061519622802734,0.19384803771972658,True,True,True,True,False
mbpp_0315,Description_Simple,0.9,0.9,0.9,0.9,True,0.7327648997306824,0.16723510026931765,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7212377190589905,0.2787622809410095,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7355179786682129,0.2644820213317871,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.648164689540863,0.35183531045913696,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6587521433830261,0.3412478566169739,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6583685874938965,0.25836858749389646,False,False,True,False,False
mbpp_0834,Description_Simple,0.2,0.2,0.2,0.2,False,0.7915652990341187,0.5915652990341187,False,False,True,False,False
mbpp_0074,Description_Simple,0.8,0.8,0.8,0.8,True,0.49715033173561096,0.3028496682643891,False,True,False,False,False
mbpp_0550,Description_Simple,0.5,0.5,0.5,0.5,True,0.6707529425621033,0.17075294256210327,True,True,True,True,False
mbpp_0306,Description_Simple,0.2,0.2,0.2,0.2,False,0.7663384079933167,0.5663384079933167,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6390618681907654,0.3609381318092346,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6862764358520508,0.3137235641479492,True,True,True,True,False
