Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.4380985200405121,0.5619014799594879,False,True,False,False,False
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.6342537999153137,0.16574620008468632,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5250455737113953,0.12504557371139524,False,False,True,False,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5840252637863159,0.4159747362136841,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5670056343078613,0.43299436569213867,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.5971642732620239,0.4028357267379761,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.7886664271354675,0.21133357286453247,True,True,True,True,False
mbpp_0323,Description_Simple,0.7,0.7,0.7,0.7,True,0.6876240372657776,0.012375962734222368,True,True,True,True,False
mbpp_0004,Description_Simple,1.0,1.0,1.0,1.0,True,0.5697352886199951,0.4302647113800049,True,True,True,True,False
mbpp_0245,Description_Simple,0.2,0.2,0.2,0.2,False,0.616382896900177,0.416382896900177,False,False,True,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7112862467765808,0.2887137532234192,True,True,True,True,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.7515504360198975,0.051550436019897505,True,True,True,True,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.7596355676651001,0.04036443233489995,True,True,True,True,False
mbpp_0822,Description_Simple,0.8,0.8,0.8,0.8,True,0.7473471164703369,0.05265288352966313,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8279997110366821,0.17200028896331787,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5887891054153442,0.41121089458465576,True,True,True,True,False
mbpp_0372,Description_Simple,0.9,0.9,0.9,0.9,True,0.7591047286987305,0.14089527130126955,True,True,True,True,False
mbpp_0108,Description_Simple,0.3,0.3,0.3,0.3,False,0.5369023680686951,0.23690236806869508,False,False,True,False,False
mbpp_0123,Description_Simple,0.9,0.9,0.9,0.9,True,0.6978417038917542,0.20215829610824587,True,True,True,True,False
mbpp_0209,Description_Simple,0.8,0.8,0.8,0.8,True,0.7011228203773499,0.09887717962265019,True,True,True,True,False
mbpp_0747,Description_Simple,0.9,0.9,0.9,0.9,True,0.7517989277839661,0.14820107221603396,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5551896691322327,0.44481033086776733,True,True,True,True,False
mbpp_0776,Description_Simple,0.2,0.2,0.2,0.2,False,0.7249687910079956,0.5249687910079956,False,False,True,False,False
mbpp_0223,Description_Simple,0.6,0.6,0.6,0.6,True,0.7905024886131287,0.19050248861312868,True,True,True,True,False
mbpp_0315,Description_Simple,0.7,0.7,0.7,0.7,True,0.7658650875091553,0.06586508750915532,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7496123313903809,0.25038766860961914,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8244487643241882,0.17555123567581177,True,True,True,True,False
mbpp_0423,Description_Simple,0.4,0.4,0.4,0.4,False,0.6071414351463318,0.20714143514633176,False,False,True,False,False
mbpp_0074,Description_Simple,0.5,0.5,0.5,0.5,True,0.5396892428398132,0.03968924283981323,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.744235634803772,0.255764365196228,True,True,True,True,False
mbpp_0834,Description_Simple,0.9,0.9,0.9,0.9,True,0.8345026969909668,0.06549730300903323,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6017264127731323,0.2017264127731323,False,False,True,False,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7645270824432373,0.2354729175567627,True,True,True,True,False
mbpp_0306,Description_Simple,0.3,0.3,0.3,0.3,False,0.7032264471054077,0.4032264471054077,False,False,True,False,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7636882662773132,0.23631173372268677,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.7944926619529724,0.2055073380470276,True,True,True,True,False
mbpp_0811,Description_Simple,1.0,1.0,1.0,1.0,True,0.7484611868858337,0.25153881311416626,True,True,True,True,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.6112103462219238,0.2112103462219238,False,False,True,False,False
mbpp_0850,Description_Simple,0.4,0.4,0.4,0.4,False,0.5975479483604431,0.1975479483604431,False,False,True,False,False
mbpp_0926,Description_Simple,0.9,0.9,0.9,0.9,True,0.6400189399719238,0.2599810600280762,True,True,True,True,False
mbpp_0247,Description_Simple,0.9,0.9,0.9,0.9,True,0.8811236619949341,0.01887633800506594,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.8458489775657654,0.15415102243423462,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.8151832222938538,0.18481677770614624,True,True,True,True,False
mbpp_0453,Description_Simple,0.2,0.2,0.2,0.2,False,0.723312497138977,0.5233124971389771,False,False,True,False,False
mbpp_0854,Description_Simple,0.4,0.4,0.4,0.4,False,0.5614069700241089,0.16140697002410886,False,False,True,False,False
mbpp_0755,Description_Simple,0.6,0.6,0.6,0.6,True,0.7858291864395142,0.18582918643951418,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.7363022565841675,0.2636977434158325,True,True,True,True,False
mbpp_0060,Description_Simple,0.1,0.1,0.1,0.1,False,0.7704357504844666,0.6704357504844666,False,False,True,False,False
mbpp_0107,Description_Simple,0.2,0.2,0.2,0.2,False,0.6331087946891785,0.43310879468917846,False,False,True,False,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.8597029447555542,0.1402970552444458,True,True,True,True,False
mbpp_0149,Description_Simple,0.7,0.7,0.7,0.7,True,0.8425691723823547,0.14256917238235478,True,True,True,True,False
