Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03220,Description_Detailed,0.9,0.8,0.8500000000000001,True,0.4088754951953888,0.4411245048046113,False,True,False,False,False
p03220,Description_Fewshot,0.9,0.2,0.55,True,0.4044185280799866,0.14558147192001347,False,True,False,False,False
p03220,Description_Reason,0.2,0.2,0.2,False,0.43635421991348267,0.23635421991348265,True,False,False,False,True
p03220,Description_Simple,0.2,0.2,0.2,False,0.33290839195251465,0.13290839195251464,True,False,False,False,True
p03220,Description_Vague,0.2,0.9,0.55,True,0.17228370904922485,0.3777162909507752,False,True,False,False,False
p02403,Description_Detailed,0.2,0.2,0.2,False,0.4742264747619629,0.2742264747619629,True,False,False,False,True
p02403,Description_Fewshot,0.0,0.9,0.45,False,0.39390623569488525,0.05609376430511476,True,False,False,False,True
p02403,Description_Reason,0.9,0.2,0.55,True,0.35591620206832886,0.1940837979316712,False,True,False,False,False
p02403,Description_Simple,0.9,0.9,0.9,True,0.6256796717643738,0.27432032823562624,True,True,True,True,False
p02403,Description_Vague,0.9,0.9,0.9,True,0.2057947814464569,0.6942052185535431,False,True,False,False,False
p02418,Description_Detailed,0.9,0.9,0.9,True,0.7136911153793335,0.18630888462066653,True,True,True,True,False
p02418,Description_Fewshot,0.6,0.9,0.75,True,0.7594015002250671,0.009401500225067139,True,True,True,True,False
p02418,Description_Reason,0.9,0.9,0.9,True,0.6657959222793579,0.2342040777206421,True,True,True,True,False
p02418,Description_Simple,0.9,0.6,0.75,True,0.723551332950592,0.02644866704940796,True,True,True,True,False
p02418,Description_Vague,0.9,0.9,0.9,True,0.5234843492507935,0.37651565074920657,True,True,True,True,False
p02881,Description_Detailed,0.4,0.8,0.6000000000000001,True,0.5041208267211914,0.09587917327880868,True,True,True,True,False
p02881,Description_Fewshot,0.4,0.9,0.65,True,0.44005393981933594,0.20994606018066408,False,True,False,False,False
p02881,Description_Reason,0.2,0.5,0.35,False,0.3751358985900879,0.025135898590087913,True,False,False,False,True
p02881,Description_Simple,0.9,0.2,0.55,True,0.34654900431632996,0.2034509956836701,False,True,False,False,False
p02881,Description_Vague,0.5,0.4,0.45,False,0.32416290044784546,0.12583709955215455,True,False,False,False,True
p03035,Description_Detailed,0.9,0.4,0.65,True,0.4911184310913086,0.15888156890869143,False,True,False,False,False
p03035,Description_Fewshot,0.9,0.9,0.9,True,0.649886965751648,0.2501130342483521,True,True,True,True,False
p03035,Description_Reason,0.9,0.9,0.9,True,0.536649227142334,0.36335077285766604,True,True,True,True,False
p03035,Description_Simple,0.9,0.1,0.5,True,0.5958019495010376,0.0958019495010376,True,True,True,True,False
p03035,Description_Vague,0.1,0.9,0.5,True,0.34483802318573,0.15516197681427002,False,True,False,False,False
p03001,Description_Detailed,0.2,0.0,0.1,False,0.5406983494758606,0.4406983494758606,False,False,True,False,False
p03001,Description_Fewshot,0.2,0.9,0.55,True,0.4419219195842743,0.10807808041572575,False,True,False,False,False
p03001,Description_Reason,0.1,0.1,0.1,False,0.46414631605148315,0.3641463160514832,True,False,False,False,True
p03001,Description_Simple,0.1,0.1,0.1,False,0.44073590636253357,0.3407359063625336,True,False,False,False,True
p03001,Description_Vague,0.9,0.1,0.5,True,0.5321094393730164,0.03210943937301636,True,True,True,True,False
p03835,Description_Detailed,0.2,0.9,0.55,True,0.5069921612739563,0.043007838726043746,True,True,True,True,False
p03835,Description_Fewshot,0.6,0.1,0.35,False,0.5157150030136108,0.16571500301361086,False,False,True,False,False
p03835,Description_Reason,0.1,0.9,0.5,True,0.45016664266586304,0.04983335733413696,False,True,False,False,False
p03835,Description_Simple,0.8,0.6,0.7,True,0.46985340118408203,0.23014659881591792,False,True,False,False,False
p03835,Description_Vague,0.9,0.2,0.55,True,0.448557585477829,0.10144241452217106,False,True,False,False,False
p02420,Description_Detailed,0.9,0.9,0.9,True,0.5065616369247437,0.39343836307525637,True,True,True,True,False
p02420,Description_Fewshot,0.9,0.8,0.8500000000000001,True,0.3966897130012512,0.45331028699874887,False,True,False,False,False
p02420,Description_Reason,0.9,0.9,0.9,True,0.4100424647331238,0.48995753526687624,False,True,False,False,False
p02420,Description_Simple,0.0,0.0,0.0,False,0.444724440574646,0.444724440574646,True,False,False,False,True
p02420,Description_Vague,0.2,0.9,0.55,True,0.5313489437103271,0.018651056289672896,True,True,True,True,False
p02255,Description_Detailed,0.9,0.1,0.5,True,0.7584719657897949,0.2584719657897949,True,True,True,True,False
p02255,Description_Fewshot,0.9,0.9,0.9,True,0.6878713965415955,0.21212860345840456,True,True,True,True,False
p02255,Description_Reason,0.9,0.9,0.9,True,0.6535730957984924,0.2464269042015076,True,True,True,True,False
p02255,Description_Simple,0.9,0.9,0.9,True,0.6442784667015076,0.25572153329849245,True,True,True,True,False
p02255,Description_Vague,0.9,0.9,0.9,True,0.6445966362953186,0.2554033637046814,True,True,True,True,False
p02730,Description_Detailed,0.3,0.9,0.6,True,0.67413330078125,0.07413330078125002,True,True,True,True,False
p02730,Description_Fewshot,0.9,0.6,0.75,True,0.6105857491493225,0.1394142508506775,True,True,True,True,False
p02730,Description_Reason,0.9,0.9,0.9,True,0.5746734738349915,0.32532652616500857,True,True,True,True,False
p02730,Description_Simple,0.2,0.9,0.55,True,0.6467649936676025,0.0967649936676025,True,True,True,True,False
p02730,Description_Vague,0.2,0.2,0.2,False,0.5776389837265015,0.37763898372650145,False,False,True,False,False
p03075,Description_Detailed,0.6,0.5,0.55,True,0.564002513885498,0.014002513885498002,True,True,True,True,False
p03075,Description_Fewshot,0.9,0.6,0.75,True,0.4935600757598877,0.2564399242401123,False,True,False,False,False
p03075,Description_Reason,0.9,0.3,0.6,True,0.5564576387405396,0.04354236125946043,True,True,True,True,False
p03075,Description_Simple,0.9,0.9,0.9,True,0.5826942920684814,0.3173057079315186,True,True,True,True,False
p03075,Description_Vague,0.6,0.9,0.75,True,0.44255921244621277,0.30744078755378723,False,True,False,False,False
p03289,Description_Detailed,0.6,0.9,0.75,True,0.6077022552490234,0.14229774475097656,True,True,True,True,False
p03289,Description_Fewshot,0.9,0.6,0.75,True,0.6829094886779785,0.06709051132202148,True,True,True,True,False
p03289,Description_Reason,0.9,0.9,0.9,True,0.5856067538261414,0.31439324617385866,True,True,True,True,False
p03289,Description_Simple,0.9,0.9,0.9,True,0.5036269426345825,0.3963730573654175,True,True,True,True,False
p03289,Description_Vague,0.9,0.9,0.9,True,0.4528942108154297,0.44710578918457033,False,True,False,False,False
p02946,Description_Detailed,0.9,0.9,0.9,True,0.4805106818675995,0.41948931813240053,False,True,False,False,False
p02946,Description_Fewshot,0.9,0.8,0.8500000000000001,True,0.3182998299598694,0.5317001700401307,False,True,False,False,False
p02946,Description_Reason,0.9,0.9,0.9,True,0.35460278391838074,0.5453972160816193,False,True,False,False,False
p02946,Description_Simple,0.6,0.6,0.6,True,0.397737056016922,0.20226294398307798,False,True,False,False,False
p02946,Description_Vague,0.9,0.9,0.9,True,0.17088592052459717,0.7291140794754029,False,True,False,False,False
p02819,Description_Detailed,0.6,0.9,0.75,True,0.5033012628555298,0.24669873714447021,True,True,True,True,False
