Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.5483298301696777,0.2516701698303223,True,True,True,True,False
mbpp_0635,Description_Simple,0.8,0.8,0.8,0.8,True,0.5668627619743347,0.23313723802566533,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.37661033868789673,0.023389661312103294,True,False,False,False,True
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5763356685638428,0.4236643314361572,True,True,True,True,False
mbpp_0323,Description_Simple,0.2,0.2,0.2,0.2,False,0.637994647026062,0.437994647026062,False,False,True,False,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5877560377120972,0.41224396228790283,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6151423454284668,0.3848576545715332,True,True,True,True,False
mbpp_0159,Description_Simple,0.6,0.6,0.6,0.6,True,0.6530135869979858,0.05301358699798586,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6516332626342773,0.34836673736572266,True,True,True,True,False
mbpp_0039,Description_Simple,0.0,0.0,0.0,0.0,False,0.5028252005577087,0.5028252005577087,False,False,True,False,False
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.7229185700416565,0.17708142995834353,True,True,True,True,False
mbpp_0245,Description_Simple,0.8,0.8,0.8,0.8,True,0.6582871675491333,0.14171283245086674,True,True,True,True,False
mbpp_0822,Description_Simple,0.1,0.1,0.1,0.1,False,0.7093334794044495,0.6093334794044495,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8035293221473694,0.19647067785263062,True,True,True,True,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.780607283115387,0.01939271688461308,True,True,True,True,False
mbpp_0069,Description_Simple,0.5,0.5,0.5,0.5,True,0.7104535102844238,0.21045351028442383,True,True,True,True,False
mbpp_0123,Description_Simple,0.8,0.8,0.8,0.8,True,0.6507705450057983,0.1492294549942017,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7316951751708984,0.26830482482910156,True,True,True,True,False
mbpp_0108,Description_Simple,0.3,0.3,0.3,0.3,False,0.40808284282684326,0.10808284282684327,True,False,False,False,True
mbpp_0209,Description_Simple,0.8,0.8,0.8,0.8,True,0.6265037059783936,0.1734962940216065,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.5990116596221924,0.19901165962219236,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7964199781417847,0.20358002185821533,True,True,True,True,False
mbpp_0223,Description_Simple,0.7,0.7,0.7,0.7,True,0.7692938446998596,0.06929384469985966,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6593071222305298,0.3406928777694702,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6064421534538269,0.3935578465461731,True,True,True,True,False
mbpp_0315,Description_Simple,0.0,0.0,0.0,0.0,False,0.7357735633850098,0.7357735633850098,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7077683210372925,0.2922316789627075,True,True,True,True,False
mbpp_0838,Description_Simple,0.7,0.7,0.7,0.7,True,0.5195700526237488,0.18042994737625118,True,True,True,True,False
mbpp_0834,Description_Simple,0.1,0.1,0.1,0.1,False,0.7785669565200806,0.6785669565200806,False,False,True,False,False
mbpp_0074,Description_Simple,0.8,0.8,0.8,0.8,True,0.4866431653499603,0.3133568346500397,False,True,False,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.8309152722358704,0.16908472776412964,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.664716899394989,0.264716899394989,False,False,True,False,False
mbpp_0306,Description_Simple,0.3,0.3,0.3,0.3,False,0.6350407004356384,0.33504070043563844,False,False,True,False,False
