Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.39185744524002075,0.6081425547599792,False,True,False,False,False
p02921,Description_Simple,0.2,0.2,0.2,0.2,False,0.32010897994041443,0.12010897994041442,True,False,False,False,True
p02773,Description_Simple,0.4,0.4,0.4,0.4,False,0.5679365992546082,0.16793659925460813,False,False,True,False,False
p03493,Description_Simple,0.3,0.3,0.3,0.3,False,0.3874024748802185,0.08740247488021852,True,False,False,False,True
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.24924896657466888,0.24924896657466888,True,False,False,False,True
p03035,Description_Simple,0.2,0.2,0.2,0.2,False,0.2366565763950348,0.03665657639503478,True,False,False,False,True
p02577,Description_Simple,0.0,0.0,0.0,0.0,False,0.5446180701255798,0.5446180701255798,False,False,True,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.4687606990337372,0.5312393009662628,False,True,False,False,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.6033439636230469,0.6033439636230469,False,False,True,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.15106305480003357,0.15106305480003357,True,False,False,False,True
p03469,Description_Simple,0.1,0.1,0.1,0.1,False,0.282461017370224,0.182461017370224,True,False,False,False,True
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.5403031706809998,0.35969682931900027,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.5113348364830017,0.4886651635169983,True,True,True,True,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.5543608665466309,0.44563913345336914,True,True,True,True,False
p02711,Description_Simple,0.0,0.0,0.0,0.0,False,0.2894429564476013,0.2894429564476013,True,False,False,False,True
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.25883620977401733,0.7411637902259827,False,True,False,False,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.16028738021850586,0.8397126197814941,False,True,False,False,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.6120191812515259,0.28798081874847414,True,True,True,True,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.25130876898765564,0.05130876898765563,True,False,False,False,True
p02718,Description_Simple,0.8,0.8,0.8,0.8,True,0.4343265891075134,0.3656734108924866,False,True,False,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.585451602935791,0.414548397064209,True,True,True,True,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.5256264805793762,0.4743735194206238,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.44271349906921387,0.5572865009307861,False,True,False,False,False
p02916,Description_Simple,0.8,0.8,0.8,0.8,True,0.14841188490390778,0.6515881150960923,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.2214011251926422,0.7785988748073578,False,True,False,False,False
p02911,Description_Simple,0.8,0.8,0.8,0.8,True,0.29972320795059204,0.500276792049408,False,True,False,False,False
p02582,Description_Simple,0.0,0.0,0.0,0.0,False,0.29056018590927124,0.29056018590927124,True,False,False,False,True
p03239,Description_Simple,0.9,0.9,0.9,0.9,True,0.11459622532129288,0.7854037746787071,False,True,False,False,False
p04012,Description_Simple,0.9,0.9,0.9,0.9,True,0.47778189182281494,0.4222181081771851,False,True,False,False,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.3623451590538025,0.6376548409461975,False,True,False,False,False
p02547,Description_Simple,0.2,0.2,0.2,0.2,False,0.3782343864440918,0.17823438644409179,True,False,False,False,True
p02772,Description_Simple,0.1,0.1,0.1,0.1,False,0.39936739206314087,0.2993673920631409,True,False,False,False,True
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.32956796884536743,0.6704320311546326,False,True,False,False,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.4972912669181824,0.4972912669181824,True,False,False,False,True
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.5042579174041748,0.4957420825958252,True,True,True,True,False
p02578,Description_Simple,1.0,1.0,1.0,1.0,True,0.3399442434310913,0.6600557565689087,False,True,False,False,False
p03060,Description_Simple,1.0,1.0,1.0,1.0,True,0.23096045851707458,0.7690395414829254,False,True,False,False,False
p02989,Description_Simple,0.0,0.0,0.0,0.0,False,0.42578211426734924,0.42578211426734924,True,False,False,False,True
p02987,Description_Simple,0.4,0.4,0.4,0.4,False,0.43675756454467773,0.03675756454467771,True,False,False,False,True
p02945,Description_Simple,0.0,0.0,0.0,0.0,False,0.47091084718704224,0.47091084718704224,True,False,False,False,True
p02801,Description_Simple,0.0,0.0,0.0,0.0,False,0.178892582654953,0.178892582654953,True,False,False,False,True
p02717,Description_Simple,0.8,0.8,0.8,0.8,True,0.5038777589797974,0.2961222410202027,True,True,True,True,False
p03316,Description_Simple,0.8,0.8,0.8,0.8,True,0.4894733428955078,0.31052665710449223,False,True,False,False,False
p02830,Description_Simple,0.9,0.9,0.9,0.9,True,0.447950541973114,0.452049458026886,False,True,False,False,False
p03775,Description_Simple,1.0,1.0,1.0,1.0,True,0.4716157913208008,0.5283842086791992,False,True,False,False,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6270924210548401,0.27290757894515993,True,True,True,True,False
p02899,Description_Simple,1.0,1.0,1.0,1.0,True,0.23316335678100586,0.7668366432189941,False,True,False,False,False
p02263,Description_Simple,0.8,0.8,0.8,0.8,True,0.7199087738990784,0.08009122610092168,True,True,True,True,False
p03146,Description_Simple,0.9,0.9,0.9,0.9,True,0.45190441608428955,0.44809558391571047,False,True,False,False,False
p02255,Description_Simple,0.8,0.8,0.8,0.8,True,0.6000514626502991,0.19994853734970097,True,True,True,True,False
p02897,Description_Simple,0.8,0.8,0.8,0.8,True,0.4184468984603882,0.38155310153961186,False,True,False,False,False
p02404,Description_Simple,0.7,0.7,0.7,0.7,True,0.40271586179733276,0.2972841382026672,False,True,False,False,False
p02836,Description_Simple,0.2,0.2,0.2,0.2,False,0.3354276418685913,0.1354276418685913,True,False,False,False,True
p02831,Description_Simple,1.0,1.0,1.0,1.0,True,0.4671914577484131,0.5328085422515869,False,True,False,False,False
p02699,Description_Simple,0.9,0.9,0.9,0.9,True,0.553464412689209,0.34653558731079104,True,True,True,True,False
p02403,Description_Simple,0.6,0.6,0.6,0.6,True,0.4738101661205292,0.1261898338794708,False,True,False,False,False
p02405,Description_Simple,0.0,0.0,0.0,0.0,False,0.4465758800506592,0.4465758800506592,True,False,False,False,True
p03147,Description_Simple,0.9,0.9,0.9,0.9,True,0.44344720244407654,0.4565527975559235,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5576823353767395,0.4423176646232605,True,True,True,True,False
p02639,Description_Simple,0.0,0.0,0.0,0.0,False,0.3289601802825928,0.3289601802825928,True,False,False,False,True
p02416,Description_Simple,0.0,0.0,0.0,0.0,False,0.5182899236679077,0.5182899236679077,False,False,True,False,False
p02411,Description_Simple,0.1,0.1,0.1,0.1,False,0.5326738357543945,0.43267383575439455,False,False,True,False,False
p02898,Description_Simple,1.0,1.0,1.0,1.0,True,0.3980432152748108,0.6019567847251892,False,True,False,False,False
p03720,Description_Simple,1.0,1.0,1.0,1.0,True,0.41723689436912537,0.5827631056308746,False,True,False,False,False
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.29655689001083374,0.29655689001083374,True,False,False,False,True
p02418,Description_Simple,0.7,0.7,0.7,0.7,True,0.5049960017204285,0.1950039982795715,True,True,True,True,False
p02420,Description_Simple,0.0,0.0,0.0,0.0,False,0.3213854134082794,0.3213854134082794,True,False,False,False,True
p02847,Description_Simple,0.0,0.0,0.0,0.0,False,0.6304764747619629,0.6304764747619629,False,False,True,False,False
p03136,Description_Simple,1.0,1.0,1.0,1.0,True,0.2574475407600403,0.7425524592399597,False,True,False,False,False
p03109,Description_Simple,0.0,0.0,0.0,0.0,False,0.2775070369243622,0.2775070369243622,True,False,False,False,True
p02677,Description_Simple,0.4,0.4,0.4,0.4,False,0.4994499981403351,0.09944999814033506,True,False,False,False,True
p02641,Description_Simple,0.0,0.0,0.0,0.0,False,0.48296135663986206,0.48296135663986206,True,False,False,False,True
p02421,Description_Simple,0.4,0.4,0.4,0.4,False,0.5916845202445984,0.19168452024459837,False,False,True,False,False
p02879,Description_Simple,0.6,0.6,0.6,0.6,True,0.43095943331718445,0.16904056668281553,False,True,False,False,False
p02613,Description_Simple,1.0,1.0,1.0,1.0,True,0.4530276954174042,0.5469723045825958,False,True,False,False,False
p03107,Description_Simple,0.0,0.0,0.0,0.0,False,0.3330751061439514,0.3330751061439514,True,False,False,False,True
p03360,Description_Simple,1.0,1.0,1.0,1.0,True,0.4575265645980835,0.5424734354019165,False,True,False,False,False
p02419,Description_Simple,0.5,0.5,0.5,0.5,True,0.6297284960746765,0.1297284960746765,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.6903457641601562,0.30965423583984375,True,True,True,True,False
p02622,Description_Simple,0.7,0.7,0.7,0.7,True,0.3853355944156647,0.3146644055843353,False,True,False,False,False
p02848,Description_Simple,0.5,0.5,0.5,0.5,True,0.5804927349090576,0.08049273490905762,True,True,True,True,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.6673773527145386,0.3326226472854614,True,True,True,True,False
p03106,Description_Simple,1.0,1.0,1.0,1.0,True,0.6123428344726562,0.38765716552734375,True,True,True,True,False
p02682,Description_Simple,1.0,1.0,1.0,1.0,True,0.5643460750579834,0.4356539249420166,True,True,True,True,False
p02640,Description_Simple,0.0,0.0,0.0,0.0,False,0.17094537615776062,0.17094537615776062,True,False,False,False,True
p02676,Description_Simple,0.7,0.7,0.7,0.7,True,0.5140896439552307,0.18591035604476924,True,True,True,True,False
p02994,Description_Simple,0.0,0.0,0.0,0.0,False,0.502525806427002,0.502525806427002,False,False,True,False,False
p02812,Description_Simple,0.9,0.9,0.9,0.9,True,0.6365944147109985,0.2634055852890015,True,True,True,True,False
p02394,Description_Simple,0.0,0.0,0.0,0.0,False,0.2963280975818634,0.2963280975818634,True,False,False,False,True
p03042,Description_Simple,0.1,0.1,0.1,0.1,False,0.3935004472732544,0.2935004472732544,True,False,False,False,True
p02958,Description_Simple,0.0,0.0,0.0,0.0,False,0.340082585811615,0.340082585811615,True,False,False,False,True
p02993,Description_Simple,1.0,1.0,1.0,1.0,True,0.5616884231567383,0.4383115768432617,True,True,True,True,False
p03087,Description_Simple,0.2,0.2,0.2,0.2,False,0.6413470506668091,0.44134705066680907,False,False,True,False,False
p02951,Description_Simple,0.9,0.9,0.9,0.9,True,0.4048079252243042,0.4951920747756958,False,True,False,False,False
p03073,Description_Simple,1.0,1.0,1.0,1.0,True,0.26746055483818054,0.7325394451618195,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6510528326034546,0.3489471673965454,True,True,True,True,False
p04030,Description_Simple,0.6,0.6,0.6,0.6,True,0.5229285955429077,0.07707140445709226,True,True,True,True,False
p02759,Description_Simple,0.6,0.6,0.6,0.6,True,0.22214631736278534,0.37785368263721464,False,True,False,False,False
p00007,Description_Simple,0.1,0.1,0.1,0.1,False,0.5222244262695312,0.42222442626953127,False,False,True,False,False
p02766,Description_Simple,0.9,0.9,0.9,0.9,True,0.6408126354217529,0.2591873645782471,True,True,True,True,False
p02934,Description_Simple,1.0,1.0,1.0,1.0,True,0.24756838381290436,0.7524316161870956,False,True,False,False,False
p03011,Description_Simple,1.0,1.0,1.0,1.0,True,0.35715359449386597,0.642846405506134,False,True,False,False,False
p03086,Description_Simple,0.9,0.9,0.9,0.9,True,0.5155002474784851,0.3844997525215149,True,True,True,True,False
p02553,Description_Simple,1.0,1.0,1.0,1.0,True,0.667033851146698,0.332966148853302,True,True,True,True,False
p02957,Description_Simple,0.2,0.2,0.2,0.2,False,0.3108862042427063,0.11088620424270629,True,False,False,False,True
