Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5650246739387512,0.4349753260612488,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6497474908828735,0.35025250911712646,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.37497133016586304,0.525028669834137,False,True,False,False,False
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.6603052020072937,0.13969479799270634,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.7010082006454468,0.6010082006454468,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.76719731092453,0.23280268907546997,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6012492179870605,0.39875078201293945,True,True,True,True,False
mbpp_0245,Description_Simple,0.2,0.2,0.2,0.2,False,0.42198479175567627,0.22198479175567626,True,False,False,False,True
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6263716816902161,0.37362831830978394,True,True,True,True,False
mbpp_0069,Description_Simple,0.9,0.9,0.9,0.9,True,0.5772229433059692,0.3227770566940308,True,True,True,True,False
mbpp_0515,Description_Simple,0.8,0.8,0.8,0.8,True,0.42290234565734863,0.3770976543426514,False,True,False,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6090629696846008,0.39093703031539917,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7513875365257263,0.24861246347427368,True,True,True,True,False
mbpp_0838,Description_Simple,0.7,0.7,0.7,0.7,True,0.7775561809539795,0.07755618095397954,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6091559529304504,0.39084404706954956,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5655558109283447,0.1655558109283447,False,False,True,False,False
mbpp_0628,Description_Simple,0.6,0.6,0.6,0.6,True,0.4963400661945343,0.10365993380546568,False,True,False,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6138724088668823,0.3861275911331177,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7849001884460449,0.21509981155395508,True,True,True,True,False
mbpp_0315,Description_Simple,0.0,0.0,0.0,0.0,False,0.7586850523948669,0.7586850523948669,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.6736413240432739,0.3263586759567261,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6153515577316284,0.3846484422683716,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6162670850753784,0.3837329149246216,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5634738802909851,0.4365261197090149,True,True,True,True,False
mbpp_0938,Description_Simple,0.8,0.8,0.8,0.8,True,0.6865503787994385,0.11344962120056157,True,True,True,True,False
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.5088542699813843,0.5088542699813843,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.707550048828125,0.307550048828125,False,False,True,False,False
mbpp_0898,Description_Simple,0.4,0.4,0.4,0.4,False,0.2773514986038208,0.12264850139617922,True,False,False,False,True
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6696563959121704,0.3303436040878296,True,True,True,True,False
mbpp_0060,Description_Simple,0.1,0.1,0.1,0.1,False,0.6884023547172546,0.5884023547172547,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7381395697593689,0.2618604302406311,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.5992486476898193,0.1992486476898193,False,False,True,False,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.6362022161483765,0.36379778385162354,True,True,True,True,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.5204512476921082,0.07954875230789182,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7385761737823486,0.26142382621765137,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.6795890927314758,0.32041090726852417,True,True,True,True,False
mbpp_0926,Description_Simple,1.0,1.0,1.0,1.0,True,0.5181859731674194,0.48181402683258057,True,True,True,True,False
mbpp_0755,Description_Simple,0.9,0.9,0.9,0.9,True,0.4628300070762634,0.4371699929237366,False,True,False,False,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.5411531925201416,0.4588468074798584,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.725736141204834,0.274263858795166,True,True,True,True,False
mbpp_0907,Description_Simple,0.5,0.5,0.5,0.5,True,0.6590868830680847,0.15908688306808472,True,True,True,True,False
mbpp_0850,Description_Simple,1.0,1.0,1.0,1.0,True,0.5539762377738953,0.44602376222610474,True,True,True,True,False
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.783565878868103,0.21643412113189697,True,True,True,True,False
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.7366630434989929,0.2633369565010071,True,True,True,True,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.5733180046081543,0.4266819953918457,True,True,True,True,False
mbpp_0453,Description_Simple,0.4,0.4,0.4,0.4,False,0.7576408386230469,0.35764083862304685,False,False,True,False,False
mbpp_0074,Description_Simple,0.3,0.3,0.3,0.3,False,0.5420222282409668,0.2420222282409668,False,False,True,False,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7609066367149353,0.2390933632850647,True,True,True,True,False
mbpp_0854,Description_Simple,0.4,0.4,0.4,0.4,False,0.47357627749443054,0.07357627749443052,True,False,False,False,True
mbpp_0469,Description_Simple,0.5,0.5,0.5,0.5,True,0.6317639946937561,0.1317639946937561,True,True,True,True,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.6891514658927917,0.5891514658927918,False,False,True,False,False
mbpp_0113,Description_Simple,1.0,1.0,1.0,1.0,True,0.655946671962738,0.34405332803726196,True,True,True,True,False
mbpp_0247,Description_Simple,0.9,0.9,0.9,0.9,True,0.7852333188056946,0.11476668119430544,True,True,True,True,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.6716615557670593,0.3283384442329407,True,True,True,True,False
mbpp_0306,Description_Simple,0.2,0.2,0.2,0.2,False,0.5895615220069885,0.3895615220069885,False,False,True,False,False
mbpp_0639,Description_Simple,0.4,0.4,0.4,0.4,False,0.5059174299240112,0.10591742992401121,False,False,True,False,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.6386982798576355,0.3613017201423645,True,True,True,True,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.7862499952316284,0.21375000476837158,True,True,True,True,False
mbpp_0107,Description_Simple,1.0,1.0,1.0,1.0,True,0.7736245393753052,0.22637546062469482,True,True,True,True,False
mbpp_0239,Description_Simple,0.4,0.4,0.4,0.4,False,0.43143215775489807,0.03143215775489805,True,False,False,False,True
mbpp_0108,Description_Simple,0.7,0.7,0.7,0.7,True,0.5593128204345703,0.14068717956542964,True,True,True,True,False
mbpp_0885,Description_Simple,0.2,0.2,0.2,0.2,False,0.7252836227416992,0.5252836227416993,False,False,True,False,False
mbpp_0826,Description_Simple,0.4,0.4,0.4,0.4,False,0.7093502879142761,0.3093502879142761,False,False,True,False,False
mbpp_0121,Description_Simple,0.9,0.9,0.9,0.9,True,0.5334015488624573,0.36659845113754275,True,True,True,True,False
mbpp_0485,Description_Simple,1.0,1.0,1.0,1.0,True,0.7084945440292358,0.29150545597076416,True,True,True,True,False
mbpp_0181,Description_Simple,1.0,1.0,1.0,1.0,True,0.5137191414833069,0.4862808585166931,True,True,True,True,False
mbpp_0231,Description_Simple,0.9,0.9,0.9,0.9,True,0.7122570872306824,0.18774291276931765,True,True,True,True,False
mbpp_0570,Description_Simple,0.3,0.3,0.3,0.3,False,0.5627392530441284,0.26273925304412843,False,False,True,False,False
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.7535467147827148,0.24645328521728516,True,True,True,True,False
mbpp_0526,Description_Simple,1.0,1.0,1.0,1.0,True,0.7075705528259277,0.29242944717407227,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.6848027110099792,0.31519728899002075,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.6783920526504517,0.32160794734954834,True,True,True,True,False
mbpp_0632,Description_Simple,0.9,0.9,0.9,0.9,True,0.7515559196472168,0.14844408035278323,True,True,True,True,False
mbpp_0745,Description_Simple,1.0,1.0,1.0,1.0,True,0.5818800926208496,0.4181199073791504,True,True,True,True,False
mbpp_0943,Description_Simple,0.6,0.6,0.6,0.6,True,0.45083439350128174,0.14916560649871824,False,True,False,False,False
mbpp_0971,Description_Simple,0.9,0.9,0.9,0.9,True,0.5446435809135437,0.3553564190864563,True,True,True,True,False
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.6213974356651306,0.3786025643348694,True,True,True,True,False
mbpp_0597,Description_Simple,0.9,0.9,0.9,0.9,True,0.5838730931282043,0.3161269068717957,True,True,True,True,False
mbpp_0256,Description_Simple,0.7,0.7,0.7,0.7,True,0.6156095862388611,0.08439041376113887,True,True,True,True,False
mbpp_0620,Description_Simple,0.0,0.0,0.0,0.0,False,0.5319436192512512,0.5319436192512512,False,False,True,False,False
mbpp_0588,Description_Simple,0.9,0.9,0.9,0.9,True,0.7035878896713257,0.19641211032867434,True,True,True,True,False
mbpp_0415,Description_Simple,1.0,1.0,1.0,1.0,True,0.7955576181411743,0.20444238185882568,True,True,True,True,False
mbpp_0476,Description_Simple,1.0,1.0,1.0,1.0,True,0.777093231678009,0.22290676832199097,True,True,True,True,False
mbpp_0922,Description_Simple,0.9,0.9,0.9,0.9,True,0.6915088891983032,0.2084911108016968,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5637606382369995,0.4362393617630005,True,True,True,True,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.6334031224250793,0.36659687757492065,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.6621899604797363,0.33781003952026367,True,True,True,True,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.62110435962677,0.37889564037323,True,True,True,True,False
mbpp_0702,Description_Simple,1.0,1.0,1.0,1.0,True,0.3555169999599457,0.6444830000400543,False,True,False,False,False
mbpp_0448,Description_Simple,1.0,1.0,1.0,1.0,True,0.7275871634483337,0.27241283655166626,True,True,True,True,False
mbpp_0819,Description_Simple,0.3,0.3,0.3,0.3,False,0.5865052342414856,0.2865052342414856,False,False,True,False,False
mbpp_0622,Description_Simple,0.9,0.9,0.9,0.9,True,0.683521568775177,0.21647843122482302,True,True,True,True,False
mbpp_0141,Description_Simple,1.0,1.0,1.0,1.0,True,0.7058588862419128,0.29414111375808716,True,True,True,True,False
mbpp_0717,Description_Simple,0.8,0.8,0.8,0.8,True,0.6688636541366577,0.13113634586334233,True,True,True,True,False
mbpp_0853,Description_Simple,1.0,1.0,1.0,1.0,True,0.7398834824562073,0.2601165175437927,True,True,True,True,False
mbpp_0714,Description_Simple,0.2,0.2,0.2,0.2,False,0.6552610397338867,0.4552610397338867,False,False,True,False,False
mbpp_0131,Description_Simple,1.0,1.0,1.0,1.0,True,0.7739571928977966,0.22604280710220337,True,True,True,True,False
mbpp_0122,Description_Simple,1.0,1.0,1.0,1.0,True,0.6591848134994507,0.3408151865005493,True,True,True,True,False
