Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,0.8,0.8,0.8,0.8,True,0.6591509580612183,0.14084904193878178,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5533066391944885,0.4466933608055115,True,True,True,True,False
mbpp_0408,Description_Simple,0.5,0.5,0.5,0.5,True,0.5141317844390869,0.014131784439086914,True,True,True,True,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.4256267547607422,0.5743732452392578,False,True,False,False,False
mbpp_0159,Description_Simple,0.4,0.4,0.4,0.4,False,0.5016835331916809,0.10168353319168089,False,False,True,False,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.5892198085784912,0.4107801914215088,True,True,True,True,False
mbpp_0323,Description_Simple,0.8,0.8,0.8,0.8,True,0.7399871945381165,0.06001280546188359,True,True,True,True,False
mbpp_0771,Description_Simple,0.0,0.0,0.0,0.0,False,0.24294543266296387,0.24294543266296387,True,False,False,False,True
mbpp_0004,Description_Simple,0.9,0.9,0.9,0.9,True,0.6119757890701294,0.2880242109298706,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.5660842657089233,0.43391573429107666,True,True,True,True,False
mbpp_0245,Description_Simple,0.2,0.2,0.2,0.2,False,0.6243200302124023,0.42432003021240233,False,False,True,False,False
mbpp_0039,Description_Simple,0.0,0.0,0.0,0.0,False,0.25582224130630493,0.25582224130630493,True,False,False,False,True
mbpp_0822,Description_Simple,0.7,0.7,0.7,0.7,True,0.737542450428009,0.03754245042800908,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.846055269241333,0.153944730758667,True,True,True,True,False
mbpp_0496,Description_Simple,0.8,0.8,0.8,0.8,True,0.8330938816070557,0.03309388160705562,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5887888669967651,0.41121113300323486,True,True,True,True,False
mbpp_0209,Description_Simple,0.2,0.2,0.2,0.2,False,0.026743657886981964,0.17325634211301805,True,False,False,False,True
mbpp_0108,Description_Simple,0.3,0.3,0.3,0.3,False,0.47391968965530396,0.17391968965530397,True,False,False,False,True
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6385667324066162,0.3614332675933838,True,True,True,True,False
mbpp_0372,Description_Simple,0.9,0.9,0.9,0.9,True,0.7956398129463196,0.10436018705368044,True,True,True,True,False
mbpp_0776,Description_Simple,0.2,0.2,0.2,0.2,False,0.06630907952785492,0.1336909204721451,True,False,False,False,True
mbpp_0747,Description_Simple,0.9,0.9,0.9,0.9,True,0.7517989277839661,0.14820107221603396,True,True,True,True,False
mbpp_0223,Description_Simple,0.6,0.6,0.6,0.6,True,0.7905024886131287,0.19050248861312868,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5223118662834167,0.47768813371658325,True,True,True,True,False
mbpp_0423,Description_Simple,0.4,0.4,0.4,0.4,False,0.6125136613845825,0.2125136613845825,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7457871437072754,0.2542128562927246,True,True,True,True,False
mbpp_0838,Description_Simple,0.0,0.0,0.0,0.0,False,0.5150886178016663,0.5150886178016663,False,False,True,False,False
mbpp_0315,Description_Simple,0.0,0.0,0.0,0.0,False,0.7266546487808228,0.7266546487808228,False,False,True,False,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.8040533065795898,0.19594669342041016,True,True,True,True,False
