model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,1,0.772727,0.832,0.409836,0.774799,0.751337,0.822581,0.816489,0.826667,0.745946,0.816976,0.816273,0.829787,0.801609,0.76776
GPT-3.5,0.772727,1,0.728205,0.393352,0.817927,0.739837,0.763926,0.704835,0.754569,0.710811,0.727506,0.732143,0.744186,0.729659,0.72752
O4-mini,0.832,0.728205,1,0.428184,0.743523,0.766578,0.832447,0.826316,0.831579,0.74734,0.846154,0.830729,0.859043,0.831099,0.788043
Gemini,0.409836,0.393352,0.428184,1,0.406162,0.398305,0.407609,0.390957,0.41129,0.400576,0.422764,0.407407,0.411765,0.422222,0.411594
Llama-70B,0.774799,0.817927,0.743523,0.406162,1,0.760989,0.761273,0.737662,0.756545,0.736264,0.747396,0.761039,0.759791,0.75,0.748619
Mistral,0.751337,0.739837,0.766578,0.398305,0.760989,1,0.770889,0.751323,0.789757,0.726519,0.775401,0.784574,0.759894,0.759459,0.753501
DeepSeek-V3.1,0.822581,0.763926,0.832447,0.407609,0.761273,0.770889,1,0.826667,0.81746,0.751351,0.832,0.821522,0.84492,0.826558,0.763587
DeepSeek-R1,0.816489,0.704835,0.826316,0.390957,0.737662,0.751323,0.826667,1,0.821053,0.704961,0.821053,0.854111,0.824147,0.810667,0.772358
DeepSeek-V4-Pro,0.826667,0.754569,0.831579,0.41129,0.756545,0.789757,0.81746,0.821053,1,0.746667,0.826316,0.825521,0.819843,0.81117,0.749333
QwenCoder,0.745946,0.710811,0.74734,0.400576,0.736264,0.726519,0.751351,0.704961,0.746667,1,0.737401,0.72846,0.731579,0.725806,0.723464
Qwen3.7,0.816976,0.727506,0.846154,0.422764,0.747396,0.775401,0.832,0.821053,0.826316,0.737401,1,0.844737,0.863636,0.840541,0.777778
Claude-5,0.816273,0.732143,0.830729,0.407407,0.761039,0.784574,0.821522,0.854111,0.825521,0.72846,0.844737,1,0.842932,0.829787,0.768
GLM-5,0.829787,0.744186,0.859043,0.411765,0.759791,0.759894,0.84492,0.824147,0.819843,0.731579,0.863636,0.842932,1,0.858696,0.77628
Kimi-K2.7,0.801609,0.729659,0.831099,0.422222,0.75,0.759459,0.826558,0.810667,0.81117,0.725806,0.840541,0.829787,0.858696,1,0.766484
GPT-5,0.76776,0.72752,0.788043,0.411594,0.748619,0.753501,0.763587,0.772358,0.749333,0.723464,0.777778,0.768,0.77628,0.766484,1
