Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.5673583149909973,0.03264168500900266,True,True,True,True,False
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.7609797120094299,0.1390202879905701,True,True,True,True,False
p03456,Description_Simple,0.8,0.7,0.75,0.775,True,0.7149430513381958,0.06005694866180422,True,True,True,True,False
p02917,Description_Simple,0.9,0.9,0.9,0.9,True,0.5227870941162109,0.3772129058837891,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.6865198612213135,0.21348013877868655,True,True,True,True,False
p02570,Description_Simple,0.9,0.9,0.9,0.9,True,0.5225827097892761,0.3774172902107239,True,True,True,True,False
p02773,Description_Simple,0.9,0.7,0.8,0.8500000000000001,True,0.7283461689949036,0.12165383100509652,True,True,True,True,False
p02910,Description_Simple,0.6,0.6,0.6,0.6,True,0.5289231538772583,0.07107684612274168,True,True,True,True,False
p02729,Description_Simple,0.6,0.6,0.6,0.6,True,0.45715025067329407,0.1428497493267059,False,True,False,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.44208791851997375,0.24208791851997374,True,False,False,False,True
p03494,Description_Simple,0.9,0.9,0.9,0.9,True,0.6090776920318604,0.29092230796813967,True,True,True,True,False
p03059,Description_Simple,0.6,0.6,0.6,0.6,True,0.4569288194179535,0.1430711805820465,False,True,False,False,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.6006805896759033,0.2993194103240967,True,True,True,True,False
p03035,Description_Simple,0.9,0.9,0.9,0.9,True,0.5626866817474365,0.3373133182525635,True,True,True,True,False
p02988,Description_Simple,0.6,0.8,0.7,0.6499999999999999,True,0.48465269804000854,0.16534730195999137,False,True,False,False,False
p03469,Description_Simple,0.4,0.6,0.5,0.45,True,0.5819259285926819,0.13192592859268187,True,True,True,True,False
p02571,Description_Simple,0.6,0.6,0.6,0.6,True,0.5008673071861267,0.09913269281387327,True,True,True,True,False
p02582,Description_Simple,0.9,0.9,0.9,0.9,True,0.7986617088317871,0.10133829116821291,True,True,True,True,False
p03434,Description_Simple,0.9,0.9,0.9,0.9,True,0.49536627531051636,0.40463372468948366,False,True,False,False,False
p03457,Description_Simple,0.9,0.9,0.9,0.9,True,0.6808354258537292,0.21916457414627077,True,True,True,True,False
p02916,Description_Simple,0.9,0.9,0.9,0.9,True,0.6036203503608704,0.29637964963912966,True,True,True,True,False
p02718,Description_Simple,0.9,0.9,0.9,0.9,True,0.535913348197937,0.364086651802063,True,True,True,True,False
p03854,Description_Simple,0.6,0.6,0.6,0.6,True,0.40560299158096313,0.19439700841903684,False,True,False,False,False
p02786,Description_Simple,0.3,0.3,0.3,0.3,False,0.4365556538105011,0.1365556538105011,True,False,False,False,True
p04012,Description_Simple,0.9,0.9,0.9,0.9,True,0.7628512978553772,0.13714870214462282,True,True,True,True,False
p02772,Description_Simple,0.6,0.6,0.6,0.6,True,0.5948241949081421,0.005175805091857888,True,True,True,True,False
p02547,Description_Simple,0.6,0.6,0.6,0.6,True,0.5693818926811218,0.03061810731887815,True,True,True,True,False
p02911,Description_Simple,0.9,0.9,0.9,0.9,True,0.6124023199081421,0.28759768009185793,True,True,True,True,False
p02576,Description_Simple,0.9,0.9,0.9,0.9,True,0.5697037577629089,0.3302962422370911,True,True,True,True,False
p03239,Description_Simple,0.2,0.2,0.2,0.2,False,0.37028768658638,0.17028768658638,True,False,False,False,True
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7681998014450073,0.1318001985549927,True,True,True,True,False
p02981,Description_Simple,0.2,0.4,0.30000000000000004,0.35000000000000003,False,0.30673179030418396,0.04326820969581607,True,False,False,False,True
p02945,Description_Simple,0.2,0.3,0.25,0.225,False,0.6497397422790527,0.42473974227905276,False,False,True,False,False
p02987,Description_Simple,0.9,0.9,0.9,0.9,True,0.7514954805374146,0.14850451946258547,True,True,True,True,False
p02801,Description_Simple,0.9,0.9,0.9,0.9,True,0.5867982506752014,0.3132017493247986,True,True,True,True,False
p02717,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.4366723597049713,0.3616723597049713,True,False,False,False,True
p02830,Description_Simple,0.9,0.9,0.9,0.9,True,0.5369219779968262,0.36307802200317385,True,True,True,True,False
p02719,Description_Simple,0.6,0.6,0.6,0.6,True,0.5253875851631165,0.07461241483688352,True,True,True,True,False
p02578,Description_Simple,0.9,0.9,0.9,0.9,True,0.6071040034294128,0.2928959965705872,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.8189792037010193,0.08102079629898074,True,True,True,True,False
p03316,Description_Simple,0.6,0.6,0.6,0.6,True,0.5351444482803345,0.0648555517196655,True,True,True,True,False
p03435,Description_Simple,0.6,0.6,0.6,0.6,True,0.3995233178138733,0.2004766821861267,False,True,False,False,False
p02989,Description_Simple,0.2,0.2,0.2,0.2,False,0.4333565831184387,0.2333565831184387,True,False,False,False,True
p02389,Description_Simple,1.0,0.9,0.95,0.925,True,0.8192940950393677,0.10570590496063237,True,True,True,True,False
p03060,Description_Simple,0.6,0.6,0.6,0.6,True,0.3748418986797333,0.2251581013202667,False,True,False,False,False
p02899,Description_Simple,0.6,0.6,0.6,0.6,True,0.32682934403419495,0.27317065596580503,False,True,False,False,False
p03775,Description_Simple,0.9,0.9,0.9,0.9,True,0.4908580780029297,0.40914192199707033,False,True,False,False,False
p02264,Description_Simple,0.6,0.6,0.6,0.6,True,0.642107367515564,0.04210736751556399,True,True,True,True,False
p02897,Description_Simple,0.0,0.2,0.1,0.05,False,0.5341967940330505,0.48419679403305055,False,False,True,False,False
p02699,Description_Simple,0.6,0.6,0.6,0.6,True,0.6539602875709534,0.05396028757095339,True,True,True,True,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.7226983308792114,0.1773016691207886,True,True,True,True,False
p02831,Description_Simple,0.9,0.9,0.9,0.9,True,0.5546077489852905,0.3453922510147095,True,True,True,True,False
p02404,Description_Simple,0.5,0.6,0.55,0.575,True,0.41591909527778625,0.1590809047222137,False,True,False,False,False
p03720,Description_Simple,0.9,0.9,0.9,0.9,True,0.39801812171936035,0.5019818782806397,False,True,False,False,False
p02898,Description_Simple,0.9,0.9,0.9,0.9,True,0.3064163625240326,0.5935836374759674,False,True,False,False,False
p02416,Description_Simple,0.9,0.9,0.9,0.9,True,0.820275068283081,0.07972493171691897,True,True,True,True,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.5594757199287415,0.34052428007125857,True,True,True,True,False
p03146,Description_Simple,0.9,0.9,0.9,0.9,True,0.4411359429359436,0.4588640570640564,False,True,False,False,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.6367387175559998,0.26326128244400027,True,True,True,True,False
p02405,Description_Simple,0.5,0.2,0.35,0.275,False,0.5554275512695312,0.28042755126953123,False,False,True,False,False
p02639,Description_Simple,0.6,0.6,0.6,0.6,True,0.4803323745727539,0.11966762542724607,False,True,False,False,False
p03147,Description_Simple,0.6,0.6,0.6,0.6,True,0.5355589985847473,0.06444100141525266,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.6870979070663452,0.2129020929336548,True,True,True,True,False
p02836,Description_Simple,0.5,0.5,0.5,0.5,True,0.3411673605442047,0.1588326394557953,False,True,False,False,False
p02612,Description_Simple,0.2,0.2,0.2,0.2,False,0.30273908376693726,0.10273908376693724,True,False,False,False,True
p02420,Description_Simple,0.6,0.6,0.6,0.6,True,0.5093867778778076,0.09061322212219236,True,True,True,True,False
p03107,Description_Simple,0.2,0.2,0.2,0.2,False,0.3453701138496399,0.14537011384963988,True,False,False,False,True
p02641,Description_Simple,0.9,0.9,0.9,0.9,True,0.6341191530227661,0.2658808469772339,True,True,True,True,False
p02847,Description_Simple,0.6,0.6,0.6,0.6,True,0.5638184547424316,0.03618154525756834,True,True,True,True,False
p02613,Description_Simple,0.9,0.9,0.9,0.9,True,0.409408301115036,0.490591698884964,False,True,False,False,False
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.7507916688919067,0.14920833110809328,True,True,True,True,False
p02622,Description_Simple,0.6,0.6,0.6,0.6,True,0.33213141560554504,0.26786858439445493,False,True,False,False,False
p03136,Description_Simple,0.9,0.8,0.8500000000000001,0.875,True,0.5134840607643127,0.36151593923568726,True,True,True,True,False
p02418,Description_Simple,0.9,0.9,0.9,0.9,True,0.6452115774154663,0.2547884225845337,True,True,True,True,False
p02419,Description_Simple,0.9,0.9,0.9,0.9,True,0.6811552047729492,0.2188447952270508,True,True,True,True,False
p02677,Description_Simple,0.1,0.4,0.25,0.175,False,0.5939732193946838,0.41897321939468385,False,False,True,False,False
p03109,Description_Simple,0.6,0.6,0.6,0.6,True,0.5065412521362305,0.09345874786376951,True,True,True,True,False
p02879,Description_Simple,0.9,0.9,0.9,0.9,True,0.3718394339084625,0.5281605660915375,False,True,False,False,False
p02421,Description_Simple,0.9,0.9,0.9,0.9,True,0.5697397589683533,0.33026024103164675,True,True,True,True,False
p03360,Description_Simple,0.9,0.9,0.9,0.9,True,0.6133913397789001,0.2866086602210999,True,True,True,True,False
p03106,Description_Simple,0.9,0.9,0.9,0.9,True,0.6482975482940674,0.25170245170593264,True,True,True,True,False
p02682,Description_Simple,0.9,0.9,0.9,0.9,True,0.5852038860321045,0.31479611396789553,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.8272422552108765,0.07275774478912356,True,True,True,True,False
p02848,Description_Simple,0.9,0.9,0.9,0.9,True,0.6181195974349976,0.28188040256500246,True,True,True,True,False
p02812,Description_Simple,0.9,0.9,0.9,0.9,True,0.6798387169837952,0.22016128301620486,True,True,True,True,False
p02640,Description_Simple,0.4,0.4,0.4,0.4,False,0.3012458384037018,0.09875416159629824,True,False,False,False,True
p02676,Description_Simple,0.9,0.9,0.9,0.9,True,0.6426342725753784,0.2573657274246216,True,True,True,True,False
p02951,Description_Simple,0.4,0.4,0.4,0.4,False,0.32519277930259705,0.07480722069740298,True,False,False,False,True
p02394,Description_Simple,0.9,0.8,0.8500000000000001,0.875,True,0.6308386921882629,0.24416130781173706,True,True,True,True,False
p02958,Description_Simple,0.6,0.6,0.6,0.6,True,0.5428614616394043,0.05713853836059568,True,True,True,True,False
p02393,Description_Simple,0.9,0.9,0.9,0.9,True,0.8127486109733582,0.08725138902664187,True,True,True,True,False
p03042,Description_Simple,0.9,0.9,0.9,0.9,True,0.6230376362800598,0.2769623637199402,True,True,True,True,False
p03087,Description_Simple,0.9,0.9,0.9,0.9,True,0.6224173307418823,0.2775826692581177,True,True,True,True,False
p02993,Description_Simple,0.9,0.9,0.9,0.9,True,0.6820911169052124,0.21790888309478762,True,True,True,True,False
p03073,Description_Simple,0.2,0.2,0.2,0.2,False,0.36597782373428345,0.16597782373428344,True,False,False,False,True
p02994,Description_Simple,0.2,0.3,0.25,0.225,False,0.4628872275352478,0.2378872275352478,True,False,False,False,True
p03086,Description_Simple,0.9,0.9,0.9,0.9,True,0.5660879015922546,0.3339120984077454,True,True,True,True,False
p03416,Description_Simple,0.6,0.6,0.6,0.6,True,0.4196266233921051,0.18037337660789488,False,True,False,False,False
p00007,Description_Simple,0.6,0.5,0.55,0.575,True,0.483815461397171,0.09118453860282894,False,True,False,False,False
p04030,Description_Simple,0.6,0.6,0.6,0.6,True,0.675154983997345,0.07515498399734499,True,True,True,True,False
p03072,Description_Simple,0.9,0.9,0.9,0.9,True,0.5114745497703552,0.3885254502296448,True,True,True,True,False
p02759,Description_Simple,0.9,0.6,0.75,0.75,True,0.25488224625587463,0.49511775374412537,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.7670659422874451,0.13293405771255495,True,True,True,True,False
p02957,Description_Simple,0.6,0.6,0.6,0.6,True,0.4624350965023041,0.1375649034976959,False,True,False,False,False
p03075,Description_Simple,0.9,0.9,0.9,0.9,True,0.5990369915962219,0.3009630084037781,True,True,True,True,False
p02705,Description_Simple,0.9,0.9,0.9,0.9,True,0.7272782921791077,0.17272170782089236,True,True,True,True,False
p02934,Description_Simple,0.6,0.6,0.6,0.6,True,0.4735596179962158,0.12644038200378416,False,True,False,False,False
p03043,Description_Simple,0.6,0.2,0.4,0.4,False,0.2839619517326355,0.11603804826736452,True,False,False,False,True
p02553,Description_Simple,0.9,0.9,0.9,0.9,True,0.7366447448730469,0.16335525512695315,True,True,True,True,False
p02959,Description_Simple,0.6,0.6,0.6,0.6,True,0.3572133183479309,0.24278668165206907,False,True,False,False,False
p02766,Description_Simple,0.9,0.9,0.9,0.9,True,0.5778242349624634,0.32217576503753664,True,True,True,True,False
p03011,Description_Simple,0.9,0.9,0.9,0.9,True,0.8249198198318481,0.07508018016815188,True,True,True,True,False
p03282,Description_Simple,0.1,0.1,0.1,0.1,False,0.3032369911670685,0.20323699116706848,True,False,False,False,True
p02935,Description_Simple,0.6,0.6,0.6,0.6,True,0.4959965944290161,0.10400340557098386,False,True,False,False,False
p02995,Description_Simple,0.9,0.8,0.8500000000000001,0.875,True,0.6484986543655396,0.22650134563446045,True,True,True,True,False
p03285,Description_Simple,0.5,0.5,0.5,0.5,True,0.3508923351764679,0.1491076648235321,False,True,False,False,False
p02712,Description_Simple,0.9,0.9,0.9,0.9,True,0.6292300820350647,0.2707699179649353,True,True,True,True,False
p04044,Description_Simple,0.6,0.6,0.6,0.6,True,0.5323361754417419,0.06766382455825803,True,True,True,True,False
p02723,Description_Simple,0.8,0.9,0.8500000000000001,0.875,True,0.4898364245891571,0.3851635754108429,False,True,False,False,False
p02982,Description_Simple,0.9,0.9,0.9,0.9,True,0.8621140122413635,0.0378859877586365,True,True,True,True,False
p02767,Description_Simple,0.9,0.9,0.9,0.9,True,0.3315083384513855,0.5684916615486145,False,True,False,False,False
p03474,Description_Simple,0.7,0.7,0.7,0.7,True,0.4698881506919861,0.23011184930801387,False,True,False,False,False
p00001,Description_Simple,0.9,0.9,0.9,0.9,True,0.7235103845596313,0.17648961544036867,True,True,True,True,False
p03261,Description_Simple,0.8,0.8,0.8,0.8,True,0.6935655474662781,0.10643445253372197,True,True,True,True,False
p02947,Description_Simple,0.9,0.9,0.9,0.9,True,0.7590677738189697,0.1409322261810303,True,True,True,True,False
p03814,Description_Simple,0.9,0.9,0.9,0.9,True,0.5122663378715515,0.3877336621284485,True,True,True,True,False
p02552,Description_Simple,0.6,0.6,0.6,0.6,True,0.4933961033821106,0.10660389661788938,False,True,False,False,False
p00006,Description_Simple,0.6,0.6,0.6,0.6,True,0.6526493430137634,0.05264934301376345,True,True,True,True,False
p03292,Description_Simple,0.4,0.5,0.45,0.42500000000000004,False,0.4535154104232788,0.028515410423278764,True,False,False,False,True
p02777,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.26948732137680054,0.09448732137680052,True,False,False,False,True
p02724,Description_Simple,0.6,0.6,0.6,0.6,True,0.38183799386024475,0.21816200613975523,False,True,False,False,False
p03835,Description_Simple,0.6,0.6,0.6,0.6,True,0.4443173110485077,0.1556826889514923,False,True,False,False,False
p02784,Description_Simple,0.3,0.3,0.3,0.3,False,0.33776846528053284,0.03776846528053285,True,False,False,False,True
p02779,Description_Simple,0.2,0.3,0.25,0.225,False,0.4948553740978241,0.2698553740978241,True,False,False,False,True
p04043,Description_Simple,0.6,0.6,0.6,0.6,True,0.4133446514606476,0.1866553485393524,False,True,False,False,False
p02971,Description_Simple,0.9,0.9,0.9,0.9,True,0.6603753566741943,0.2396246433258057,True,True,True,True,False
p03455,Description_Simple,0.6,0.6,0.6,0.6,True,0.5348357558250427,0.06516424417495725,True,True,True,True,False
p03000,Description_Simple,0.9,0.9,0.9,0.9,True,0.5702764987945557,0.32972350120544436,True,True,True,True,False
p00011,Description_Simple,0.2,0.2,0.2,0.2,False,0.3128495216369629,0.11284952163696288,True,False,False,False,True
p02725,Description_Simple,0.9,0.9,0.9,0.9,True,0.538325309753418,0.36167469024658205,True,True,True,True,False
p02922,Description_Simple,0.9,0.9,0.9,0.9,True,0.5755228996276855,0.3244771003723145,True,True,True,True,False
p02970,Description_Simple,0.4,0.1,0.25,0.175,False,0.5386595726013184,0.36365957260131837,False,False,True,False,False
p03293,Description_Simple,0.7,0.7,0.7,0.7,True,0.6176773309707642,0.0823226690292358,True,True,True,True,False
p02783,Description_Simple,0.6,0.6,0.6,0.6,True,0.1938355714082718,0.4061644285917282,False,True,False,False,False
p03632,Description_Simple,0.9,0.9,0.9,0.9,True,0.6532161831855774,0.24678381681442263,True,True,True,True,False
p02713,Description_Simple,0.9,0.9,0.9,0.9,True,0.7522552013397217,0.14774479866027834,True,True,True,True,False
p02258,Description_Simple,0.9,0.9,0.9,0.9,True,0.7094932198524475,0.1905067801475525,True,True,True,True,False
p02778,Description_Simple,0.6,0.6,0.6,0.6,True,0.517107367515564,0.08289263248443601,True,True,True,True,False
p03037,Description_Simple,0.5,0.5,0.5,0.5,True,0.3088599443435669,0.1911400556564331,False,True,False,False,False
p03695,Description_Simple,0.8,0.9,0.8500000000000001,0.875,True,0.5730915665626526,0.3019084334373474,True,True,True,True,False
p02983,Description_Simple,0.2,0.2,0.2,0.2,False,0.510507345199585,0.31050734519958495,False,False,True,False,False
p03001,Description_Simple,0.6,0.6,0.6,0.6,True,0.6921799182891846,0.09217991828918459,True,True,True,True,False
p02923,Description_Simple,0.6,0.6,0.6,0.6,True,0.4723026156425476,0.12769738435745237,False,True,False,False,False
p02400,Description_Simple,0.7,0.7,0.7,0.7,True,0.7628233432769775,0.06282334327697758,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.679297685623169,0.22070231437683108,True,True,True,True,False
p02946,Description_Simple,0.6,0.6,0.6,0.6,True,0.3874216079711914,0.21257839202880857,False,True,False,False,False
p02771,Description_Simple,0.6,0.9,0.75,0.75,True,0.6506720781326294,0.0993279218673706,True,True,True,True,False
p02256,Description_Simple,0.9,0.6,0.75,0.75,True,0.7553732395172119,0.005373239517211914,True,True,True,True,False
p02785,Description_Simple,0.6,0.6,0.6,0.6,True,0.27631133794784546,0.3236886620521545,False,True,False,False,False
p02409,Description_Simple,0.5,0.5,0.5,0.5,True,0.32047203183174133,0.17952796816825867,False,True,False,False,False
p02860,Description_Simple,0.9,0.9,0.9,0.9,True,0.4555671811103821,0.44443281888961794,False,True,False,False,False
p03370,Description_Simple,0.1,0.1,0.1,0.1,False,0.2667022943496704,0.1667022943496704,True,False,False,False,True
p02257,Description_Simple,0.6,0.6,0.6,0.6,True,0.615411102771759,0.015411102771759055,True,True,True,True,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.2611653208732605,0.6388346791267395,False,True,False,False,False
p02408,Description_Simple,0.2,0.2,0.2,0.2,False,0.23725733160972595,0.03725733160972594,True,False,False,False,True
p02659,Description_Simple,0.6,0.6,0.6,0.6,True,0.5859012603759766,0.014098739624023415,True,True,True,True,False
p03324,Description_Simple,0.6,0.6,0.6,0.6,True,0.4980296492576599,0.10197035074234007,False,True,False,False,False
p03378,Description_Simple,0.6,0.6,0.6,0.6,True,0.4466919004917145,0.1533080995082855,False,True,False,False,False
p03315,Description_Simple,0.9,0.9,0.9,0.9,True,0.4968726634979248,0.4031273365020752,False,True,False,False,False
p02407,Description_Simple,0.6,0.6,0.6,0.6,True,0.6387585997581482,0.038758599758148216,True,True,True,True,False
p02268,Description_Simple,0.6,0.6,0.6,0.6,True,0.30659595131874084,0.29340404868125913,False,True,False,False,False
p02802,Description_Simple,0.2,0.2,0.2,0.2,False,0.3423788845539093,0.1423788845539093,True,False,False,False,True
p02259,Description_Simple,0.9,0.9,0.9,0.9,True,0.594203531742096,0.3057964682579041,True,True,True,True,False
p03371,Description_Simple,0.6,0.6,0.6,0.6,True,0.4834122061729431,0.11658779382705686,False,True,False,False,False
p02657,Description_Simple,0.2,0.2,0.2,0.2,False,0.613784670829773,0.41378467082977294,False,False,True,False,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.7565408945083618,0.1434591054916382,True,True,True,True,False
p02658,Description_Simple,0.6,0.6,0.6,0.6,True,0.6027753353118896,0.0027753353118896706,True,True,True,True,False
p02881,Description_Simple,0.6,0.6,0.6,0.6,True,0.3824716806411743,0.21752831935882566,False,True,False,False,False
p02693,Description_Simple,0.6,0.6,0.6,0.6,True,0.541802704334259,0.058197295665740945,True,True,True,True,False
p02687,Description_Simple,0.0,0.0,0.0,0.0,False,0.3419148921966553,0.3419148921966553,True,False,False,False,True
p03325,Description_Simple,0.4,0.4,0.4,0.4,False,0.3541119396686554,0.04588806033134463,True,False,False,False,True
p02694,Description_Simple,0.6,0.6,0.6,0.6,True,0.5648750066757202,0.03512499332427976,True,True,True,True,False
p02835,Description_Simple,0.6,0.9,0.75,0.75,True,0.5085530281066895,0.24144697189331055,True,True,True,True,False
p03126,Description_Simple,0.7,0.9,0.8,0.8500000000000001,True,0.5276435613632202,0.3223564386367799,True,True,True,True,False
p02415,Description_Simple,0.6,0.6,0.6,0.6,True,0.6750470995903015,0.07504709959030154,True,True,True,True,False
