Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4772064685821533,0.5227935314178467,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.614948570728302,0.385051429271698,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6798733472824097,0.32012665271759033,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.7819249033927917,0.11807509660720827,True,True,True,True,False
mbpp_0776,Description_Simple,0.2,0.2,0.2,0.2,False,0.6867639422416687,0.4867639422416687,False,False,True,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6372091770172119,0.3627908229827881,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7883390188217163,0.2116609811782837,True,True,True,True,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.7159808278083801,0.01598082780838017,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6975168585777283,0.30248314142227173,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5583486557006836,0.4416513442993164,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6777148842811584,0.32228511571884155,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.7300813794136047,0.26991862058639526,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.8031033873558044,0.19689661264419556,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7964159250259399,0.20358407497406006,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5847930312156677,0.1847930312156677,False,False,True,False,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6957517266273499,0.30424827337265015,True,True,True,True,False
mbpp_0387,Description_Simple,0.9,0.9,0.9,0.9,True,0.7676416635513306,0.13235833644866946,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7327109575271606,0.26728904247283936,True,True,True,True,False
mbpp_0628,Description_Simple,0.4,0.4,0.4,0.4,False,0.6550212502479553,0.2550212502479553,False,False,True,False,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.8323140144348145,0.16768598556518555,True,True,True,True,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.7703848481178284,0.22961515188217163,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6967515349388123,0.30324846506118774,True,True,True,True,False
